ds,yhat,yhat_lower,yhat_upper
2024-01-01,2056.0256336368584,1502.4597653130504,2608.9652514535437
2024-01-02,1980.8094082136465,1440.2085418425806,2551.1185310463047
2024-01-03,1975.254150027932,1474.8001338406575,2481.8992205841496
2024-01-04,1990.6000258078814,1451.9604271679725,2514.6921582238306
2024-01-05,2431.211411119755,1901.7889290286641,2947.395009391858
2024-01-06,2833.329032034938,2338.46026262026,3347.892427595131
2024-01-07,2377.6019610735852,1829.132466193324,2891.9645418450673
2024-01-08,2068.2888916094944,1548.140849516582,2555.169382789985
2024-01-09,1993.0726661858532,1464.4589866110807,2565.6705327792733
2024-01-10,1987.517407999546,1467.0177789121924,2480.3030211607484
2024-01-11,2002.8632837799173,1456.3071520344297,2497.9782352623274
2024-01-12,2443.4746690924994,1944.455270303738,2947.776126235671
2024-01-13,2845.5922900072173,2335.791299233396,3367.838133150461
2024-01-14,2389.865219045297,1859.370262053078,2902.323699093368
2024-01-15,2080.5521495814482,1566.6977671118386,2621.3773270561474
2024-01-16,2005.3359241580595,1488.2729377995884,2542.3781837776187
2024-01-17,1999.7806659718287,1469.0717498506376,2547.2822420964967
2024-01-18,2015.1265414907389,1530.2213672514333,2534.7667214282155
2024-01-19,2455.7379265421428,1895.871330087547,2961.115973112708
2024-01-20,2857.8555471946815,2349.746336996634,3358.140777947956
2024-01-21,2402.1284759708,1871.0658551006018,2892.250136340616
2024-01-22,2092.8154062456497,1566.9921197999631,2591.6729756720943
2024-01-23,2017.599180560695,1519.6443137311892,2571.9203895584365
2024-01-24,2012.043922113401,1516.1199369797419,2563.402033869036
2024-01-25,2027.389797631921,1505.9403670930185,2550.6361696261124
2024-01-26,2468.0011826837626,1888.527697521407,2989.588325959802
2024-01-27,2870.118803335944,2297.9275414600415,3352.5985924987344
2024-01-28,2414.3917321116573,1894.2582373206958,2885.0743954236846
2024-01-29,2105.078662387431,1573.1262765516237,2613.6874389123846
2024-01-30,2029.8624367017806,1493.8287324891057,2564.6813780596794
2024-01-31,2024.307178254495,1472.874218951294,2540.8816433337997
2024-02-01,2039.6530537730962,1507.334854214584,2545.7726391263927
2024-02-02,2480.2644388253825,1930.6677743286953,3002.137056551231
2024-02-03,2882.3820593314895,2352.6999927373654,3398.327344211858
2024-02-04,2426.6549879635973,1913.3727520755308,2982.789546965353
2024-02-05,2117.3419180919836,1593.674979191178,2645.159547887642
2024-02-06,2042.125692260873,1547.0896687970908,2559.7760438910764
2024-02-07,2036.5704336677654,1542.7060551398827,2530.635440760415
2024-02-08,2051.9163090408892,1508.3995703283476,2543.288189673764
2024-02-09,2492.527693945712,1962.0681479843904,2980.232308559303
2024-02-10,2894.6453144536463,2393.738862465363,3402.00871791664
2024-02-11,2438.9182430854976,1919.530270174962,2961.0953599379236
2024-02-12,2129.605173213983,1632.9939889954935,2639.924991876703
2024-02-13,2054.3889473832714,1548.0460212222536,2578.787246266118
2024-02-14,2048.83368879024,1474.6093134105247,2560.606081646723
2024-02-15,2064.1795641634526,1540.6445255623134,2589.517036882251
2024-02-16,2504.7909490686484,1980.0024926004294,3053.6809509551695
2024-02-23,2517.054204191044,1992.7374130302971,3047.2917316960575
2024-02-24,2919.1718246982628,2403.3998665276044,3465.6523865123095
2024-02-25,2463.4447535136837,1980.4697579438346,2968.659035376477
2024-02-26,2154.1316838227617,1641.1834088218748,2741.6254712985715
2024-02-27,2078.9154581741223,1555.6339923365324,2595.5322310470738
2024-02-28,2073.360199763679,1523.1612215750508,2559.3246511918
2024-02-29,2088.706075319094,1576.5455203519894,2663.3768670773998
2024-03-01,2529.317460407,2064.85595544092,3061.0194667600827
2024-03-02,2931.4350810959227,2396.1731060651473,3456.686360201918
2024-03-03,2475.708009910774,1987.1424937314416,2988.681356804649
2024-03-04,2166.394940220244,1679.7780737203157,2684.2904604119226
2024-03-05,2091.1787145719773,1560.0933773461084,2609.0182674911903
2024-03-06,2085.6234561606743,1574.573561565884,2590.298797586838
2024-03-07,2100.969331715834,1585.020116666253,2593.66292844231
2024-03-08,2541.580716804856,2036.0598766254323,3065.147203376894
2024-03-09,2943.6983374932693,2439.17773348624,3471.247797400705
2024-03-10,2487.9712663078667,1990.6789510486358,3024.400213039547
2024-03-11,2178.658196630454,1668.9159887270707,2694.007453766161
2024-03-12,2103.4419709950457,1558.9970593074772,2619.8172613952424
2024-03-13,2097.88671259696,1554.3529316991871,2630.08883729199
2024-03-14,2113.2325881650822,1620.817434550006,2626.5049577367186
2024-03-15,2553.84397326735,2077.314980616263,3062.3137734005313
2024-03-16,2955.9615939681607,2427.7778985106575,3451.786120578189
2024-03-17,2500.23452279507,1987.4833875741479,3008.7998599462035
2024-03-18,2190.921453118587,1674.6087539826995,2757.5101860721306
2024-03-19,2115.7052274827493,1594.5144653946843,2641.470718670451
2024-03-20,2110.14996908474,1626.6957350853716,2616.6899541286894
2024-03-21,2125.495844652616,1609.9637977099676,2664.149568977159
2024-03-22,2566.107229755322,2040.6586419494918,3088.485292424156
2024-03-23,2968.2248504557856,2458.284505566848,3458.136916534726
2024-03-24,2512.497779282278,2015.2263230490478,3047.255227385059
2024-03-25,2203.184709606038,1662.8610462181805,2727.77959120699
2024-03-26,2127.9684839701854,1620.3686826514938,2642.854054544959
2024-03-27,2122.413225685409,1593.1326978855097,2653.378298560499
2024-03-28,2137.759101367268,1609.9573761314655,2642.086944625209
2024-03-29,2578.370486580628,2075.2827100631644,3083.8967895180867
2024-03-30,2980.4881073964466,2473.2213353421853,3517.9254960286175
2024-03-31,2524.7610363356057,2007.9087733499316,3070.7466193053683
2024-04-01,2215.4479667729793,1680.2742984850915,2726.7880799796003
2024-04-02,2140.231741250535,1668.9373329743476,2662.1854270516465
2024-04-03,2134.6764829662347,1587.56713628437,2678.113334391267
