ds,yhat,yhat_lower,yhat_upper
2024-01-01,9069.51401335445,7600.197702481755,10404.459665127779
2024-01-02,9504.355875554382,7945.368713685891,10868.714495796983
2024-01-03,9421.984207525411,7963.485964541085,10941.899985922273
2024-01-04,9657.778248769828,8060.55315836527,11098.071587173308
2024-01-05,9770.430696780768,8328.779149589596,11271.100192829888
2024-01-06,7279.291216844972,5847.92896558686,8787.64434978695
2024-01-07,5695.412368815349,4223.745205714614,7269.167375826843
2024-01-08,9114.105372558433,7672.244108633176,10482.05412654979
2024-01-09,9548.947234767504,8091.0412309565545,10943.442644303374
2024-01-10,9466.575566735539,8070.021567478468,10938.750774879923
2024-01-11,9702.369607981549,8286.086857260396,11155.282787633025
2024-01-12,9815.02205599507,8413.210544420033,11227.781210060388
2024-01-13,7323.882576068343,5888.303460636241,8866.219178864894
2024-01-14,5740.003728030701,4129.084213107344,7099.758050516802
2024-01-15,9158.696731773687,7623.6202771393155,10633.549012664258
2024-01-16,9593.538593980626,8129.343525431445,11011.590180554647
2024-01-17,9511.166925950174,7926.207318376951,10947.863393303061
2024-01-18,9746.960967365165,8307.77964972186,11266.76524221946
2024-01-19,9859.613415547254,8221.51265516593,11290.295666761709
2024-01-20,7368.473935786757,5827.93390654895,8843.466147816978
2024-01-21,5784.595087918648,4351.6950301777815,7223.318519337513
2024-01-22,9203.288091833636,7716.8385020844335,10737.282429465264
2024-01-23,9638.129954206275,8080.660381948107,10973.805983570246
2024-01-24,9555.758286346523,8086.815119069543,11015.943145663066
2024-01-25,9791.552327759457,8335.439000409719,11241.93428972586
2024-01-26,9904.204775941054,8474.038082982626,11343.622578002927
2024-01-27,7413.065296180926,5915.190455830968,8895.064764105442
2024-01-28,5829.186448316571,4371.59365042169,7391.037403253516
2024-01-29,9247.87945222019,7808.806031051404,10712.078672851678
2024-01-30,9682.721314600867,8201.2721392947,11181.53747962292
2024-01-31,9600.349646741475,8197.824173433311,11134.85394245927
2024-02-01,9836.143688157903,8444.207696939231,11428.975582393005
2024-02-02,9948.796136334857,8538.78205185,11500.779332535189
2024-02-03,7457.6566564066925,5900.688301866551,8859.59430646514
2024-02-04,5873.777808375855,4500.047434769028,7265.767289027871
2024-02-05,9292.470812120288,7850.450827771764,10820.397291659201
2024-02-06,9727.312674333278,8288.400392682965,11168.902336981895
2024-02-07,9644.941006307323,8163.890330033571,11111.039330335678
2024-02-08,9880.735047557268,8378.588256636145,11406.939821906368
2024-02-09,9993.387495574614,8578.574142418729,11459.29554210138
2024-02-10,7502.24801563753,5865.811243941011,8879.824697951432
2024-02-11,5918.369167611447,4353.554785327597,7412.504812748363
2024-02-12,9337.06217135763,7864.025575884179,10812.8441460419
2024-02-13,9771.90403356822,8176.7601684863885,11223.04374247683
2024-02-14,9689.532365543779,8254.60135008448,11204.945052488729
2024-02-15,9925.326406793765,8482.050316674873,11406.727567325946
2024-02-16,10037.97885481074,8600.981473336074,11511.855184734437
2024-02-17,7546.83937487095,6055.859821050798,9033.450560604644
2024-02-18,5962.9605268470405,4338.2184597149335,7420.414520120217
2024-02-19,9381.650584218993,7947.9266484551135,10935.173177258526
2024-02-20,9816.489500053793,8328.369762456998,11370.172587893445
2024-02-21,9734.11488565389,8256.896567485737,11216.327647132868
2024-02-22,9969.905980525515,8591.467907122389,11566.673140390656
2024-02-23,10082.55548216348,8572.026247344338,11508.444461858984
2024-02-24,7591.413055851681,6013.3132594833705,9066.488231418798
2024-02-25,6007.531261449081,4456.017261423623,7555.462322062749
2024-02-26,9426.221318827931,7883.192920511825,10857.392890697238
2024-02-27,9861.060234659495,8542.61066754849,11329.366473688055
2024-02-28,9778.685620259097,8238.507537566005,11225.38463039784
2024-02-29,10014.476715133875,8559.78871574637,11447.63119807711
2024-03-01,10127.126216771469,8573.691082781279,11593.135423492748
2024-03-02,7635.983790468737,6113.397192144113,9078.483413028707
2024-03-03,6052.101996056537,4595.675188086063,7532.753612938676
2024-03-04,9470.792053436606,8045.559339679697,11022.366146836048
2024-03-05,9905.630969267404,8260.659364312716,11480.590457728353
2024-03-06,9821.814172258331,8272.815856129782,11288.528763914293
2024-03-07,10056.163084528362,8514.901987919066,11339.071870046051
2024-03-08,10167.370403562638,8664.209889803087,11637.413491627438
2024-03-09,7674.785794653111,6075.901753763832,9118.658354935638
2024-03-10,6089.461817642667,4720.600572192355,7578.335647281937
2024-03-11,9506.709692418055,8024.328325541383,10979.071603273036
2024-03-12,9940.10642564104,8443.65352806836,11341.48999379107
2024-03-13,9856.289628634577,8350.330407017405,11347.720666399986
2024-03-14,10090.63854090465,8646.977145590045,11631.642329546296
2024-03-15,10201.845859938556,8719.173729239666,11673.052452745731
2024-03-16,7709.261251028903,6294.763355913712,9153.209270139298
2024-03-17,6123.937274016471,4560.944365351325,7529.905467326679
2024-03-18,9541.185148783652,7981.17718371835,11058.109133614258
2024-03-19,9974.581882015773,8556.478563474362,11483.667554549824
2024-03-20,9890.765085010826,8277.871846534114,11273.201724229973
2024-03-21,10125.113997277984,8712.13601170919,11567.576829725655
2024-03-22,10233.847898258611,8808.43373845017,11641.722483840527
2024-03-23,7738.789871305729,6250.824053383727,9177.748447452936
2024-03-24,6150.992476235066,4667.794963399884,7730.096802625669
2024-03-25,9565.766932949364,8143.824194232444,11067.421953944802
2024-03-26,9996.690248125458,8566.939077194435,11462.486635678493
2024-03-27,9910.400033068088,8455.06911775887,11418.039810600603
2024-03-28,10142.275527287706,8677.854906184657,11660.844724047472
2024-03-29,10251.009428268637,8744.183667059413,11729.380298124046
2024-03-30,7755.951401311999,6364.640109319544,9143.349745691254
2024-03-31,6168.154006242508,4751.67200615292,7695.823845700474
2024-04-01,9582.928462956443,8110.593106047659,10997.976425006387
2024-04-02,10013.8517781333,8555.366551404793,11565.389295106306
2024-04-03,9927.561563076204,8451.87429768803,11530.349471218562
2024-04-04,10159.437057291518,8772.253740251272,11655.838868235467
2024-04-05,10268.170958271958,8840.70926121461,11739.098031918104
2024-04-06,7773.112931313105,6374.048816115182,9194.124462723645
2024-04-07,6182.7416964176955,4703.214586179446,7585.8681638576245
2024-04-08,9594.942313302701,8132.521765049524,11071.627775389079
2024-04-09,10023.29178864648,8577.768167042943,11363.765909240663
2024-04-10,9934.427733755718,8397.13493792095,11517.316985808186
2024-04-11,10163.729388141943,8667.62508782989,11677.759236284246
