ds,yhat,yhat_lower,yhat_upper
2024-01-01,24486.127765023568,18748.360370159888,30610.647522297197
2024-01-02,25393.010820231437,19787.5777075071,30982.39403234192
2024-01-03,24940.732946574477,19077.285929443085,30724.688798834195
2024-01-04,25566.033255936665,19530.78573971639,31266.767552551413
2024-01-05,26134.424117731898,20350.925147015038,31832.19759847735
2024-01-06,12797.434094497876,7171.199392189067,18819.004953028718
2024-01-07,8609.101347238175,2891.305658604902,14576.883448661543
2024-01-08,24544.40449738652,18542.243435313718,30317.450667242654
2024-01-09,25451.287552631587,20224.744803436788,31476.01434567752
2024-01-10,24999.00967896869,19258.505598462838,30820.032694707093
2024-01-11,25624.309988334546,19939.609066158242,31585.315076434275
2024-01-12,26192.700850137786,20608.49540727075,31797.710190225767
2024-01-13,12855.710826944569,6894.804675911302,18540.739438515076
2024-01-14,8667.378079654836,3101.848472227032,14341.120873402757
2024-01-15,24602.68122979925,19159.731631464547,30345.01032051442
2024-01-16,25509.56428503173,19828.099049649125,31313.26858163974
2024-01-17,25057.286411374953,19624.279424402543,31193.65764258913
2024-01-18,25682.58672293855,19823.366769839064,31344.65852312321
2024-01-19,26250.977586934543,20727.919224668072,31927.660127226143
2024-01-20,12913.987565927091,7449.8205050734305,19031.1084098516
2024-01-21,8725.654820832238,3034.559308835415,14629.063196217265
2024-01-22,24660.957973189154,18782.01036847778,29643.391071108697
2024-01-23,25567.841030604322,19742.749656198488,31438.830778713116
2024-01-24,25115.563159147525,19080.266521102396,30683.650120470185
2024-01-25,25740.86347070446,20261.755388667312,31498.666888040083
2024-01-26,26309.254334695215,20307.21146849782,32177.342330814416
2024-01-27,12972.264313691348,7239.2164251257045,18781.12550014488
2024-01-28,8783.931568616927,3472.326241274143,14566.88416156931
2024-01-29,24719.234720920133,18601.697685262287,30890.13893632809
2024-01-30,25626.117778372343,19839.926765587297,31189.341964533352
2024-01-31,25173.839906915793,18730.965168433308,30768.224134719283
2024-02-01,25799.140218481803,20151.217762039578,31318.945562823566
2024-02-02,26367.531082455887,20628.320526084393,32147.55738287892
2024-02-03,13030.541064752873,7228.46178001105,18651.152151266444
2024-02-04,8842.208322978058,2652.737502523292,14555.178631423918
2024-02-05,24777.511478626493,18403.360595468093,30600.418819052782
2024-02-06,25684.394539382294,19955.60930971438,31555.407160855135
2024-02-07,25232.116671236276,19302.547948788073,31005.013099710108
2024-02-08,25857.416986110373,19493.318868260383,31367.758070968197
2024-02-09,26425.807853426733,20568.224218331776,32324.244656733787
2024-02-10,13088.81783567705,6920.588664146098,19012.23554318387
2024-02-11,8900.485093925356,2827.3728139882032,14674.90829170357
2024-02-12,24835.78824958609,18858.605971636687,30724.588617878402
2024-02-13,25742.671310323574,20048.679726603325,31304.76313282806
2024-02-14,25290.393442183664,19737.236501883297,31321.615719087084
2024-02-15,25915.69375706008,20233.72715611146,31577.418306921772
2024-02-16,26484.084624373754,20374.18864351255,32254.012048797336
2024-02-17,13147.094606614413,7725.07234528078,19464.905297128997
2024-02-18,8958.761864872653,3075.615329251794,14786.304049028722
2024-02-19,24894.073358250673,19040.601401117623,30877.68635738199
2024-02-20,25800.964756710295,20145.3001691742,31697.796186813364
2024-02-21,25348.69522628041,19484.136540496063,31154.755384014483
2024-02-22,25974.00387886489,20243.03516442204,32017.35934667703
2024-02-23,26542.403083876543,20683.275553777654,32146.863153208968
2024-02-24,13205.421403850476,7597.225371743324,18995.271707298645
2024-02-25,9017.096999801157,3232.5573164157727,14694.082835515013
2024-02-26,24952.4084932197,19331.313163770246,31074.41359227109
2024-02-27,25859.29989166658,19915.033940878533,31567.875696419997
2024-02-28,25407.030361235225,19613.203237646587,31345.388117615916
2024-02-29,26032.339013829755,19908.071229341404,31791.953065001908
2024-03-01,26600.738218838724,20435.493786565432,32908.10539070576
2024-03-02,13263.75653885346,7372.693829098974,18837.034074535655
2024-03-03,9075.432134763618,3212.890297858116,14803.548731387738
2024-03-04,25010.743628183,19407.131957516634,31106.697674180894
2024-03-05,25917.635026623182,20146.65815956883,32232.55176741219
2024-03-06,25465.36549720818,19989.13571025597,31129.48075244664
2024-03-07,26090.674150818875,20172.21273084565,31808.579260506518
2024-03-08,26659.073356855,21095.85851607496,32395.63833097982
2024-03-09,13322.091677882592,7697.920030125551,19070.521752208064
2024-03-10,9133.767274848797,3553.4024609401727,14836.014100687615
2024-03-11,25069.078769286698,19496.63944082064,30527.695986739436
2024-03-12,25975.97016873659,20513.11694623554,32308.249952483056
2024-03-13,25523.70063932785,19458.216930325325,31367.289741742556
2024-03-14,26149.00929294086,20492.245396111935,32048.056075023258
2024-03-15,26717.408498974302,20839.38191685102,32704.93938706422
2024-03-16,13380.426820005401,7324.717110233316,18972.13740979806
2024-03-17,9192.102416957885,3409.8584947633844,15466.020754775991
2024-03-18,25127.413911363063,19548.55713737228,31058.6087534851
2024-03-19,26034.305310850148,20600.49992943733,31845.078064201545
2024-03-20,25582.03578144752,19644.466937701425,31598.82042451247
2024-03-21,26207.34443505215,20629.9461107196,31983.266761335217
2024-03-22,26775.743639909873,20498.770898823204,32382.758088806175
2024-03-23,13438.761959811365,7420.042838204575,19002.40357327505
2024-03-24,9250.4375555765,3467.6902279932597,15206.395523451332
2024-03-25,25185.74904880727,19674.224300748476,31216.38383688862
2024-03-26,26092.640447111124,20487.695118011394,32077.788803519026
2024-03-27,25640.37091653826,19433.60692950928,31258.73163585416
