ds,yhat,yhat_lower,yhat_upper
2024-01-01,18257.292975740547,14685.871215180574,22316.62063544444
2024-01-02,18416.776982097654,14679.314792501908,22235.59896369437
2024-01-03,18154.590087628276,14503.599255857134,21775.19277912176
2024-01-04,18290.742468649853,14648.06356644739,22029.89878757284
2024-01-05,19676.06983673673,15702.273796753008,23120.253754590172
2024-01-06,13580.023239453687,9852.485918610611,17239.090307007613
2024-01-07,11514.914306761788,7841.798805573159,15241.836424524676
2024-01-08,18478.87065874324,14494.164556423617,21835.452581552763
2024-01-09,18638.354665116072,14959.535311719817,22335.644198073776
2024-01-10,18376.16777064525,14606.515059986654,22380.31529105768
2024-01-11,18512.320151668297,14755.987413378823,22326.125072372855
2024-01-12,19897.64751975904,16286.16053332965,23588.24922488236
2024-01-13,13801.600922494574,10032.729208647004,17547.62447995554
2024-01-14,11736.491989788869,8011.234408266418,15680.249712147215
2024-01-15,18700.448341768086,14629.592054369126,22281.43904806772
2024-01-16,18859.93234813449,15056.341885363498,22413.385786355015
2024-01-17,18597.74545366618,14861.189448461375,22199.898934809178
2024-01-18,18733.897834702548,15184.840853660395,22602.904687849503
2024-01-19,20119.225202803635,16429.797324593907,23790.357724839756
2024-01-20,14023.17860554518,10351.939140088314,17804.045371454496
2024-01-21,11958.06967284841,8275.999714351543,15579.306155823202
2024-01-22,18922.026024848616,15140.023165138093,22846.79554058749
2024-01-23,19081.510031220827,15212.666980799435,22863.062542090567
2024-01-24,18819.323136765946,15035.452150371988,22846.68085041591
2024-01-25,18955.47551779895,15273.151692537574,22823.367769348788
2024-01-26,20340.80288589748,16915.149011011166,24034.859716876832
2024-01-27,14244.75628864033,10491.181753809156,18164.282685216676
2024-01-28,12179.647355953448,8444.194830389759,16321.888683504609
2024-01-29,19143.603707929262,15497.22636621072,22555.981110982135
2024-01-30,19303.08771431831,15594.361089362541,22934.932024823116
2024-01-31,19040.90081986285,15188.839877287213,22677.627784306733
2024-02-01,19177.053200897626,15580.109695981373,23010.440745923413
2024-02-02,20562.380568991324,16743.226201247104,24091.116681946623
2024-02-03,14466.333971648673,10570.93954595617,18416.005382982265
2024-02-04,12401.22503887895,8683.418222355467,16301.735269555556
2024-02-05,19365.18139078845,15472.894441140941,23029.672709115057
2024-02-06,19524.66539709514,15873.909804790397,23276.57335888455
2024-02-07,19262.47850256034,15785.28455268799,22843.037865749007
2024-02-08,19398.630883514725,15556.223607311285,23172.564588468875
2024-02-09,20783.958251540138,17134.741594787356,24336.328875919935
2024-02-10,14687.911654177715,10895.780774495834,18233.47299111476
2024-02-11,12622.802721418757,8873.812282005452,16339.287520557751
2024-02-12,19586.759073336027,16191.013588158667,23601.74613279945
2024-02-13,19746.243079632328,15832.103938830429,23511.671270742067
2024-02-14,19484.056185100042,15946.785700925717,23220.604157910333
2024-02-15,19620.208566056604,16094.196771588095,23450.32034605837
2024-02-16,21005.53593408122,17414.333575778717,24521.81242984183
2024-02-17,14909.48933671368,11259.26829546784,18309.464983581613
2024-02-18,12844.380403958567,9080.457222591436,16587.368635512947
2024-02-19,19808.336756535555,16250.300397680381,23463.40327465545
2024-02-20,19967.820763496176,16362.54311834264,23841.58520132176
2024-02-21,19705.63386961938,15890.839643308265,23330.430393840204
2024-02-22,19841.78625123334,15629.582512385703,23421.60922401667
2024-02-23,21227.11361990885,17404.09691833001,24738.579462644575
2024-02-24,15131.067023208929,11240.262812578343,18789.780916137377
2024-02-25,13065.958091103805,9285.330010455624,16777.89943992385
2024-02-26,20029.914443698333,16370.812320710975,23601.717592313522
2024-02-27,20189.398450653625,16760.964939644604,24071.175449803537
2024-02-28,19927.211556777143,16032.287928303957,23591.681589485084
2024-02-29,20063.36393839438,16204.722081907288,23993.390680984594
2024-03-01,21448.691307069093,17604.302054501975,24952.9867831139
2024-03-02,15352.644710387745,11692.699706391104,18997.7092543189
2024-03-03,13287.535778262774,9721.045225024462,17060.325955082335
2024-03-04,20251.492130857147,16508.90078962065,23886.44715499499
2024-03-05,20410.97613780887,16836.059790712283,24169.509408983882
2024-03-06,20148.78924249806,16510.27027035239,23805.95350205069
2024-03-07,20284.94162267573,16751.654793174795,24140.996042573173
2024-03-08,21670.268989920958,18092.793110005266,25527.448812250568
2024-03-09,15574.222391800015,12145.961261349867,19393.010299298137
2024-03-10,13509.113458257867,9670.45465525009,17345.705892860264
2024-03-11,20473.06980941602,16712.897184235033,24337.74150049368
2024-03-12,20632.553814928433,16654.766572675762,24258.48926514294
2024-03-13,20370.36691961904,16734.41810496708,24176.08618834204
2024-03-14,20506.519299798892,16811.217858540884,24445.445264473743
2024-03-15,21891.846667043326,18183.76643177885,25704.739710706694
2024-03-16,15795.800068924178,11932.553729501951,19949.56754062541
2024-03-17,13730.691135372912,9909.90788839779,17577.294070883232
2024-03-18,20694.647486518763,16737.887187760745,24354.95784751437
2024-03-19,20854.1314920469,17264.942463725227,24352.754343477674
2024-03-20,20591.94459674002,16748.638717632253,24140.57604110367
2024-03-21,20728.09697691739,17037.20771785891,24438.215880387106
2024-03-22,22109.80607576803,18455.857115617175,25728.2930852075
2024-03-23,16010.14120927572,11872.933703538769,19611.58596947927
2024-03-24,13941.414007326337,10007.988507523289,17904.135959677427
2024-03-25,20901.75209007872,17069.876257322605,24727.807359885228
2024-03-26,21057.617827210295,17174.147719099103,24956.358839435372
2024-03-27,20791.81266351161,17013.695900500425,24296.02698586046
2024-03-28,20924.34677530657,17234.687682030577,24825.61371148434
2024-03-29,22306.055874159476,18684.875566940933,26126.362163567566
2024-03-30,16206.391007661243,12388.739201464097,19997.78658464894
2024-03-31,14137.663805714817,10371.032738263355,17865.075237572335
2024-04-01,21098.001888461004,17696.08296763397,24996.587758089183
2024-04-02,21253.867625595914,17239.181907662416,25076.121985180744
2024-04-03,20988.0624618968,17383.94818074414,24839.316894179694
2024-04-04,21120.596573686424,17225.375320572108,24755.737767869683
2024-04-05,22502.305672536764,18890.5219799295,26329.071954999214
2024-04-06,16402.64080603292,12766.784528441382,20097.22616406215
2024-04-07,14320.86222671479,10410.202520571505,18131.84637451819
2024-04-08,21268.148932086282,17751.935762395893,24839.010556519424
2024-04-09,21410.963291828328,17655.32363979945,25114.945479969534
2024-04-10,21132.106750745297,17376.346169013486,24757.711074066217
2024-04-11,21251.589485153916,17685.066541598124,25131.903596211934
2024-04-12,22620.247206619235,18935.117911509446,26306.694016804777
2024-04-13,16507.530962734225,12845.298417759075,20221.92943343346
2024-04-14,14425.752383412258,10647.4113429702,18315.975797350166
2024-04-15,21373.039088791273,17786.572802809045,24900.042815628014
2024-04-16,21515.853448530856,17762.723112984455,25287.525205865117
2024-04-17,21236.99690745034,17410.394393147577,25050.058637937575
2024-04-18,21356.479641861144,17609.07494910292,24978.06623735817
2024-04-19,22725.137363333393,18804.91469630293,26351.454642306722
2024-04-20,16612.421119435534,12986.594602198471,20203.923309930768
2024-04-21,14530.642540111367,10872.04904107507,18367.56495792323
2024-04-22,21477.929245496267,17776.203878422908,25557.262268654
2024-04-23,21606.531369114968,17969.29505455773,25388.249177224247
2024-04-24,21313.46259191436,17435.781998241768,25116.39458910909
2024-04-25,21418.733090193407,17615.14121283331,25109.140046395343
2024-04-26,22773.178575561735,19198.814026597527,26203.821658989367
2024-04-27,16646.25009553923,12696.015905633201,20383.38957347591
2024-04-28,14550.259280105425,10646.87569279126,18254.215799387446
2024-04-29,21483.33374935038,17596.053206035176,25224.57442701168
2024-04-30,21611.935872987742,17708.680475555328,25151.416400064627
2024-05-01,21318.867095780774,17713.259223418972,25105.466471970452
2024-05-02,21424.13759406865,17494.014899746024,25037.7400350408
2024-05-03,22778.583079418648,19120.13413818512,26507.427944314277
2024-05-04,16651.654599396963,12719.704449891993,20582.4178205669
2024-05-05,14555.663783973921,11014.501558094305,18375.025088600127
2024-05-06,21488.738253218722,17274.723687993792,25144.47222051648
2024-05-07,21617.34037685472,17825.759901657046,25586.34471159207
2024-05-08,21324.27159964718,17600.15297717379,25028.023570157675
2024-05-09,21421.828458253276,17228.564218180265,25089.951756830895
2024-05-10,22768.56030392587,19194.711211859103,26650.056360680363
2024-05-11,16633.918184241484,12631.149852061786,20060.702545248852
2024-05-12,14530.213729117317,10707.652968198998,18144.11219457404
2024-05-13,21455.574558688615,17880.663146249834,25222.345027911437
2024-05-14,21576.463042631844,17615.066399670308,25189.110871721277
2024-05-15,21275.68062574665,17586.823937646175,24958.838774498592
2024-05-16,21373.237484347865,17543.90158411382,25238.492155557833
2024-05-17,22719.969330026728,19026.660776788656,26262.54714441236
2024-05-18,16585.327210330288,12661.239095899851,20368.196376642114
2024-05-19,14481.62275521689,10753.629591601075,18261.001668002904
2024-05-20,21406.98358478803,17572.836683246762,24844.948111483653
2024-05-21,21527.872068729896,17909.52566618457,25199.109099745154
2024-05-22,21227.089651846985,17248.28343787849,25048.993896462885
2024-05-23,21324.646510444843,17712.742997769205,25010.121714875255
2024-05-24,22671.378356114714,18864.600347434032,26394.03191322349
2024-05-25,16536.736236472363,12595.418277614644,20389.278537751987
2024-05-26,14433.031781381582,10970.391396566623,18164.06409859108
2024-05-27,21358.39261098752,17423.95907325828,24748.262507912434
2024-05-28,21479.28109498564,17721.875947561763,25535.000026921334
2024-05-29,21178.498678143562,17379.115400736096,25090.05918289455
2024-05-30,21276.055536783024,17492.507308139455,24949.791883075228
2024-05-31,22622.78738249152,18595.37851760158,26213.340682690505
2024-06-01,16488.145262837123,12442.924488912613,20034.318969224812
2024-06-02,14384.440807757106,10569.78656990404,18021.424142733627
2024-06-03,21309.80163736289,17529.946409551078,24885.007885532086
2024-06-04,21430.69012135744,17486.153410161154,25359.85593498437
2024-06-05,21129.907704515022,17407.487041439726,24751.956835388963
2024-06-06,21227.46456316062,17199.21536943957,24888.591990818066
2024-06-07,22574.19640887605,18703.68489663557,26242.49052403685
2024-06-08,16439.554289201886,12750.308764627287,19966.917824755245
2024-06-09,14335.849834138673,10597.136520997581,17840.810604900882
