ds,yhat,yhat_lower,yhat_upper
2024-01-01,37829.05134845387,29455.995129191844,45692.9061078151
2024-01-02,40076.70882047188,31831.32623952871,47759.929000792436
2024-01-03,39534.75033550731,32004.669518679297,47909.61567493533
2024-01-04,40470.30414845255,32567.244917846223,48798.221385323
2024-01-05,41451.609355190456,33509.046507075094,49236.55073760076
2024-01-06,22609.815815819285,14740.257604972921,31005.820299832354
2024-01-07,15738.079931125674,8460.05749375379,23398.779143354397
2024-01-08,37840.87466072481,30066.94154307211,46208.77754130241
2024-01-09,40088.53213279763,31716.137057340504,48026.12712746894
2024-01-10,39546.57364782409,31525.17486958073,47114.24325465059
2024-01-11,40482.12746077486,33033.08291475684,48356.38199536828
2024-01-12,41463.432667523455,33456.27922218726,49318.388150160856
2024-01-13,22621.639128212148,14850.607421396979,30565.424859152794
2024-01-14,15749.903243472847,7804.146916459138,23236.366020602683
2024-01-15,37852.697973067916,30263.03095499527,45935.01620847693
2024-01-16,40100.35544512339,32744.776210816326,47555.68657343497
2024-01-17,39558.39696015767,31289.932438326003,46946.87187120144
2024-01-18,40493.95076710553,32797.14390935086,48241.48261732676
2024-01-19,41475.25596784384,34002.41476570975,49147.955650218864
2024-01-20,22633.46242251215,15052.785147187975,30070.658347571578
2024-01-21,15761.726531766668,7837.061924673667,24138.79859579042
2024-01-22,37864.5212553795,29853.356540034514,45653.74117560051
2024-01-23,40112.17872141083,31980.04509165308,47404.902988068956
2024-01-24,39570.22023044528,31880.466240448273,47690.56566493155
2024-01-25,40505.7740373837,33294.888997380585,48774.120697226404
2024-01-26,41487.07923811469,33793.556828255794,49159.10144138922
2024-01-27,22645.285692786932,15220.5156026597,30327.787090894333
2024-01-28,15773.549802069716,7980.770973515079,23901.9884252831
2024-01-29,37876.34452560631,30016.336746361845,45697.74899976414
2024-01-30,40124.00199169199,32062.85805529543,47858.770150849894
2024-01-31,39582.043500726344,31811.800488035668,47690.98912554365
2024-02-01,40517.597307676435,32652.40766737325,48868.5454443359
2024-02-02,41498.90250838553,33854.313798859155,49249.806987108524
2024-02-03,22657.10895525067,14727.965294560492,30875.703690223014
2024-02-04,15785.373056728033,7672.656422896919,23416.30186454244
2024-02-05,37888.16777251802,29769.30455249356,45874.55303785939
2024-02-06,40135.82523080064,32917.82232756929,48038.754830871294
2024-02-07,39593.86673204118,31482.35711052238,47087.061097729835
2024-02-08,40529.42053119515,32832.363131849066,48069.34983464527
2024-02-09,41510.72572415441,33301.891078179266,49334.314846671085
2024-02-10,22668.932170954944,14311.025153998473,30483.367089610467
2024-02-11,15797.196272464302,7907.172549593985,23485.526868462115
2024-02-12,37899.990988271835,29695.225696664358,46022.21423557941
2024-02-13,40147.648446529565,31982.569289674433,47450.55806827782
2024-02-14,39605.68994777793,31286.34515662034,47348.27325596489
2024-02-15,40541.24374693529,32895.46010578475,47983.084754196134
2024-02-16,41522.54893989057,33933.63149440095,49443.32185856041
2024-02-17,22680.755386677025,14682.412141791667,30243.873061914077
2024-02-18,15809.019488200582,7859.740361473794,23806.068019342656
2024-02-19,37911.814201895366,29786.302731393254,45589.91750278697
2024-02-20,40159.471658042625,32122.49873398247,48692.97646767133
2024-02-21,39617.513157169065,31617.326898388717,47700.18887264684
2024-02-22,40553.06695419993,32431.795508488627,48528.71966150427
2024-02-23,41534.37214501465,34146.932943911044,49774.34203762941
2024-02-24,22692.578589707853,14701.777957544948,30819.717741884997
2024-02-25,15820.842689086217,7475.8087071947375,23788.095887807056
2024-02-26,37923.637402835186,29784.05663388934,45564.15853593601
2024-02-27,40171.29485896461,32411.63509097718,48228.95678761384
2024-02-28,39629.33635808912,31470.63391443753,47361.49494405477
2024-02-29,40564.89015513362,32885.925763113395,48036.88913779042
2024-03-01,41546.195345944354,33584.08419945928,49349.445042964864
2024-03-02,22704.401790697433,13836.079770583947,30402.71106198833
2024-03-03,15832.66589001604,8119.671422315278,23558.80802520599
2024-03-04,37935.46060376747,29950.89802392898,46076.53454249003
2024-03-05,40183.11805988755,32095.80200262627,47936.71752085836
2024-03-06,39641.14780448172,31490.371838706425,47577.45974615056
2024-03-07,40576.68984699611,32327.06527484785,48336.143727384675
2024-03-08,41557.983283293404,33747.773770372776,49283.82393216134
2024-03-09,22716.17797351174,14726.700513279795,31266.7043016058
2024-03-10,15844.430318355535,8777.990685921848,24338.196083584666
2024-03-11,37947.21327758203,30271.63532344013,46219.3265950712
2024-03-12,40194.85897916341,32667.096846306264,47700.435954830704
2024-03-13,39652.88872376589,32083.718070094288,47623.69790556506
2024-03-14,40588.43076628366,32574.232949740122,48656.18508242908
2024-03-15,41569.72420257699,33466.24227742399,49704.7471904382
2024-03-16,22727.918892799047,14513.771788925522,30336.668240733456
2024-03-17,15856.171237625156,8491.450347434386,24121.06498142794
2024-03-18,37958.95419680354,30077.66321656039,45466.25453087017
2024-03-19,40206.59989843974,32244.75042756493,48300.93925210947
2024-03-20,39664.62964305006,31422.977479177902,47827.541535067605
2024-03-21,40600.17168555653,32511.569878955976,48354.72741258881
2024-03-22,41581.42097079767,33536.186030715005,49240.18032562573
2024-03-23,22739.571510034977,15050.707615632089,30281.88338465366
2024-03-24,15867.779703788347,8016.670967501705,23997.928189212755
2024-03-25,37970.51851191781,29815.81053413705,45974.938504094105
2024-03-26,40218.12006249133,32117.669358096016,47771.976070715566
2024-03-27,39676.10565605671,31905.48458533491,48575.28307102642
2024-03-28,40611.603547544786,32479.73384935121,48881.61647127664
2024-03-29,41592.852832799996,34163.94346430665,49285.141597725036
