ds,yhat,yhat_lower,yhat_upper
2024-01-01,20751.35093744244,16566.784194352927,24699.456502836496
2024-01-02,21210.437942198467,16836.401292633833,25036.00606597271
2024-01-03,20916.156185697862,16765.588834591246,25171.078268602127
2024-01-04,21332.04158221914,17090.31330151209,25246.972666097892
2024-01-05,21906.731515302963,17988.784378531036,25633.473229545885
2024-01-06,14386.025750317054,10571.391786378857,18420.042716658794
2024-01-07,10399.38663952441,6327.596111705275,14815.791509482759
2024-01-08,20855.595323978214,16888.314405930407,24941.099556760113
2024-01-09,21314.68232875946,17039.796707518504,25453.65773902661
2024-01-10,21020.400572250957,16859.9058593463,25240.298611974365
2024-01-11,21436.28596877644,17079.38853359782,25392.858840501285
2024-01-12,22010.975901868725,18014.191975872214,26186.594518038353
2024-01-13,14490.270136907991,10454.117278727908,18536.960510620356
2024-01-14,10503.631026094232,6528.935555307682,14521.342268933686
2024-01-15,20959.83971054629,16548.300500446432,25168.309131832677
2024-01-16,21418.926715320456,17110.63873159438,25558.12552736883
2024-01-17,21124.644958816883,16983.530932974245,25164.334931565645
2024-01-18,21540.530355120347,17602.473514578996,25392.658737319147
2024-01-19,22115.220287989476,17865.535223635525,26223.0154719583
2024-01-20,14594.514522798234,10681.915736916924,18858.50267162639
2024-01-21,10607.875411761928,6372.974757630982,14709.54111999828
2024-01-22,21064.084096001843,16542.635487475043,25282.44440661338
2024-01-23,21523.171100543976,17658.214567619187,25726.59281945087
2024-01-24,21228.88934382318,16723.19341080103,25245.464189284452
2024-01-25,21644.77474012012,17441.33293755991,25679.40582550228
2024-01-26,22219.464672987706,17813.34471769468,26233.744656310024
2024-01-27,14698.758907798463,10679.393920651955,18476.502203094464
2024-01-28,10712.119796774223,6521.9821350192,14845.27642611996
2024-01-29,21168.328480980086,17215.343177246636,25065.584969206444
2024-01-30,21627.415485544996,17554.573870379227,25834.588523608494
2024-01-31,21333.13372882516,16817.68126663661,25175.942295542318
2024-02-01,21749.019125132985,17545.57810616873,25894.431888816
