ds,yhat,yhat_lower,yhat_upper
2024-01-01,78402.24970878114,61587.358266615585,93875.06361323141
2024-01-02,82673.2057731653,66407.81123928471,99222.81747571004
2024-01-03,81234.39058281333,64567.74113421939,98913.3012445406
2024-01-04,83795.4006548218,68744.45153810698,101270.56337334988
2024-01-05,85223.06781389914,68689.7042855694,102526.8289816561
2024-01-06,51924.46285916965,35202.04986255262,69414.19267769706
2024-01-07,29352.260391177777,13034.578634796995,46176.86461107113
2024-01-08,78443.21990323534,62823.26380479291,94633.1118368261
2024-01-09,82714.17596774665,66998.54078490852,99365.78759996491
2024-01-10,81275.36077734706,64391.315342326736,98037.8281509465
2024-01-11,83836.37084937993,67964.32360775431,101660.78920183913
2024-01-12,85264.0380085005,69814.84574628192,103430.75611138881
2024-01-13,51965.433053891895,35018.6899533369,68127.41293991318
2024-01-14,29393.230585791236,13964.265995760798,44606.50544134434
2024-01-15,78484.19009784597,62273.97225718007,94526.43184310601
2024-01-16,82755.14616232798,65319.48626378959,99637.23127120476
2024-01-17,81316.3309719522,65151.07970031748,97652.24930217453
2024-01-18,83877.34081214518,66897.94455380595,100239.16221177878
2024-01-19,85305.00773942431,69280.71252746908,101605.20912350065
2024-01-20,52006.40255293684,35093.41194548574,68755.52641089431
2024-01-21,29434.19985300395,12689.838161981439,46366.845139245794
2024-01-22,78525.15913326273,61564.91154615698,95486.3017777636
2024-01-23,82796.1149658582,64997.1921006389,99981.66137729959
2024-01-24,81357.29954367284,64590.50090118961,98404.5216794003
2024-01-25,83918.30938383189,67362.8434886699,100124.91281906793
2024-01-26,85345.97631110731,68048.19872748741,101894.21845607413
2024-01-27,52047.37112462668,36157.06219398393,70385.21658491102
2024-01-28,29475.168424746,13711.960292542355,45789.82275042229
2024-01-29,78566.12770484554,62658.04768529721,95983.07458073697
2024-01-30,82837.08353754965,66562.1525664347,99471.7785154459
2024-01-31,81398.26811537087,63796.3393184575,97595.15278726617
2024-02-01,83959.27795559073,67411.61326307917,100906.29591749702
2024-02-02,85386.94488279031,68546.45252487923,102656.27436753946
2024-02-03,52088.33969484492,36489.87568488399,68540.56836925702
2024-02-04,29516.136993521483,13109.19638263392,46016.099788020096
2024-02-05,78607.09627228367,63575.68834044932,94569.37110121411
2024-02-06,82878.05210352804,65050.915343011126,100663.1613365669
2024-02-07,81439.23667990448,65470.94233826432,97423.20078413853
2024-02-08,84000.24651868016,68284.20575966136,101423.04405617242
2024-02-09,85427.9134445344,68440.96716751548,101863.5346649132
2024-02-10,52129.30825646581,35766.03099954285,69528.93067399407
2024-02-11,29557.105555210495,12546.08591251357,45369.32424821429
2024-02-12,78648.0648339951,61881.737400826205,95275.72910620882
2024-02-13,82919.02066520773,66204.49977008207,100593.10108693024
2024-02-14,81480.205241608,65176.192865318524,97509.33784768367
2024-02-15,84041.21508038255,66325.60827321684,100305.07013043578
2024-02-16,85468.88200623413,69160.96102427057,101392.19118071633
2024-02-17,52170.276818125465,36498.57317868342,68643.91018208952
2024-02-18,29598.0741168995,13123.88214524635,46643.345999022684
2024-02-19,78689.03339339604,62240.0206363626,95423.49061229055
2024-02-20,82959.9892223012,66469.04229665088,99129.67497264023
2024-02-21,81521.1737963946,64664.03229708736,98185.26302094618
2024-02-22,84082.1836328165,67829.01709758662,100620.43494519246
2024-02-23,85509.85055631175,68682.52050450402,102316.8879006695
2024-02-24,52211.24536595126,35460.18294297313,68606.93075655802
2024-02-25,29639.042662371052,14138.692386079581,46539.768984486196
2024-02-26,78730.00193896554,62454.15001312517,95857.90601052731
