ds,yhat,yhat_lower,yhat_upper
2024-01-01,47630.083935125105,40251.89242996153,54885.07900767051
2024-01-02,49254.41880068081,42062.978493450624,56460.58185257979
2024-01-03,48492.83691247377,41191.63160058235,55989.54096025791
2024-01-04,50011.85968890591,42932.054690382385,57355.54847671267
2024-01-05,52117.79282034289,44482.932507717844,59242.84013271144
2024-01-06,45366.36912282302,38690.04285763476,52344.08439073477
2024-01-07,25058.266579682866,17486.659283771158,31830.038815272117
2024-01-08,47794.37565006346,40678.20940469032,54971.07743375767
2024-01-09,49418.71051568626,42199.92147542782,56397.14693832132
2024-01-10,48657.128627427286,41687.520113666134,56030.91816138707
2024-01-11,50176.151403884454,43199.210579649116,57440.11318396336
2024-01-12,52282.0845353641,44799.00206007517,59246.517517352375
2024-01-13,45530.660837891315,38484.909108292966,52517.467786076115
2024-01-14,25222.55829468718,17653.983346297107,32267.706472716785
2024-01-15,47958.66736507366,41174.97038381232,55030.7738274671
2024-01-16,49583.00223069171,42494.63809167867,56804.87738372643
2024-01-17,48821.42034245021,41309.340598617804,56375.97652154131
2024-01-18,50340.443118860196,43182.10107733482,57575.14581805973
2024-01-19,52446.37625030703,45493.91545195299,59861.976047011965
2024-01-20,45694.952552764065,38278.83377798259,52758.094276794116
2024-01-21,25386.85000952762,18056.053519717327,31954.62549373232
2024-01-22,48122.95907988816,40947.945933024654,55083.02046048176
2024-01-23,49747.293945436126,41953.86854929192,56377.17977845001
2024-01-24,48985.71205718583,41243.28628466373,56239.04211424541
2024-01-25,50504.73483356478,43092.520469230236,57702.68471041754
2024-01-26,52610.6679650235,45361.034463361255,59853.603243854
2024-01-27,45859.24426748025,38409.743726874214,53118.440729561255
2024-01-28,25551.141724257974,18278.35547881859,32606.154658391908
2024-01-29,48287.25079455255,40980.636695690686,55629.43393010519
2024-01-30,49911.5856601414,42717.18424246886,57082.22925446979
2024-01-31,49150.00377190008,42530.46848166516,57000.264938960114
2024-02-01,50669.02654834196,43141.450933617896,57591.438154833726
2024-02-02,52774.95967973997,45531.70778863505,59815.55063597588
2024-02-03,46023.53597819973,38686.919188286905,53007.02109488424
2024-02-04,25715.433431021236,18988.581431873223,33418.59899705977
2024-02-05,48451.54249736847,41607.35869666089,55572.69911138394
2024-02-06,50075.87735896245,43193.71313169307,56973.92462610548
2024-02-07,49314.295466726304,42039.99652884492,56925.24477727255
2024-02-08,50833.318239180895,43761.338257141964,57747.092122076225
2024-02-09,52939.25136662727,45936.95075977089,59978.408515319155
2024-02-10,46187.827665053584,39123.88360949193,53415.24406934561
2024-02-11,25879.725117904687,18951.529312992167,33433.318328896145
2024-02-12,48615.834184248946,41912.300077160784,55871.28806155944
2024-02-13,50240.169045850686,43056.06045971058,57754.43501387775
2024-02-14,49478.58715363202,41813.22121711677,56298.382527343136
2024-02-15,50997.60992607857,43840.37478109832,58666.7998834356
2024-02-16,53103.54305353127,45600.831824352186,60433.23459720955
2024-02-17,46352.11935192653,39221.926528095166,54256.0296026741
2024-02-18,26044.016804788127,18588.671195116982,32977.06098460764
2024-02-19,48780.1258701642,41457.55243754615,56123.16361438929
2024-02-20,50404.4607307613,43706.62143342767,58115.595455227056
2024-02-21,49642.87883756702,42493.41062572667,57211.681411000805
2024-02-22,51161.901608978944,43876.69935405965,58442.99790891011
2024-02-23,53267.83473542253,46201.814610999274,60431.62872533944
2024-02-24,46516.41103285804,38849.304617058806,53590.998345846165
2024-02-25,26208.308484731693,18624.06947448204,33275.15215524338
2024-02-26,48944.41755012551,41576.23656906743,56408.08606655427
