ds,yhat,yhat_lower,yhat_upper
2024-01-01,34444.591269588425,29796.39661035981,39320.50058591484
2024-01-02,35426.01037245249,30827.433311287296,40201.874791300805
2024-01-03,35422.18482326894,30490.252449474057,40034.67707093483
2024-01-04,35732.42955803914,31191.420579331992,40637.43982798114
2024-01-05,37552.40574769526,32921.582653713136,42289.83448292356
2024-01-06,31244.117910468874,26712.834445005145,35955.05615339852
2024-01-07,22623.839716127317,18074.285234219715,27640.911449960186
2024-01-08,34658.30291809779,29930.513138622675,39642.92366221583
2024-01-09,35639.722020995476,30865.626561252488,40436.68191238294
2024-01-10,35635.89647179328,30570.98500338819,40734.71344668502
2024-01-11,35946.14120657256,31053.0014533382,40829.72969548493
2024-01-12,37766.11739624625,32772.60244650026,42555.59738536829
2024-01-13,31457.829559048296,26642.415862385074,36155.94779395845
2024-01-14,22837.551364675346,18037.323027491195,27485.76055082146
2024-01-15,34872.01456664651,30169.841856939864,39732.9964524008
2024-01-16,35853.43366953846,30991.026740574085,40680.41812513995
2024-01-17,35849.60812034343,30870.58882134987,40835.19099299278
2024-01-18,36159.85285547513,31519.927457325626,40708.91442020153
2024-01-19,37979.829045504586,33024.57545901356,43029.32235784252
2024-01-20,31671.541208646006,26770.97229823725,36426.742436487104
2024-01-21,23051.263014626536,17978.544704323656,27818.418625935963
2024-01-22,35085.726216963594,29982.82800530917,39787.171381507454
2024-01-23,36067.1453201957,31204.6215676263,41152.37564795387
2024-01-24,36063.31977136549,31303.881705679403,40950.53337715943
2024-01-25,36373.56450648425,31671.8074095545,41421.96286794129
2024-01-26,38193.5406965163,33400.13690474005,42996.764264495585
2024-01-27,31885.25285965839,26941.312678867045,36785.144648019676
2024-01-28,23264.97466565026,18491.717552670027,27573.99744919537
2024-01-29,35299.43786794865,30621.995416892332,40204.9763637641
2024-01-30,36280.85697120661,31236.638546206825,40754.222299439556
2024-01-31,36277.031422378415,31470.895509948197,41152.17406842087
2024-02-01,36587.276157520275,31653.04637105389,41270.14531237563
2024-02-02,38407.252347528,33671.33893214536,43324.037256671734
2024-02-03,32098.964510794878,27546.774582639802,36744.207149609865
2024-02-04,23478.686316929816,18493.652375268925,28073.285215890533
2024-02-05,35513.14951938101,30642.713724275578,40568.19259093083
2024-02-06,36494.56862276773,31684.290609231208,41262.14975976969
2024-02-07,36490.743074069396,31554.557739590404,41379.810563468214
2024-02-08,36800.98780934306,32060.704202215602,41397.66218694294
2024-02-09,38620.96399950224,33842.337796363856,43543.31704709982
2024-02-10,32312.67616274503,28003.241335114366,37353.84809738906
2024-02-11,23692.39796889705,18617.47472891764,28581.349478756754
2024-02-12,35726.861171353594,31259.577429924324,40217.57434213972
2024-02-13,36708.28027473569,31527.87432767656,41691.3027675983
2024-02-14,36704.4547260445,32118.99307614443,41761.9086629469
2024-02-15,37014.69946131691,32058.858867272982,41666.052924696676
2024-02-16,38834.675651478196,34133.033967166346,43655.43960895738
2024-02-17,32526.387814706686,27918.13491463493,37291.526508808485
2024-02-18,23906.10962086428,19045.01263518669,28795.101055254676
2024-02-19,35940.5728226592,31358.65012157281,40864.51473885911
2024-02-20,36921.9919253686,32224.048297189798,41696.56648213046
2024-02-21,36918.16637601199,32281.715050835635,41568.1675222328
2024-02-22,37228.411110598485,32503.464131541645,41870.31637375719
2024-02-23,39048.38730007819,34134.38587443727,43496.69881500444
2024-02-24,32740.09946265312,27883.148724706913,37356.65209342152
2024-02-25,24119.82126813747,19384.625652646322,29047.622089974855
2024-02-26,36154.284469948456,31328.051711679935,41014.05313975552
2024-02-27,37135.70357264436,32502.324573695194,42152.78483504985
2024-02-28,37131.878023286,32150.45055269115,41992.301483108386
2024-02-29,37442.12275788792,32619.44193545877,42353.56239815507
2024-03-01,39262.09894736972,34466.06343239207,44145.031152722615
2024-03-02,32953.81110997309,27845.659504053572,37614.15049550505
2024-03-03,24333.53291542028,19525.31200163199,29270.899805552755
2024-03-04,36367.99611723884,31416.719878826745,41697.36514732313
2024-03-05,37349.415219935676,32457.471272014427,42011.235955130054
2024-03-06,37345.58966987437,32603.73763691093,42377.25982077048
2024-03-07,37655.83440380484,32673.34655875104,42568.83929752432
2024-03-08,39475.81059261674,34568.714158756535,44250.86746705311
2024-03-09,33167.52275453276,28337.718371445877,38087.70296144148
2024-03-10,24547.24455932627,19569.035757997313,29372.18063915908
2024-03-11,36581.70776046901,32067.859320789164,41602.28260335864
2024-03-12,37563.126862475816,32395.74584301852,42304.40636515778
2024-03-13,37559.30131242943,32521.75154578175,42541.75869836852
2024-03-14,37869.54604635865,33150.897268304245,42269.61127842909
2024-03-15,39689.522235172655,34825.00872806005,44301.93620047494
2024-03-16,33381.23439708587,28579.96361966468,38036.04735915215
2024-03-17,24760.956201867695,19661.069654762476,29448.013454697404
2024-03-18,36795.4194029833,32039.24246450559,41925.66978991007
2024-03-19,37776.83850502373,32852.359494831275,42569.43118242055
2024-03-20,37773.01295498449,33278.79206599791,42615.25818210449
2024-03-21,38083.257688897,33376.72540848038,42555.94756217345
2024-03-22,39893.109682000446,35189.73954509216,45003.50716922265
2024-03-23,33574.69764823243,28597.45212486067,38435.34886366115
2024-03-24,24944.295257281214,19956.65142248183,29768.336675562234
2024-03-25,36968.63426268436,32095.694572848435,41543.76565955514
2024-03-26,37939.92916899813,33045.71003028031,42767.15958646783
2024-03-27,37925.97942324777,32884.656656688305,42587.46894821566
2024-03-28,38226.09996147426,33480.404100867796,43105.19650626737
2024-03-29,40035.9519545626,35185.462953978684,44633.14398800058
2024-03-30,33717.53992079352,28843.946662921626,38468.90695659627
2024-03-31,25087.137529842137,20252.568322516287,29778.12071698531
2024-04-01,37111.4765352471,32753.860667260546,42290.0482046626
2024-04-02,38082.771441565164,33546.594352519896,42720.09068000141
2024-04-03,38068.821695819934,33578.14145459551,42732.07027322302
2024-04-04,38368.94223402058,33410.6529711416,43156.40591832669
2024-04-05,40178.794227111524,35295.2348618985,44916.183243742336
2024-04-06,33860.3821933316,29379.877344634817,38669.37545878459
2024-04-07,25216.468720883357,20207.228029269292,30098.429219862912
2024-04-08,37227.296644779715,32549.18877982815,42135.897049239466
2024-04-09,38185.08046957922,33521.16184581431,43182.165308726995
2024-04-10,38157.61964230139,32965.879452540576,42574.96704993168
2024-04-11,38444.22909899717,33822.83583170086,43376.20827954318
2024-04-12,40240.57001057677,35434.159649205234,44830.13929935699
2024-04-13,33908.64689528358,28926.60799806243,38814.99732964592
2024-04-14,25264.733422837053,20672.848036920353,29904.7331659148
2024-04-15,37275.56134674484,32288.383776454495,41945.567198406265
2024-04-16,38233.3451715375,33556.93545148923,42898.508147308865
2024-04-17,38205.88434426681,33583.32932791251,43243.88074349802
2024-04-18,38492.493800961354,33686.37154681754,43389.063463441016
2024-04-19,40288.83471254131,35397.152148959554,44974.36739457638
2024-04-20,33956.91159723555,29007.742740043133,38752.883103842876
2024-04-21,25312.998124788835,20557.841620684183,30083.84075403949
2024-04-22,37323.82604870996,32751.95137983508,41970.183116742286
2024-04-23,38269.42506390233,33439.27041472365,43525.3748384392
2024-04-24,38229.779427048015,33885.367375636735,43188.592492711774
2024-04-25,38504.204074133595,33872.655261142725,43533.54454678562
2024-04-26,40288.36017616495,35522.8810024521,45079.855747214264
2024-04-27,33944.25225125923,28700.44558301351,38687.70987743002
2024-04-28,25288.1539692382,20680.698568246025,30134.98604380578
2024-04-29,37286.797083533886,32285.5360946827,42055.36028361753
2024-04-30,38232.39609876437,33235.492429839986,43286.70988293574
2024-05-01,38192.750461900934,33483.35390813676,43173.63836296775
2024-05-02,38467.17510901364,33286.71565267574,43062.39780476957
2024-05-03,40251.331211001685,35350.379733432026,45205.82241658337
2024-05-04,33907.2232861001,28957.744705042966,38451.80683479622
2024-05-05,25251.125004096153,20770.532192366765,29806.705878528068
2024-05-06,37249.768118399414,32491.496880690665,41892.25740114854
2024-05-07,38195.36713361526,33276.374919475464,42963.00076403817
2024-05-08,38155.72149675385,33226.19238377557,42665.06495714034
2024-05-09,38422.88252619979,33832.31140847031,43194.333575701094
2024-05-10,40199.775010542464,35368.71094711532,45129.96340654933
2024-05-11,33848.40346800638,28970.16026102432,38466.60300504027
2024-05-12,25185.041568302317,20454.681137567135,30110.784265645398
2024-05-13,37176.421064947965,31966.45746575499,41832.96343484317
2024-05-14,38114.75646250403,33269.28356414114,43094.93945015544
2024-05-15,38067.84720797904,32653.663982695583,42759.41458784669
2024-05-16,38335.0082374197,33921.212979641954,43328.85650616666
2024-05-17,40111.9007217685,35208.25965354322,44884.41342610872
2024-05-18,33760.529179206605,29179.07445428749,38714.704127094825
2024-05-19,25097.167279519625,20477.95001010182,30229.533158921568
2024-05-20,37088.54677617285,32479.00210924881,41573.957790290864
2024-05-21,38026.882173714286,33303.42137751271,42793.161302607405
2024-05-22,37979.97291920045,33006.19604291586,42876.69915333517
2024-05-23,38247.13394862817,33488.196693888116,43088.67452919411
2024-05-24,40024.02643296459,35721.88117345143,44956.31652692773
2024-05-25,33672.65488700394,29013.81954419482,38488.063051428566
2024-05-26,25009.292983875508,20310.635995594967,29745.487184126465
2024-05-27,37000.67247707955,32234.342474937832,42023.968873485595
2024-05-28,37939.007871220936,33012.86342366454,42576.02839424536
2024-05-29,37892.09861329613,33013.10039805976,42773.31260154084
2024-05-30,38159.2596392967,33162.453865368196,43149.667272252496
2024-05-31,39936.15212020932,35129.52598729129,44747.92187958018
2024-06-01,33584.78057422286,28723.924904694475,38550.59144439681
2024-06-02,24921.418671111507,20333.39754951657,29998.212042575644
2024-06-03,36912.79816432313,32155.741794993217,41789.48809009341
2024-06-04,37851.13355846544,32960.99839835885,42966.6290264312
