ds,yhat,yhat_lower,yhat_upper
2024-01-01,27580.25068812431,21972.438381315173,32814.19456357805
2024-01-02,29115.255427071665,23815.18172739091,34755.69437550086
2024-01-03,28777.134605802705,23139.69470964756,34270.99179037226
2024-01-04,29572.402246685284,24603.418118789712,35300.8298710644
2024-01-05,30451.248082411534,25124.239890153636,36078.17619200311
2024-01-06,21121.93548176948,15760.338179893484,26456.63673975105
2024-01-07,15887.926159858778,10064.152293533614,21298.101721924395
2024-01-08,27727.727384327372,22470.34450065256,32902.99214205004
2024-01-09,29262.732123306138,24146.571871259144,34951.38501903966
2024-01-10,28924.61130202894,23655.97553604385,34221.16542146796
2024-01-11,29719.878942916315,24353.796411207913,35506.20449015861
2024-01-12,30598.724778650278,24730.183168315772,36183.93515155427
2024-01-13,21269.412178041115,16020.581225740963,26208.194089153483
2024-01-14,16035.40285610232,10686.6139005857,20895.801419424377
2024-01-15,27875.20408057016,22504.87550479352,33856.102828932475
2024-01-16,29410.20881954061,24160.80126823092,34980.287154012985
2024-01-17,29072.08799826817,23790.495343638595,34478.68645498168
2024-01-18,29867.35564056757,24496.4198270569,35538.10442765237
2024-01-19,30746.201477710747,25442.14176409707,35912.56778049505
2024-01-20,21416.888878503247,16049.858121360105,26834.76615147658
2024-01-21,16182.87955797648,11114.329297532015,21792.23697751929
2024-01-22,28022.68078386727,22722.1613625542,33407.7567124075
2024-01-23,29557.685524237924,23899.022951896368,34784.47278273211
2024-01-24,29219.564704381635,23902.941229411874,34813.72028257956
2024-01-25,30014.83234667466,24404.57005882768,34925.878225668486
2024-01-26,30893.678183815184,25168.611916918646,36465.38497532028
2024-01-27,21564.365584608833,16309.099494870505,26776.244662169975
2024-01-28,16330.356264096074,11174.382442731096,22025.443543946443
2024-01-29,28170.157489946385,22778.14481560988,33702.9747835363
2024-01-30,29705.162230346097,24430.002163225166,35132.97823500472
2024-01-31,29367.041410490416,24174.770726515486,34683.75834672544
2024-02-01,30162.309052792185,25069.973285204906,35439.3387371305
2024-02-02,31041.15488991962,25581.573477508584,36155.10110669959
2024-02-03,21711.8422885412,16274.800304403832,27265.9725343809
2024-02-04,16477.832965862028,11230.18151992217,21975.92839691464
2024-02-05,28317.63418957124,22803.9202793905,33474.411088768895
2024-02-06,29852.638927800996,24210.48896796633,35255.97510248692
2024-02-07,29514.51810577965,24369.050430154013,34668.1821998474
2024-02-08,30309.785745915822,25176.316297503865,35754.66438551105
2024-02-09,31188.631580900477,25982.457772983995,36555.37052823959
2024-02-10,21859.318979490115,16095.396476555958,27297.272780638305
2024-02-11,16625.30965682784,11165.693875652116,22085.283620223578
2024-02-12,28465.11088054497,22993.040082966603,33939.16507707337
2024-02-13,30000.115618764154,24506.026944664136,35485.788619286155
2024-02-14,29661.99479674757,24546.949525689226,35152.32737855667
2024-02-15,30457.262436884896,24808.274941188698,35740.84371113683
2024-02-16,31336.108271867903,25793.63435792582,36666.01692472732
2024-02-17,22006.79567044833,16857.95785963029,27450.853498278993
2024-02-18,16772.786347793644,11744.416200698462,22507.073958392608
2024-02-19,28612.587558989966,23381.033866538688,33960.11316532813
2024-02-20,30147.592284685048,24797.52154213355,35621.58387328708
2024-02-21,29809.471450142824,24380.059892751626,34884.73790190509
2024-02-22,30604.73907774774,25267.580729369805,35702.25620991821
2024-02-23,31483.584900193524,25842.514318558326,36421.80457770454
2024-02-24,22154.27228626124,16979.915833982555,27281.80489324486
2024-02-25,16920.262951070516,11589.503330708485,22241.75523489773
2024-02-26,28760.064162291907,23545.138529202308,33869.855807926884
2024-02-27,30295.068887976322,24971.00277039065,35278.46780441066
2024-02-28,29956.948053432898,24318.15427384207,35972.831571780516
2024-02-29,30752.21568104728,25338.854188944006,36235.5848524248
2024-03-01,31631.061503491415,26365.075397354252,37019.089665576044
2024-03-02,22301.748889592032,16869.005627252518,28028.671481359714
2024-03-03,17067.73955436679,11416.128349389191,22668.422969763604
2024-03-04,28907.540765591584,23460.601746785636,34262.149859574296
2024-03-05,30442.545491272303,24956.441460232938,35628.098745253075
2024-03-06,30100.50896285972,24847.77048387008,35518.369529609285
2024-03-07,30891.860896612074,25712.934730232744,36563.316828706804
2024-03-08,31766.79102520326,26134.72776243544,37007.68689793901
2024-03-09,22433.562717437148,17237.323024903264,27769.538562770736
2024-03-10,17195.637688376657,11602.77716904586,22278.069514458286
2024-03-11,29031.52320574213,23817.662589063773,34249.1137574826
2024-03-12,30562.612237553618,24688.845670812745,35594.993490048335
2024-03-13,30220.575709148136,24766.221900027438,35594.93003613797
2024-03-14,31011.927642901654,25673.187805879574,36208.4275869315
2024-03-15,31886.85777149119,26206.73263465309,37241.373728204475
2024-03-16,22553.629463725185,17018.831785205497,27789.575175195692
2024-03-17,17315.704434656553,11865.611017216363,22584.01939492856
2024-03-18,29151.58995199439,23931.383936227317,34295.11735522173
2024-03-19,30682.67898383729,25461.749575113772,36237.52215966471
2024-03-20,30340.64245543656,24947.412165690508,35580.12272196748
2024-03-21,31131.99438918188,25836.488163417274,36523.61382297937
2024-03-22,32000.32839419447,26840.067830942753,37749.4269960669
2024-03-23,22660.503962888102,16965.123564720943,28171.566172755873
2024-03-24,17415.982810226382,12387.106467561043,22387.286156757586
2024-03-25,29245.27220398916,23868.908604188673,34576.26617581071
2024-03-26,30769.765112247092,25465.938867811226,36226.31056791173
2024-03-27,30421.132460272667,24648.577982143255,35258.86549076633
2024-03-28,31205.888270460695,25656.326152533074,36402.18293380223
2024-03-29,32074.222275475702,26734.64816317655,37222.10406230761
2024-03-30,22734.397844156018,17406.752906995203,28041.04892730262
2024-03-31,17489.876691498994,12626.494068060125,23120.3398593863
2024-04-01,29319.166085258763,23948.26872770103,34722.89664622344
2024-04-02,30843.658993519162,25684.418632495945,36229.96458271519
2024-04-03,30495.02634154565,25113.12917966082,35688.23204691948
2024-04-04,31279.782151720807,25780.816013834028,36712.52734078893
2024-04-05,32148.11615673316,27134.334798708747,37257.161397549426
2024-04-06,22808.291725405317,17435.860517336852,28155.268597772938
2024-04-07,17556.963863803234,12306.99725575751,22725.980795616022
2024-04-08,29379.446548608976,24076.0276264999,35009.47627592683
