ds,yhat,yhat_lower,yhat_upper
2024-01-01,21614.726971313274,17722.487247611654,25367.509592484643
2024-01-02,22517.81059682558,18742.460848215404,26565.32208361343
2024-01-03,22262.28043052189,18535.206644331618,25898.356518391312
2024-01-04,22618.67581785678,18895.09440219578,26342.678766090776
2024-01-05,23132.97432227613,19280.23697024501,26896.04456267229
2024-01-06,14553.569131511254,10981.343364112376,18325.57052010186
2024-01-07,11371.710024016107,7555.963264332417,15295.847308152492
2024-01-08,21646.271024055055,18103.733351550436,25535.715649829246
2024-01-09,22549.35464959251,18751.657797233114,26288.157085856765
2024-01-10,22293.824483284377,18533.41080890233,26073.79460665445
2024-01-11,22650.219870621924,18831.170378635237,26461.282147926006
2024-01-12,23164.518375046726,19412.963845489267,26691.685135258715
2024-01-13,14585.113184309004,10866.798106082686,18162.266836265157
2024-01-14,11403.25407679309,7418.366684299593,14926.585137218131
2024-01-15,21677.815076830004,18125.36514389728,25489.999443094595
2024-01-16,22580.898702359438,18688.24852914829,26177.76664121074
2024-01-17,22325.368536055073,18298.768291696295,26261.380398842284
2024-01-18,22681.76392299525,18456.067405829843,26472.044433341798
2024-01-19,23196.062427019566,19749.25912577679,26898.07559126983
2024-01-20,14616.657235876271,10955.54297548358,18399.32926913512
2024-01-21,11434.798127961234,7573.035422321563,15128.123333768888
2024-01-22,21709.35912761054,18023.993064335926,25350.28130440791
2024-01-23,22612.442752732743,18610.80485030076,26322.51043303242
2024-01-24,22356.912586032802,18638.733292039306,26256.618009471695
2024-01-25,22713.30797296822,18945.085534205173,26714.970864293035
2024-01-26,23227.60647698936,19260.740363836423,26991.04219361324
2024-01-27,14648.201285848007,10767.7811741879,18268.621728069804
2024-01-28,11466.342177946039,7858.042758257701,15222.886590875487
2024-01-29,21740.903177560143,17980.621055881486,25472.88081273327
2024-01-30,22643.986802707168,18980.709575960198,26313.352061837515
2024-01-31,22388.456636007217,18901.139817037183,26254.980986215174
2024-02-01,22744.852022948762,19111.733936750934,26507.97493783243
2024-02-02,23259.150526959158,19352.705172792183,26889.972170680703
2024-02-03,14679.745336726108,10641.377285285864,18456.53570804767
2024-02-04,11497.88622973341,7802.675983807463,15556.117810644882
2024-02-05,21772.44723028392,17998.370374417933,25406.27551562826
2024-02-06,22675.53085634127,18851.39226191898,26200.912009360145
2024-02-07,22420.000690555822,18623.22213571939,25913.82040384544
2024-02-08,22776.396078410755,18945.077944593137,26569.077639382922
2024-02-09,23290.6945833559,19549.77628012213,27326.917501506225
2024-02-10,14711.289393093224,10601.908895179185,18523.18382074698
2024-02-11,11529.43028611542,7797.63035938775,15194.090562014166
2024-02-12,21803.991286674063,18103.362922052376,25357.180010055097
2024-02-13,22707.074912719883,18891.09655660658,26589.289396235126
2024-02-14,22451.5447469382,18691.349448931236,25992.201805054705
2024-02-15,22807.940134794644,19068.78480527509,26922.728244274665
2024-02-16,23322.238639738178,19478.398081928404,27073.785933247247
2024-02-17,14742.833449468819,10782.373298002476,18386.628988373977
2024-02-18,11560.974342497431,7897.757479138326,15146.295482999385
2024-02-19,21835.53533841556,17963.04440554557,25471.149645977912
2024-02-20,22738.61895982226,18765.124860979307,26226.45654148241
2024-02-21,22483.088789395704,19040.46336637792,26187.362212154636
2024-02-22,22839.484172604974,19183.137201167578,26643.21584502757
2024-02-23,23353.78267289509,19420.324795408997,27303.790743422884
2024-02-24,14774.37747799467,11070.88613942882,18190.100062260517
2024-02-25,11592.518366367613,8283.600728494755,15390.405676020451
2024-02-26,21867.079362310822,18231.708472990933,25554.98571365106
2024-02-27,22770.16298370917,18889.85221858329,26278.7835703912
2024-02-28,22514.632813281816,18837.657981758934,26599.491160851892
2024-02-29,22871.028196497493,18989.688036676438,26693.142412073514
2024-03-01,23385.326696786,19397.329551574927,27473.863348168758
2024-03-02,14805.921501912733,11200.401272247482,18647.88822434035
2024-03-03,11624.062390258248,7752.962954801259,15642.110503458425
2024-03-04,21898.623386202573,18240.59514538963,25508.856191261406
2024-03-05,22801.707007596742,19139.013006331108,26907.10642377219
2024-03-06,22545.09774997199,18964.865762433044,26088.16774982164
2024-03-07,22900.41404599114,19272.345406522945,26747.823944810225
2024-03-08,23413.633459090397,19553.64851753328,27139.929443348097
2024-03-09,14833.149177017964,10945.645556818814,18479.175885455334
2024-03-10,11650.2109781924,7792.669960413197,15439.694185238828
2024-03-11,21923.692886942063,18021.08981052375,25697.9166291857
2024-03-12,22825.69742113525,18951.17471952069,26454.817844511344
2024-03-13,22569.088163514592,18689.299611109738,26377.157381762303
2024-03-14,22924.404459535253,19115.293491578053,26594.898885173843
2024-03-15,23437.623872632903,19503.86458551256,27134.36574480465
2024-03-16,14857.139590562265,10891.736956187162,18512.617034290182
2024-03-17,11674.201391727982,7970.407657176544,15402.387523478938
2024-03-18,21947.683300455745,17621.69647774377,25764.6726774769
2024-03-19,22849.687834674085,18920.706366118913,26513.15271685757
