ds,yhat,yhat_lower,yhat_upper
2024-01-01,17770.619108000865,14992.526129678223,20681.16270901555
2024-01-02,18288.850596283464,15412.87865981993,21128.907372806403
2024-01-03,18093.040556626707,15299.782718582694,21073.67816522682
2024-01-04,18365.02211669036,15693.639794721295,21004.00159023294
2024-01-05,18714.803628501384,15964.533930962209,21666.646807205194
2024-01-06,13705.189241618853,10789.098352758188,16116.717240042952
2024-01-07,10183.157096721137,7482.422424273192,12978.827532420157
2024-01-08,17841.737240124727,15238.830704883561,20870.899555568845
2024-01-09,18359.9687284268,15588.890961141527,21336.35552053464
2024-01-10,18164.15868876238,15430.942398777011,20888.963028882856
2024-01-11,18436.140248829885,15619.583350324994,21281.733910506122
2024-01-12,18785.92176064827,16005.011473460389,21650.311822635922
2024-01-13,13776.307373783855,10740.871718094748,16700.88852388186
2024-01-14,10254.275228869688,7612.377230963636,12990.97787594763
2024-01-15,17912.855372272636,15070.168104110833,20792.26233236152
2024-01-16,18431.08686057014,15593.644505052249,21249.145170806503
2024-01-17,18235.276820909534,15429.833618683346,21317.761781147594
2024-01-18,18507.25837995693,15706.590750722075,21221.40986502223
2024-01-19,18857.03989075531,16085.111548943418,21577.15128985423
2024-01-20,13847.425502864493,10951.032154888468,16547.230091852507
2024-01-21,10325.39335693089,7498.9459625196905,13123.77233513346
2024-01-22,17983.97349932092,15114.393035485467,20301.166285721356
2024-01-23,18502.204986591027,15680.712008254335,21369.178022178094
2024-01-24,18306.39494591537,15653.612102072657,21126.370313687843
2024-01-25,18578.37650495699,15821.628128835437,21497.67222927166
2024-01-26,18928.158015755056,16338.978311351022,21816.19414475162
2024-01-27,13918.54362786544,11089.429374242534,16694.336639999085
2024-01-28,10396.51148193997,7563.4036334596985,13185.147371507845
2024-01-29,18055.09162430531,15315.632455405932,20686.02072448147
2024-01-30,18573.323111591995,15645.854791709358,21329.901927599116
2024-01-31,18377.51307091731,15804.092154735235,21107.597544299762
2024-02-01,18649.494629969195,15758.016089970555,21331.132365191323
2024-02-02,18999.2761407548,16045.758327724549,21559.408664088383
2024-02-03,13989.661752577125,11080.796429019181,16782.023870799156
2024-02-04,10467.629606367525,7696.650268291802,13318.630716221083
2024-02-05,18126.20974846461,15272.90420436525,20950.3426811887
2024-02-06,18644.441235464357,15842.427895701076,21412.307896809176
2024-02-07,18448.631194504873,15347.137492719872,21303.34395762841
2024-02-08,18720.61275327199,15988.550076509287,21687.198172454795
2024-02-09,19070.394263787988,16307.535306780284,22083.5339627251
2024-02-10,14060.779875591556,11222.689928021797,16732.47157338908
2024-02-11,10538.747729392642,7474.582196345977,13327.634729441983
2024-02-12,18197.327871493424,15536.128434418792,21174.22104930954
2024-02-13,18715.559358488088,15780.216740597756,21514.029030968468
2024-02-14,18519.749317532423,15703.738975204276,21242.305408428325
2024-02-15,18791.730876299353,15841.305871126211,21545.090023113404
2024-02-16,19141.512386815266,16383.044200026256,22077.038984864248
2024-02-17,14131.897998612365,11455.122341584029,17059.577813375472
2024-02-18,10609.865852417766,7946.728325082283,13412.435800118488
2024-02-19,18268.44599506163,15522.01962749385,21110.737121487124
2024-02-20,18786.67748259677,16122.114620904556,21706.476807977324
