ds,yhat,yhat_lower,yhat_upper
2024-01-01,36357.32011106985,31263.311019123,41717.564293098636
2024-01-02,37499.216723000456,32755.863955055127,42457.38317515588
2024-01-03,37828.765905579996,32838.08926339124,42970.727714014916
2024-01-04,38122.41450931466,33228.10730401612,42993.48856092929
2024-01-05,41274.889884176526,36009.74923334018,46529.515242335336
2024-01-06,34780.10445968248,29695.788655085,40095.768541348494
2024-01-07,24865.57514208607,19567.369669332267,29926.396277463096
2024-01-08,36566.0426026703,31411.287931928116,42077.559146822416
2024-01-09,37707.93921463517,32399.747044094976,42854.065309379155
2024-01-10,38037.48839719593,32991.8893116826,43110.06181567582
2024-01-11,38331.137000939954,33022.89539462584,43698.48742912917
2024-01-12,41483.61237582052,36836.36382146295,46579.32988512368
2024-01-13,34988.82695135698,29825.248252386893,39936.39938584107
2024-01-14,25074.297633725822,19913.936059969034,29985.223363502286
2024-01-15,36774.765094311064,31507.818572580338,41673.497091142366
2024-01-16,37916.66170626988,32552.913315784528,42560.59426805848
2024-01-17,38246.210888837595,33196.81112953835,43599.995025480785
2024-01-18,38539.85949449029,33314.39634266363,43509.51163380796
2024-01-19,41692.33487128261,36508.73199096709,46768.4697993771
2024-01-20,35197.54944871203,29830.155693312838,40298.475975105386
2024-01-21,25283.020132987735,20101.98323502965,30631.725886999815
2024-01-22,36983.487595497056,31701.68736761677,42036.04534006856
2024-01-23,38125.384209351665,32701.483823916034,42933.7881743684
2024-01-24,38454.93339383927,33209.34270791197,43511.88797491371
2024-01-25,38748.5819994789,33636.66322957204,43781.5507597456
2024-01-26,41901.05737627398,36481.58038413587,47144.45683394962
2024-01-27,35406.271953703246,30512.186209813117,40426.655324622145
2024-01-28,25491.742637990814,20311.072763774428,30840.543217933693
2024-01-29,37192.210100460834,32245.641289330455,42095.60641218709
2024-01-30,38334.106714342495,33391.552239548815,43404.2764139053
2024-01-31,38663.65589883139,33601.80102055667,43413.79679609614
2024-02-01,38957.304504492466,34046.07241801359,44018.84829011526
2024-02-02,42109.77988126536,36552.449408124645,46890.39367871733
2024-02-03,35614.99445890746,30153.61337880142,40365.69637707072
2024-02-04,25700.46514343353,20430.572419203232,30857.26773071102
2024-02-05,37400.9326061422,32269.64054178587,42641.14428487146
2024-02-06,38542.82922024346,33264.91694994713,43997.83560763994
2024-02-07,38872.37840495218,33817.36504619351,43718.6811614057
2024-02-08,39166.027010835474,33946.64188863011,44361.044127605965
2024-02-09,42318.502387846675,37096.45527717126,47308.1790399303
2024-02-10,35823.716965466076,30933.817721754873,41289.43370632769
2024-02-11,25909.187650009728,20898.434066234033,31056.439937841005
2024-02-12,37609.655112726316,32191.11277631602,42891.43727062954
2024-02-13,38751.55172682161,33601.72854766289,43775.19105710027
2024-02-14,39081.1009115373,34078.598804052875,44211.88511617523
2024-02-15,39374.74951742022,34226.48769724883,44360.840333129105
2024-02-16,42527.22489443411,37169.86731926132,47722.20512379708
2024-02-17,36032.43947203743,30987.41935448519,40652.475129992235
2024-02-18,26117.910156585916,20850.51863139868,31344.306507836187
2024-02-19,37818.37762034476,32739.976085032926,43092.87813051029
2024-02-20,38960.2742354702,33893.483482890115,44445.30697953606
2024-02-21,39289.82342122479,33791.928050598406,44485.706689190825
2024-02-22,39583.47202812546,34245.93625971569,44250.07251142444
2024-02-23,42735.94740616031,37238.94918344007,47656.94610591872
2024-02-24,36241.161984813545,31100.228997682665,40943.63725990768
2024-02-25,26326.63267039619,21221.595252280094,31527.880164899874
2024-02-26,38027.10013416785,32613.141152245506,43062.50848058072
2024-02-27,39168.99674928004,34167.65732641777,44128.83301626855
2024-02-28,39498.545935032605,34398.355003260505,44439.03860419464
2024-02-29,39792.194541949066,34644.284611165036,44958.17102814086
2024-03-01,42944.669919986634,38166.81415662767,48421.37174589953
2024-03-02,36449.88449867037,31065.7763562992,41450.484954465086
2024-03-03,26535.35518421125,21404.829544656608,31882.056384902968
2024-03-04,38235.82264799104,33228.222833688626,43598.147047505576
2024-03-05,39377.71926310427,34613.87318552893,44033.623144786485
2024-03-06,39701.727868328875,34450.670426618235,44521.0803741495
2024-03-07,39989.83589474569,34637.925073728606,45128.72780858779
2024-03-08,43136.770692291044,38237.685297151256,48546.85486684423
2024-03-09,36636.444690459895,31566.97409836318,41505.50437125945
2024-03-10,26716.37479552337,21731.914997195006,32119.3675409575
2024-03-11,38411.30167880216,33015.72021024571,43448.7379851824
2024-03-12,39547.65771340016,34158.09259325176,45201.48873487654
2024-03-13,39871.66631863893,34739.68564973961,45324.626467974595
2024-03-14,40159.77434505535,35159.93581721121,44996.81330962786
2024-03-15,43306.70914260342,38091.78167441057,48568.33850772518
2024-03-16,36806.383140768914,31253.295787272444,42060.276775270635
2024-03-17,26886.31324581748,21325.7840814795,31751.006126169836
2024-03-18,38581.240129071004,33003.77413879672,43355.8251545959
2024-03-19,39717.59616370326,34510.5800326654,45008.75771957783
2024-03-20,40041.60476894898,34721.93503785847,44893.58841931261
2024-03-21,40329.712795349034,35099.72055036732,45594.166779417814
2024-03-22,43466.386373786314,38728.1963738859,48735.323576875664
2024-03-23,36955.79915287197,32124.25250497902,42063.318237580155
2024-03-24,27025.46803878498,21772.10377288954,31751.201333668734
2024-03-25,38710.133702925974,33401.67452910576,43600.33815878863
2024-03-26,39836.228518431424,34763.69661930614,45187.73983670885
2024-03-27,40149.97590456489,34871.81375722894,45488.45890366794
2024-03-28,40427.82271187985,35424.937137828,45312.45516828519
2024-03-29,43564.496290297735,38450.378158908265,48802.06153374087
2024-03-30,37053.90906938618,31743.08147414092,42328.39160218637
2024-03-31,27123.577955298297,22005.919950144787,32033.042040600656
2024-04-01,38808.243619440385,33547.14480653632,43688.68564134397
2024-04-02,39934.33843494906,34765.63462488099,45111.03105175731
2024-04-03,40248.08582108966,35465.0450276679,45506.05635384228
2024-04-04,40525.932628378716,35340.4251979559,45685.667193848465
2024-04-05,43662.606206799355,38541.95955858962,48584.4594489928
2024-04-06,37152.01898587491,31613.257533214288,42546.63076853924
2024-04-07,27210.578474234877,22198.373609110567,32470.851945909802
2024-04-08,38884.13474081516,33559.00836473146,43741.330311597485
2024-04-09,39999.12015874816,34852.40878017658,44955.20330794142
2024-04-10,40301.75814730028,35096.242760617846,45597.304278697935
2024-04-11,40568.49555702897,35852.837079845856,45942.93780929447
2024-04-12,43694.05973788264,38503.7541404473,48811.64283865845
2024-04-13,37172.36311938832,32484.328567507597,42421.11023792481
2024-04-14,27230.922607755343,21749.47525316384,32358.57189106556
2024-04-15,38904.47887434155,33591.15697851097,44114.35277494971
2024-04-16,40019.46429226839,34701.88741460194,45422.43242420208
2024-04-17,40322.102280827465,35123.89667544909,45276.051051881725
2024-04-18,40588.83969055577,35464.87077752411,45642.539383318894
2024-04-19,43714.40387140602,38428.135086312985,49023.99654464987
2024-04-20,37192.70725290174,32222.676541274468,42334.290126294734
2024-04-21,27251.266741266583,21828.789807791076,32231.569644699168
2024-04-22,38924.82300786792,33640.56321656185,43889.306981234804
2024-04-23,40030.76009104536,34807.09631457448,44926.49351756859
2024-04-24,40324.34974486967,35549.684960744366,45605.63964869213
2024-04-25,40582.0388198354,35685.501558618445,46069.046107016016
2024-04-26,43698.55466599131,38613.16519810762,48919.96487286361
2024-04-27,37167.80971273488,32163.979437716458,42204.059205995414
2024-04-28,27217.320866375514,22213.46922785262,32031.283235026367
2024-04-29,38881.82879820139,34107.491834209904,43879.74940856042
2024-04-30,39987.76588141536,34607.43200584952,45096.07862155465
2024-05-01,40281.355535231596,34816.35286371212,45391.88524142617
2024-05-02,40539.044610225785,35479.947061602215,45093.294068803785
2024-05-03,43655.560456336556,38503.32150559747,49048.88334019032
2024-05-04,37124.81550308317,32163.656306643457,42544.38043844874
2024-05-05,27174.32665674138,22007.177214380845,32725.62873784613
2024-05-06,38838.83458857538,33934.63563592019,44100.26024851138
2024-05-07,39944.771671776,34782.11166831752,44750.57927073057
2024-05-08,40238.36132559352,35342.92499041974,45513.485731657645
2024-05-09,40491.370415941776,35332.217020074466,45624.85696683754
2024-05-10,43603.2062774288,38293.9129713846,48611.90988974308
2024-05-11,37067.7813395635,31590.445425200698,42339.9306704489
2024-05-12,27112.612508537517,21911.46076306274,32305.19790972353
2024-05-13,38772.440455737014,33656.21582519957,43867.725586772365
2024-05-14,39873.69755429645,34694.18801658752,44787.924253560486
2024-05-15,40162.60722347131,35242.74687442677,45231.82472223159
2024-05-16,40415.61631381215,35358.4991707499,45919.633030850964
2024-05-17,43527.45217530892,38283.090414609476,48261.30723041677
2024-05-18,36992.02723741478,31934.009099188133,42320.2934114831
2024-05-19,27036.858406406373,21847.649134896837,32187.889482854833
2024-05-20,38696.686353613986,33318.74373815305,43662.92359619006
2024-05-21,39797.94345216007,34185.82836564212,45078.861012020454
2024-05-22,40086.85312134576,35007.738545631284,44922.717332597764
2024-05-23,40339.86221167355,35198.91079998539,45698.94588841612
