ds,yhat,yhat_lower,yhat_upper
2024-01-01,23417.694097711526,18420.35898549708,28367.969207648923
2024-01-02,24771.855409228672,19541.43142107228,29759.362338157218
2024-01-03,23612.652098965817,18508.86578044913,28439.164053115008
2024-01-04,24366.814408106686,19383.83208519005,29173.985886633316
2024-01-05,24206.8025583044,19446.478436547335,29369.980557744242
2024-01-06,11390.041426310425,6418.177283278377,16504.94735493431
2024-01-07,8175.522371760655,3041.948693728163,13086.56804192725
2024-01-08,23446.449511792514,18206.638550594154,28454.677556041082
2024-01-09,24800.610823345924,19748.401610904526,29545.382335740152
2024-01-10,23641.40751307844,18793.13862304347,28820.01349070734
2024-01-11,24395.569822222824,19558.498374204642,29498.28098852533
2024-01-12,24235.557972425442,19099.542680779756,29136.847291274848
2024-01-13,11418.796840470837,6577.269426119978,16692.936797510745
2024-01-14,8204.277785893055,3326.686729359547,13509.276193973441
2024-01-15,23475.204925921862,18264.771854157058,28763.514158970025
2024-01-16,24829.366237463175,19982.672213459915,30192.737409234556
2024-01-17,23670.162927200858,18120.72722980149,28315.277193130598
2024-01-18,24424.325236094835,19219.610950139337,29453.920523755383
2024-01-19,24264.31338604095,19253.210254780766,29419.2791607433
2024-01-20,11447.552253825936,6367.779224797662,16403.786252417347
2024-01-21,8233.033198997575,3219.6203753891214,13571.832091456492
2024-01-22,23503.960338787372,18672.082021389284,28417.340109649598
2024-01-23,24858.121650063655,19506.779192962378,29983.664475722308
2024-01-24,23698.918339553897,18924.671336259315,29007.81562358004
2024-01-25,24453.080648441617,19389.042206030106,29511.84550455931
2024-01-26,24293.068798381973,19124.737242723106,29193.25681601427
2024-01-27,11476.307666169976,6527.209997232941,16611.291034236267
2024-01-28,8261.78861136062,3490.101549329845,13410.035273309075
2024-01-29,23532.715751099004,18329.494548197115,28874.412852765334
2024-01-30,24886.87706241137,19841.50737679099,29622.154777960917
2024-01-31,23727.673751902064,18749.387711869345,28815.56438115146
2024-02-01,24481.83606079621,19602.788085819786,29621.9615430447
2024-02-02,24321.82421072298,19259.625457550497,29442.575938869424
2024-02-03,11505.063078519892,6346.053899269025,16281.56184181111
2024-02-04,8290.544023713022,3588.3716223695124,13557.668760718168
2024-02-05,23561.47116350382,18656.798756657437,28506.840706147454
2024-02-06,24915.632474825125,19779.2255510806,30058.144884307712
2024-02-07,23756.429164332556,18736.830029230616,28671.09635389964
2024-02-08,24510.591473241773,19571.50019508241,29883.84082240008
2024-02-09,24350.579623216265,19156.07935037763,29233.84122756589
2024-02-10,11533.818490968595,6574.13738381972,16566.495990245454
2024-02-11,8319.299436182917,3127.977270346764,12950.63040124644
2024-02-12,23590.226575983615,18574.30709317251,28830.656711872645
2024-02-13,24944.387887288278,20001.88354279354,30023.94427618178
2024-02-14,23785.184576800868,18758.81160683532,28932.28629777925
2024-02-15,24539.346885712446,19750.044369204476,29674.296181157802
2024-02-16,24379.3350356832,19035.249955544474,29381.814762731257
2024-02-17,11562.573903427889,6584.228586731366,16768.2131017233
2024-02-18,8348.054848652804,3144.647159769792,13500.470940907935
2024-02-19,23618.98198847828,18377.67229490581,28698.583305285672
2024-02-20,24973.143299812138,19789.01415317301,29626.323867381936
2024-02-21,23813.93998934117,18426.656934777227,28642.953166227744
2024-02-22,24568.10229827046,19182.13343660198,29491.268014522542
2024-02-23,24408.090448248775,19256.987006836458,29325.61217211901
2024-02-24,11591.329316031148,6549.2558957767515,16540.283428493432
2024-02-25,8376.810261255494,3366.4021833687207,13527.31109439712
2024-02-26,23647.73740112148,18418.851869186165,28834.642679560413
2024-02-27,25001.898712443064,19708.007252820327,29983.49493163886
2024-02-28,23842.695401972516,18563.46774806355,29424.583668062547
2024-02-29,24596.85771090909,19352.38848176798,29141.732906290934
2024-03-01,24436.845860883677,19404.962417506656,29621.479283646946
2024-03-02,11620.084728705415,6810.55584700961,16834.288735697177
2024-03-03,8405.56567389334,3414.018268657466,13425.502581291032
2024-03-04,23676.492813760113,18517.440204648115,28476.017378158685
2024-03-05,25030.654125074354,19974.748308694678,29862.10013870478
2024-03-06,23871.450811617855,18619.14804678396,29053.556188737217
2024-03-07,24625.613117567314,19451.37846374519,29593.91230787301
2024-03-08,24465.601264564444,19309.90396041679,29720.718671594994
2024-03-09,11648.840129397462,6554.19375859544,16874.331312787006
2024-03-10,8434.321071633833,3440.0454251656984,13737.322869557354
2024-03-11,23705.24820851639,18861.224462014503,28848.494488418113
2024-03-12,25059.40951683721,19828.747988538613,29949.58382505968
2024-03-13,23900.206203386053,18901.51367738829,29248.444611662457
2024-03-14,24654.368509337874,19753.71187376995,29863.125168520644
2024-03-15,24494.35665633127,19633.86583925773,29369.5995310903
2024-03-16,11677.595521167228,6949.554064216986,16809.993494513936
2024-03-17,8463.076463395197,3453.4029882189484,12953.350110812089
2024-03-18,23734.003600243163,18384.51700780307,29099.336779427667
2024-03-19,25088.16490860025,20228.375548305732,30080.554055780387
2024-03-20,23928.961595154255,18816.91785398529,28985.286168359675
2024-03-21,24683.12390109979,19498.47633309046,29926.944520100373
2024-03-22,24523.112047346604,19693.58179625557,29592.877137030773
2024-03-23,11706.350911481177,6799.08123850349,16731.51544204431
2024-03-24,8491.83185295089,3275.8973547707837,13901.511723402971
2024-03-25,23762.758989054964,18386.477207379336,28759.48045091988
2024-03-26,25116.92029665895,20312.36821696045,30577.777882938877
2024-03-27,23957.716982472586,19011.124183601067,29019.77826260881
2024-03-28,24711.879287693177,19560.290581646026,29614.132464384173
2024-03-29,24551.86743395395,19304.058538498528,29393.179908285456
2024-03-30,11735.106298065131,6531.693583848391,16721.751876316168
2024-03-31,8520.587239543267,3285.9159337117258,13512.501537912938
2024-04-01,23791.514375639716,19056.58642321865,29151.936483384437
2024-04-02,25145.67568324909,20002.642197599132,30002.138783776463
2024-04-03,23986.472369059844,19477.297395992377,29462.762739914266
2024-04-04,24740.63467426929,19921.2336236301,29725.675082764385
2024-04-05,24580.622820524302,18886.368232809484,29446.10185757945
2024-04-06,11763.861684627922,6536.147831346707,16881.129565180356
2024-04-07,8549.342625504127,3586.9940765309184,13707.687180367437
2024-04-08,23820.26976098739,18775.813931880846,28824.71073384058
2024-04-09,25174.431067957004,19911.933137490378,30264.79450516082
2024-04-10,24015.227753140032,18598.53704431268,29008.756613255042
2024-04-11,24769.39005772989,19809.75304570531,29955.27403278624
2024-04-12,24609.378203356027,19821.900560459722,30092.85637618884
2024-04-13,11792.617066839564,6759.130285741186,16961.82166803003
2024-04-14,8578.098007699622,3331.744011005061,13478.130527138146
2024-04-15,23849.025143210416,18846.435365767218,29306.412034521294
2024-04-16,25203.186450172507,20041.74817368163,30054.534630305385
2024-04-17,24043.9831353607,18856.932243647305,28815.436211037155
2024-04-18,24798.14543995291,19469.094061833905,30106.552428777217
2024-04-19,24638.13358560166,19538.885214078444,29620.742701989795
2024-04-20,11821.372449051207,6780.810491641856,16567.355158639984
2024-04-21,8606.853389913453,3788.334333366988,13609.363993776327
2024-04-22,23877.780525433438,18932.098259252423,28846.828608360454
2024-04-23,25231.941785409876,20312.66540218581,30240.8466014637
2024-04-24,24072.738423620576,19104.06141087282,29162.00078076591
2024-04-25,24826.900681215346,19719.91367644699,29726.874859519958
2024-04-26,24666.88877990915,19656.605700473257,30160.257026378014
2024-04-27,11850.127596373099,6696.943172942849,16583.33428422764
2024-04-28,8635.608490276401,3386.914381619014,13727.920904640363
2024-04-29,23906.535578771593,18861.996089869008,28957.98317055736
2024-04-30,25260.69683879245,20342.423709519982,30358.91659961742
2024-05-01,24101.493476990698,18910.473071157157,29349.12245124917
2024-05-02,24855.655734601358,19422.428304818248,29971.919100277864
2024-05-03,24695.643833261456,19606.23524023954,29455.656727419693
2024-05-04,11878.882649728508,6641.414654785831,17111.23162807098
2024-05-05,8664.363543652998,3315.0836881789683,13828.660618774029
2024-05-06,23935.29063214897,18640.168498949228,29200.582803898535
2024-05-07,25289.451892162127,20331.279933469006,30209.674485770145
2024-05-08,24130.248530360826,19149.835719248214,29282.809428167137
2024-05-09,24884.410787426925,19717.64212612458,30151.047611276103
2024-05-10,24724.39888554875,19556.337251081783,29806.529036896332
2024-05-11,11907.637701512,7228.154915286171,17227.922308555197
2024-05-12,8693.118594856885,3522.918610428795,13763.302972341453
2024-05-13,23964.045682819604,18908.440339418074,29189.259435316664
2024-05-14,25318.206942273115,20281.162938917074,30293.649815518213
2024-05-15,24159.00357993362,19220.454491326695,29321.851170609305
2024-05-16,24913.165836992615,19947.12732330648,30192.49625586378
2024-05-17,24753.15393512017,19993.688289074194,29525.648589964363
2024-05-18,11936.392751065181,7067.610168614423,16737.83041218504
2024-05-19,8721.873644431253,3512.2521092627003,13847.414314196973
2024-05-20,23992.800732394753,18863.629461884495,29433.224989957078
2024-05-21,25346.96199184056,20370.347491528675,30443.844548229194
