ds,yhat,yhat_lower,yhat_upper
2024-01-01,19720.110911712658,16693.7862385198,22712.96418915122
2024-01-02,20451.743772635633,17192.55035969359,23285.734372386232
2024-01-03,20225.29531625738,17351.57270100323,23195.474600585192
2024-01-04,20638.60265124803,17658.784302664568,23555.995945052982
2024-01-05,20846.729370081015,17798.879437385505,24003.56937665045
2024-01-06,15398.041928341729,12512.59101651177,18579.472414843745
2024-01-07,11712.381672071955,8742.678119355545,14804.197502138933
2024-01-08,19794.456665803227,16687.98616590798,22842.654478293218
2024-01-09,20526.08952674715,17471.065725935074,23424.017184737713
2024-01-10,20299.641070361035,17481.817025335484,23633.296286216566
2024-01-11,20712.948405355695,17640.84733658744,23632.66518760565
2024-01-12,20921.07512419578,17943.65362968513,24103.91932409183
2024-01-13,15472.387682476308,12500.21116071607,18502.033376086663
2024-01-14,11786.727426188714,8723.045897109547,14883.01671040077
2024-01-15,19868.802419919542,16736.95938448463,23016.87166616019
2024-01-16,20600.435280858666,17687.68998642485,23717.707009397684
2024-01-17,20373.986824476448,17291.531372355526,23529.85142436468
2024-01-18,20787.29415927808,17737.563276218993,23603.273642121367
2024-01-19,20995.42087792493,17949.476454188494,23885.088627459485
2024-01-20,15546.733436006089,12156.988154230172,18418.787305904287
2024-01-21,11861.073179526802,8717.292215873516,15034.718240470278
2024-01-22,19943.148173071808,16937.829066747636,23015.802799483412
2024-01-23,20674.78103381027,17574.311745918607,23982.332526496135
2024-01-24,20448.33257724007,17360.834317660137,23485.4523054375
2024-01-25,20861.639912036084,17644.74193486644,23827.43158503372
2024-01-26,21069.76663068234,18036.966574434646,24077.352207049382
2024-01-27,15621.079188764637,12658.198025446833,18694.77931227453
2024-01-28,11935.418932293902,9281.321751230873,15186.789414648265
2024-01-29,20017.49392581272,17048.504114221134,22895.184425585056
2024-01-30,20749.126786569068,17586.763586605386,23777.01540683783
2024-01-31,20522.678329999948,17449.593014015816,23472.40474877674
2024-02-01,20935.98566480607,18010.543861295002,24125.63079967795
2024-02-02,21144.11238343975,18048.064625503546,24241.33905346872
2024-02-03,15695.424940096365,12685.724101386339,18785.992374322006
2024-02-04,12009.764682203462,8780.004757474237,15076.420818345572
2024-02-05,20091.839674317558,17025.695997439107,23207.725936097402
