ds,yhat,yhat_lower,yhat_upper
2024-01-01,13958.082809329806,11238.233503760739,16619.86940999381
2024-01-02,14624.020334930417,12059.805895291842,17047.353809003456
2024-01-03,14387.622921238895,11840.158100558738,16881.82122921067
2024-01-04,14640.512836744623,12090.296946044211,17171.06275480492
2024-01-05,15082.885086312843,12378.405949783813,17502.834720182644
2024-01-06,9857.74583716487,7388.620300129776,12344.577937446553
2024-01-07,7166.500985504673,4669.703976511731,9655.464238856659
2024-01-08,14039.696716383569,11462.580220223275,16875.588196109118
2024-01-09,14705.634242001652,12296.645638373915,17348.35970659523
2024-01-10,14469.236828305484,11928.820178074715,17118.33181604829
2024-01-11,14722.126743813818,12076.761582159015,17420.670431218874
2024-01-12,15164.49899338682,12527.865005212152,17948.367729241927
2024-01-13,9939.359744256606,7294.7809962780675,12442.035463090495
2024-01-14,7248.114892581625,4730.417104230093,9696.184306925816
2024-01-15,14121.310623459685,11595.324846451083,16635.436159244495
2024-01-16,14787.248149072893,12117.204600105511,17471.82411799469
2024-01-17,14550.850735379512,11887.094238961587,17092.560266485496
2024-01-18,14803.74064676447,12331.845344666843,17275.839493039777
2024-01-19,15246.112892212765,12805.815403192484,17876.60018017749
2024-01-20,10020.973638953385,7306.304549395753,12694.6785450318
2024-01-21,7329.7287831546055,4587.740094315739,9943.008246680885
2024-01-22,14202.924509915714,11637.333802379091,16606.786323820514
2024-01-23,14868.8620313988,12359.683652502785,17427.115028607284
2024-01-24,14632.464613584769,11961.807132985226,17085.250065470856
2024-01-25,14885.354524965545,12209.907635655654,17507.87923650469
2024-01-26,15327.726770412472,12693.93768711337,17875.554527969765
2024-01-27,10102.587517154094,7401.53386668201,12604.057269852588
2024-01-28,7411.342661363435,4776.234190492564,10138.443627092563
2024-01-29,14284.538388101353,11782.538229710568,16756.864627418032
2024-01-30,14950.47590960069,12360.516151128228,17423.896815605156
2024-01-31,14714.078491786957,12053.783314116183,17427.349317751818
2024-02-01,14966.968403173621,12337.126870639646,17538.603766650616
2024-02-02,15409.340648612177,12811.325105463882,18063.53440677612
2024-02-03,10184.201395550906,7775.745927013857,12649.276542430398
2024-02-04,7492.956539959699,4817.227126814132,10169.703201930108
2024-02-05,14366.152266912977,11806.896664362224,16911.832794741666
2024-02-06,15032.089788610656,12546.72381257883,17566.218204002675
2024-02-07,14795.692370997713,12221.77925570313,17376.977611991177
2024-02-08,15048.582282584974,12469.044222490555,17419.530851140484
2024-02-09,15490.954528237562,12807.062348754389,18145.611936144604
2024-02-10,10265.815275158004,7814.4362130439085,12875.84787354736
2024-02-11,7574.570419576568,4899.7121676264915,10103.159437607936
2024-02-12,14447.766146534479,11813.547087317542,16910.852154915578
2024-02-13,15113.703668225766,12402.07091566996,17741.43516748023
2024-02-14,14877.30625061561,12246.196635186492,17551.7192004157
2024-02-15,15130.19616220352,12625.958230048318,17705.58981110102
2024-02-16,15572.568407855415,13089.683210631605,18287.08551769617
2024-02-17,10347.429154770703,7648.57070144417,12708.954418018631
2024-02-18,7656.184299193441,4896.008528333672,10167.96111754074
2024-02-19,14529.380019662094,11983.689518925314,16966.996670068882
2024-02-20,15195.317534863316,12625.637374904525,17801.63746635995
2024-02-21,14958.920110760935,12469.117588624127,17601.49662046347
2024-02-22,15211.81001585315,12503.889784703548,17939.48685844924
2024-02-23,15654.182255006668,13002.339405141129,18137.257663922795
2024-02-24,10429.042995438254,7954.157588755283,12976.151360648451
2024-02-25,7737.798133362259,5044.486657456781,10400.398293030452
2024-02-26,14610.99385384607,12016.449766790125,17235.41838675851
2024-02-27,15276.931369041191,12638.654745255613,17824.757191710865
2024-02-28,15040.533944938457,12386.633513900542,17649.267772984113
2024-02-29,15293.423850035686,12625.614112812278,17828.77638680689
2024-03-01,15735.79608918851,13235.957961409524,18310.038338137245
2024-03-02,10510.656829637855,7888.663224448893,13080.017261274661
2024-03-03,7819.411967543123,5133.951379696172,10438.50270615466
2024-03-04,14692.60768802854,12045.387641166268,17204.91788374827
2024-03-05,15358.545203221513,12885.425385684784,17827.575231081206
2024-03-06,15121.480569278248,12548.414191831385,17646.459544687295
