ds,yhat,yhat_lower,yhat_upper
2024-01-01,12601.668732660199,10680.402959144672,14528.267229729661
2024-01-02,12841.933970518623,11009.352555563491,14712.735466689166
2024-01-03,12710.44595357123,10970.74280600406,14527.082739563824
2024-01-04,12721.791755166785,10880.612757911931,14676.17550543705
2024-01-05,14154.00073869471,12261.779035233247,15904.718247964738
2024-01-06,12013.606864645011,10060.932597458655,13911.609620448386
2024-01-07,9276.30150191666,7313.445728049822,11024.070664313347
2024-01-08,12673.90993004098,10662.693520770245,14408.26987534129
2024-01-09,12914.175167908994,11169.664747579163,14778.87312810774
2024-01-10,12782.687150957376,10981.622505564977,14699.82705436
2024-01-11,12794.032952555443,10933.323069972274,14718.452701273456
2024-01-12,14226.241936088247,12335.928815568845,16169.922042047592
2024-01-13,12085.848062047884,10140.56713374939,13977.73688963159
2024-01-14,9348.542699309455,7521.816362384662,11223.851059027866
2024-01-15,12746.151127433784,10913.313918128624,14564.184289921106
2024-01-16,12986.416365299365,11272.498032451895,15015.495771690426
2024-01-17,12854.928348349493,11091.134972967218,14633.826353581284
2024-01-18,12866.274151133126,11124.693950037909,14710.636005284623
2024-01-19,14298.483135851497,12476.110334443212,16165.76957033165
2024-01-20,12158.089262991245,10458.801337929583,14129.097640206292
2024-01-21,9420.783901436367,7556.150246793617,11248.666966695502
2024-01-22,12818.392330750876,10916.623236737414,14458.625957595135
2024-01-23,13058.657569797671,11268.121225287676,14868.745873362732
2024-01-24,12927.169554036083,11091.11787270945,14696.828748103735
2024-01-25,12938.515356815786,11015.394426516887,14598.998315782044
2024-01-26,14370.724341534513,12541.23746942907,16301.518977834801
2024-01-27,12230.330468674038,10436.940734351036,13991.526126954199
2024-01-28,9493.025107123163,7555.8202231491805,11370.019894027155
2024-01-29,12890.633536425661,11023.758661209036,14704.039055219095
2024-01-30,13130.898775480833,11216.51541914935,15035.998225345498
2024-01-31,12999.41075971922,11046.206831303549,14984.142580225536
2024-02-01,13010.756562503033,11175.448000172335,14850.378848338898
2024-02-02,14442.965547217527,12575.251359708971,16363.104595050629
2024-02-03,12302.57167385036,10422.937212339892,13989.03061272982
2024-02-04,9565.266311800662,7634.476677367628,11484.191653005284
2024-02-05,12962.874740604215,11047.474108402868,14861.559413199962
2024-02-06,13203.139979155272,11343.43237156447,15191.415617620989
2024-02-07,13071.651962889931,11283.99048862237,15049.40564608155
2024-02-08,13082.997765170785,11270.068642889399,15035.668910286762
2024-02-09,14515.206749385337,12686.474942077719,16414.632726030777
2024-02-10,12374.812876011776,10584.676740691533,14367.67820352868
2024-02-11,9637.507513967414,7753.773196599859,11524.314869341315
2024-02-12,13035.115942774431,11164.645961227121,14878.440136313015
2024-02-13,13275.381181322256,11418.554318974488,14993.834998584302
2024-02-14,13143.893165058662,11272.721199959768,15090.967054366482
2024-02-15,13155.238967340225,11388.614211149823,15031.783810789504
2024-02-16,14587.447951555489,12762.514296418536,16402.725608397635
2024-02-17,12447.054078177176,10553.718602792787,14338.719412677714
2024-02-18,9709.748716134161,7886.6755514784945,11562.90835888481
2024-02-19,13107.357144509433,11126.609764512152,14976.131466153038
2024-02-20,13347.622382623902,11522.256801625936,15242.82122242798
2024-02-21,13216.13436592655,11321.956756482568,15098.847638908288
2024-02-22,13227.48016777104,11430.769884715288,15070.867609710667
2024-02-23,14659.689151548517,12837.296144016284,16724.858141912093
2024-02-24,12519.295277740894,10664.71355167226,14334.826705643522
2024-02-25,9781.989915263941,7919.0068967686275,11697.703750017137
2024-02-26,13179.598343643553,11299.373808216604,14936.15087888041
2024-02-27,13419.863581754376,11500.886230163387,15236.368769641906
2024-02-28,13288.375565057468,11270.732485127697,15205.050065995189
2024-02-29,13299.72136690518,11366.843836173024,15182.853555381602
2024-03-01,14731.930350683368,12898.009234417425,16524.755628386676
2024-03-02,12591.536476885081,10819.325715055025,14451.247797959475
2024-03-03,9854.231114395394,7891.325140686516,11635.629543442352
2024-03-04,13251.839542776868,11244.95430543698,15114.450907474575
2024-03-05,13492.104780887275,11586.072742987302,15541.998988902487
2024-03-06,13360.61668252947,11546.294390485755,15222.527329534694
2024-03-07,13371.962402720483,11553.780116489088,15219.041830347855
2024-03-08,14804.17130484732,12853.177032087482,16642.6077887715
2024-03-09,12663.777349389362,10695.054505239359,14721.373724773444
2024-03-10,9926.471905252209,8018.246473357873,11716.776721272721
2024-03-11,13324.080251978234,11426.328092535243,15322.394209839673
2024-03-12,13564.345408429534,11712.448195887933,15357.768304758487
2024-03-13,13432.857310074687,11448.012150078835,15292.45542265664
2024-03-14,13444.203030266408,11493.332477843092,15314.919676775606
2024-03-15,14876.411932393956,12958.21282574155,16812.577716936874
2024-03-16,12736.017976935236,10783.841870030423,14717.498722979892
2024-03-17,9998.71253279279,8168.99807821318,11821.728123188217
2024-03-18,13396.320879512115,11596.916466672592,15161.529014244497
2024-03-19,13636.586035973005,11819.070722705985,15530.08419322662
2024-03-20,13505.097937619903,11616.549111085675,15389.82975241779
2024-03-21,13516.443657808162,11722.225796565526,15438.787744586565
2024-03-22,14946.97971252969,13139.124894723453,16775.17714216084
2024-03-23,12804.912909674473,10927.189170711164,14764.446014100913
2024-03-24,10065.934618119561,8194.919880382351,11819.887210712779
2024-03-25,13461.870117432522,11588.07562825663,15394.30136189875
2024-03-26,13700.462426483391,11852.584209360148,15675.03851867295
2024-03-27,13567.301480723885,11614.354829158669,15379.78558417306
2024-03-28,13576.974353513635,11604.865635188007,15303.140859160872
2024-03-29,15007.510408229367,13244.331881895603,16945.436007333665
2024-03-30,12865.443605375727,11083.045372764791,14615.136947859268
2024-03-31,10126.465313820834,8120.540423916497,11915.632064993613
2024-04-01,13522.400813133001,11728.22437135309,15463.584295451077
2024-04-02,13760.993122185342,11624.21619919593,15512.065942943715
