ds,yhat,yhat_lower,yhat_upper
2024-01-01,1758.1541722299844,1486.0419427702957,2033.5919814079532
2024-01-02,1796.3820173907957,1511.5701337079447,2061.550072340533
2024-01-03,1765.1513717122045,1491.9290082567413,2045.1304718361184
2024-01-04,1783.8216974005343,1518.3747020769092,2075.9703519109107
2024-01-05,2027.2715683990464,1759.2288882126788,2309.3170501264008
2024-01-06,1558.3113660359961,1275.2797452706552,1863.3999946939753
2024-01-07,1320.1775289372,1053.6014769724807,1601.4503882134366
2024-01-08,1779.2090225972079,1503.4902412422887,2055.3358814705675
2024-01-09,1817.4368677591876,1545.99525994619,2117.0719647958667
2024-01-10,1786.206222080608,1512.7380280856605,2043.0866885001126
2024-01-11,1804.876547769063,1526.7813333099828,2088.826648563407
2024-01-12,2048.3264187678083,1783.0629028384794,2313.84126838856
2024-01-13,1579.366216406338,1312.450235984474,1862.376156485571
2024-01-14,1341.2323793062392,1064.7682346961467,1598.599187927336
2024-01-15,1800.2638729661328,1528.5103127463053,2068.372715142931
2024-01-16,1838.4917181275798,1570.8838603455808,2126.0864400822466
2024-01-17,1807.26107244912,1524.0486797509943,2079.039697912705
2024-01-18,1825.9313980481843,1550.652557032835,2103.797086708279
2024-01-19,2069.381268957183,1780.037428048289,2330.6303275794485
2024-01-20,1600.4210665055311,1321.755882443196,1878.7414963223976
2024-01-21,1362.2872293154571,1100.0856342050522,1636.1854752478882
2024-01-22,1821.3187228865875,1539.8120872176478,2093.1643882131475
2024-01-23,1859.5465679579981,1581.7035845383907,2136.8302406838507
2024-01-24,1828.3159221900278,1547.5261474784206,2116.8506402792377
2024-01-25,1846.9862477888555,1575.1773311338336,2128.8210505951347
2024-01-26,2090.436118697625,1809.411604889056,2353.2839953116577
2024-01-27,1621.4759162459486,1349.2555815029002,1908.1199443584765
2024-01-28,1383.3420790566388,1104.7687142441048,1648.1071181384607
2024-01-29,1842.3735726259536,1571.0984098256365,2133.64398179036
2024-01-30,1880.6014176987217,1594.5619497187165,2160.248741975398
2024-01-31,1849.370771930628,1572.4161310238424,2138.1760939318683
2024-02-01,1868.0410975291522,1591.8336372798785,2131.420140707115
2024-02-02,2111.490968438067,1809.5659009930705,2390.635404849216
2024-02-03,1642.5307659371908,1373.891627423187,1941.227766777307
2024-02-04,1404.3969286994366,1133.0985238045141,1685.8248961419133
2024-02-05,1863.4284222207395,1585.5794251165598,2133.5595513589574
2024-02-06,1901.6562672447415,1634.301436672775,2185.4390723820434
2024-02-07,1870.4256214280842,1574.5443121768321,2140.1863263346995
2024-02-08,1889.0959469780507,1603.2636894670075,2166.3002683749705
2024-02-09,2132.5458178387744,1843.0769359095477,2401.2518525034984
2024-02-10,1663.5856153366603,1378.0908533326115,1936.1679489758096
2024-02-11,1425.4517780996944,1164.15904099609,1695.376270071999
2024-02-12,1884.4832716218004,1633.0355518085794,2154.613510423894
2024-02-13,1922.711116644875,1648.960581451592,2199.944085878001
2024-02-14,1891.4804708283375,1619.262823066624,2166.8360533975915
2024-02-15,1910.150796378607,1634.4605050814782,2170.8969582596765
2024-02-16,2153.6006672392778,1896.260291690356,2409.456591120138
2024-02-17,1684.6404647366767,1400.3498229720622,1949.5748416044662
2024-02-18,1446.5066274999522,1154.3698570642139,1720.8516620854352
2024-02-19,1905.5381211084155,1609.781886684828,2190.9858463873697
2024-02-20,1943.7659662181952,1671.8222287166318,2210.6852022412936
2024-02-21,1912.5353204876224,1639.6370500997662,2198.5498817446146
2024-02-22,1931.2056461242532,1651.6556430677376,2211.2998765048883
2024-02-23,2174.655517070576,1895.0581618953897,2452.4748712741907
2024-02-24,1705.6953146547573,1445.4486757139025,1969.4997358414992
2024-02-25,1467.5614775040146,1193.7654418027892,1764.2020103746402
2024-02-26,1926.59297111349,1661.563559417366,2204.770746960774
2024-02-27,1964.8208162229266,1675.6329748655771,2229.0638820607114
2024-02-28,1933.5901704924834,1668.5463090373519,2245.619628508855
2024-02-29,1952.2604961292184,1683.1048051852856,2223.0971553809077
2024-03-01,2195.710367075488,1917.6863945759003,2462.044641419889
2024-03-02,1726.750164661249,1452.256733154752,1994.8852980704003
2024-03-03,1488.6163275086808,1209.2584297368846,1773.7257761531305
2024-03-04,1947.6478211181693,1648.939318353233,2230.6667248422623
2024-03-05,1985.8756662272795,1703.9110562143462,2241.1255255963365
2024-03-06,1954.6450201823081,1690.3572257508865,2206.594343024181
2024-03-07,1973.3153455034917,1709.9632239161544,2250.9551116646335
2024-03-08,2216.7652161357514,1926.154046919176,2504.4960880839944
2024-03-09,1747.805013406213,1467.7339317456438,2046.0804683582767
2024-03-10,1509.6711759402272,1237.6682095875094,1801.663317857894
2024-03-11,1968.7026692348722,1687.593879964597,2251.823510872609
2024-03-12,2006.9305140289107,1724.8740385153305,2262.5528659588244
2024-03-13,1975.6998679838703,1700.8741696753107,2249.9672422232898
2024-03-14,1994.3701933053571,1723.7663948172296,2266.364616491007
2024-03-15,2237.8200639375636,1946.6219572342197,2520.975504191445
2024-03-16,1768.8598612080848,1483.380855419858,2038.57962167908
2024-03-17,1530.7260237412709,1264.9810565509447,1805.6362777261866
2024-03-18,1989.757517035146,1713.859102428845,2265.2542178561193
2024-03-19,2027.9853618303532,1747.5576550735614,2310.8467942037773
2024-03-20,1996.7547157854324,1725.4547786606445,2270.1069385738474
2024-03-21,2015.425041106936,1709.7891830565763,2287.9268620524017
2024-03-22,2258.84889502226,1995.431081111618,2547.1311881250376
2024-03-23,1789.8626755776233,1490.6319477054,2059.8977621863814
2024-03-24,1551.7028213934004,1280.6546606989202,1818.2644740179474
2024-03-25,2010.7082979705076,1733.4734162349557,2269.526006325397
2024-03-26,2048.9101260487178,1778.5601971915742,2332.640192517953
2024-03-27,2017.65346328702,1756.5090377431175,2288.9321219052053
2024-03-28,2036.2977718925142,1753.3048140849965,2302.348982133977
2024-03-29,2279.721625807703,1976.5037755371927,2565.978598973631
2024-03-30,1810.7354063629214,1553.2673475348683,2083.6615017921495
2024-03-31,1572.575552178916,1294.1648434768185,1822.3930801923932
2024-04-01,2031.5810287555137,1765.9494760549685,2308.2338880398743
2024-04-02,2069.782856833896,1797.1555043130325,2344.1823716484487
2024-04-03,2038.5261940723155,1726.769400637274,2306.962118466996
2024-04-04,2057.1705026775194,1779.4419095254625,2330.5235988531485
2024-04-05,2300.5943565924786,2016.930699720511,2559.6483842728653
2024-04-06,1831.6081371471264,1565.402383671691,2111.3135047940127
2024-04-07,1592.7677011890087,1305.4722028494116,1884.447433828963
2024-04-08,2051.092595991509,1778.916670186147,2319.9980069726744
2024-04-09,2088.6138422940635,1822.8039081300653,2395.779663199634
2024-04-10,2056.6765977575938,1766.4576266699112,2352.276602210352
2024-04-11,2074.6403245880224,1800.8818375408507,2326.4854686590215
2024-04-12,2317.3835967278524,2074.9832372077985,2583.838105999555
2024-04-13,1847.716795507575,1579.9329709184528,2109.560079137647
2024-04-14,1608.8763595496175,1337.1163959488672,1857.7795169831581
2024-04-15,2067.2012543522123,1782.544905886745,2344.2149595212986
2024-04-16,2104.7225006546296,1815.9878223319445,2369.065699964903
2024-04-17,2072.7852561182794,1784.6726653821338,2342.4405113208263
2024-04-18,2090.7489829490114,1799.269552094149,2359.51154316009
2024-04-19,2333.4922550889924,2054.8318238222314,2581.561488766693
2024-04-20,1863.8254538680237,1580.360965266396,2133.4897867043915
2024-04-21,1624.9850179097853,1356.9928886080188,1915.0948668691497
2024-04-22,2083.309912712916,1815.263865390324,2353.2333769589045
2024-04-23,2119.824146075146,1847.3636170920163,2388.4509514491097
2024-04-24,2086.879888598433,1802.3621833891434,2366.6160183393854
2024-04-25,2103.836602487762,1828.8047702530523,2358.1495004816147
2024-04-26,2345.572861688972,2054.1289452071474,2607.3798470543734
2024-04-27,1874.8990475272774,1592.0202901404514,2159.437439806848
2024-04-28,1635.0515986295638,1358.9852972313422,1905.655979026922
2024-04-29,2092.369480491034,1833.4347787464426,2346.5350507173484
2024-04-30,2128.883713854537,1858.8815941819212,2409.010971820333
2024-05-01,2095.9394563773913,1820.9626761740149,2369.807042619016
2024-05-02,2112.8961702673646,1864.1160388173698,2387.6986559601005
2024-05-03,2354.6324294673095,2070.8442914409293,2622.6350940322627
2024-05-04,1883.9586153055059,1616.4821430215222,2170.2282093394197
2024-05-05,1644.1111664085806,1364.2883612307846,1930.0384956031273
2024-05-06,2101.429048270065,1835.825730245347,2400.1824332496435
2024-05-07,2137.943281633619,1865.8297731214843,2424.595625497103
2024-05-08,2104.9990241563487,1831.7433396426597,2387.8512309207076
2024-05-09,2121.0066673750785,1831.7451577711417,2394.8059885071684
2024-05-10,2361.793855903942,2089.0228726527153,2620.6470017342963
2024-05-11,1890.1709710724042,1621.4575111887314,2166.876728239358
2024-05-12,1649.3744515023388,1372.3333805998013,1939.4268536879783
2024-05-13,2105.7432626933105,1813.8533465206235,2391.054565032382
2024-05-14,2141.3084253844336,1864.4987588825122,2398.785054608056
2024-05-15,2107.415097236158,1831.3076767669302,2377.861522016837
2024-05-16,2123.422740454243,1851.4883031997167,2415.7666585960123
2024-05-17,2364.2099289840016,2067.800183691174,2629.278876761013
2024-05-18,1892.5870441514296,1634.9872506296415,2166.5482198683767
2024-05-19,1651.7905245821526,1379.119806880278,1943.8261808621796
2024-05-20,2108.1593357731376,1821.9521931601666,2390.3449373512117
2024-05-21,2143.724498464312,1872.3830896267095,2420.2302378522836
2024-05-22,2109.8311703162203,1836.5763065975368,2394.1962608990148
2024-05-23,2125.838813534069,1862.3011352116569,2365.2535978858596
2024-05-24,2366.6260020631353,2100.5607709159362,2616.612200808889
2024-05-25,1894.3193459247752,1621.5606594767887,2148.335074064116
2024-05-26,1652.8390550478164,1380.8399493813156,1932.410086948547
2024-05-27,2108.5240949313397,1817.3152395185632,2378.9102634427672
2024-05-28,2143.4054863170995,1862.9546498177083,2417.814400173361
2024-05-29,2108.8283868621647,1848.0065368530388,2389.0185888143556
2024-05-30,2124.152258773544,1848.5416071522593,2412.9601475123345
2024-05-31,2364.2556759957843,2091.4286167486625,2639.368008487226
2024-06-01,1891.9490198563906,1617.17142113229,2166.22634748562
2024-06-02,1650.4687289802196,1378.5634632382955,1925.8006679882353
2024-06-03,2106.153768863756,1838.8467883986089,2372.2368603076975
2024-06-04,2141.035160249189,1873.2339671352888,2429.6486026499065
2024-06-05,2106.4580607944554,1819.6262755734203,2380.5924064969595
2024-06-06,2121.781932706246,1827.7273237392417,2391.768420309997
2024-06-07,2361.8853499286374,2103.978836288045,2635.8410523433454
2024-06-08,1889.5786937880055,1607.7522839314272,2159.204131809276
2024-06-09,1648.0984029131455,1376.1146139769194,1933.5484401196732
2024-06-10,2103.783442609114,1829.5562957792247,2389.8677559693238
2024-06-11,2138.6648338067507,1883.4734359644929,2426.3551415678994
2024-06-12,2104.087734164747,1852.8259182361214,2388.459992702853
2024-06-13,2119.411605889135,1842.5218705522673,2389.746261245235
2024-06-14,2359.5150229240194,2076.4462211306372,2634.9076689605163
2024-06-15,1887.2083665959942,1596.6534612164314,2155.7603735847138
2024-06-16,1645.728075532853,1380.2732569455532,1925.5305655980878
2024-06-17,2101.413115229752,1846.2602942995989,2362.4146867079776
2024-06-18,2136.2945064273554,1847.3470550770664,2413.3684276430536
2024-06-19,2101.717406784918,1835.1965007957347,2371.4361455209137
2024-06-20,2117.0412785093768,1854.9138456478856,2382.1378084741245
2024-06-21,2357.1446955440324,2080.096098433697,2644.827843317193
2024-06-22,1884.8380392154356,1594.1191073075372,2169.665671853286
2024-06-23,1643.3577481530015,1346.9595422054258,1922.3963520847524
2024-06-24,2099.04278785039,1813.5890712845564,2361.060405589848
2024-06-25,2133.92417904765,1860.6326496544823,2415.2874621420906
2024-06-26,2099.347079457976,1829.6917681764016,2375.926756359265
2024-06-27,2114.6709512358575,1836.6455763784172,2372.380705318209
2024-06-28,2354.774368322543,2079.3275416932993,2639.8549731132507
2024-06-29,1882.4677120493686,1598.5440617203285,2167.86750660115
2024-06-30,1640.987421037395,1357.4842518422906,1933.1728390460407
2024-07-01,2096.672460787629,1803.6494657637786,2384.679922029519
2024-07-02,2131.5538520375844,1844.1937071485263,2412.527608291169
2024-07-03,2096.97675244803,1811.394862797929,2343.5800739907463
2024-07-04,2112.3006242246934,1821.1236067227198,2404.6412619927446
2024-07-05,2352.404041312385,2069.7109431652075,2635.476357697523
2024-07-06,1880.097385038639,1605.0951908472407,2149.8685015390843
2024-07-07,1638.6170940279765,1360.8031148781108,1912.8205844036022
2024-07-08,2094.302133778491,1805.147321763168,2359.4176198739606
2024-07-09,2129.183525027828,1854.3105607501027,2410.868700611081
2024-07-10,2094.606425437976,1818.5826246042839,2376.5494049959116
2024-07-11,2109.930297215051,1829.6012514684137,2380.7614914632168
2024-07-12,2350.033714372249,2064.256072474819,2635.6305683980722
2024-07-13,1877.7270581675766,1603.7101582422945,2147.919925279809
2024-07-14,1636.2467672272383,1358.1016243887047,1902.4623089624195
2024-07-15,2091.9318070451027,1803.6776244192647,2363.783538927485
2024-07-16,2126.813198365564,1875.9886056536548,2377.827091694092
2024-07-17,2092.2360988453916,1813.4806639921505,2355.627041038273
2024-07-18,2107.5599706920434,1825.4957430439513,2400.367184138155
2024-07-19,2347.66338784855,2075.0666798493894,2633.6790255678584
2024-07-20,1875.3567316463823,1622.0733017296047,2164.697789684555
2024-07-21,1633.876440703696,1384.9537034688813,1926.201253763042
2024-07-22,2089.5614805224914,1802.3775529798966,2358.541261644173
2024-07-23,2124.442871842609,1839.4339929887021,2399.223543477124
2024-07-24,2089.8657723223128,1813.515134528108,2358.491447376968
2024-07-25,2105.1896441690355,1830.208736391746,2370.9386617467403
2024-07-26,2345.2930613264425,2049.9894104871564,2614.1681573760043
2024-07-27,1872.9864051231211,1586.410578989904,2147.442128412692
2024-07-28,1631.5061141811987,1357.8687801649048,1897.992459441854
2024-07-29,2087.196293659389,1799.5562091792574,2360.3978019181013
2024-07-30,2122.082824639274,1842.6573753806135,2408.2984483801933
2024-07-31,2087.5108647792545,1837.3575469992868,2373.499572620096
2024-08-01,2102.839876286219,1824.2223743482132,2374.122762509541
2024-08-02,2342.948433102265,2068.492199179415,2623.437890463033
2024-08-03,1870.6469165587396,1590.0626573857649,2154.732872915172
2024-08-04,1629.1717652775096,1345.175902694907,1906.1358444384969
2024-08-05,2084.861944755713,1800.497050064693,2371.0867525029084
2024-08-06,2119.7484757356497,1844.3208704689066,2392.3737230450024
2024-08-07,2085.176515875507,1814.5909430370982,2366.736077177966
2024-08-08,2100.505527382542,1847.5081081605617,2401.737060242007
2024-08-09,2340.6140841988213,2057.5022736424085,2609.773554403369
2024-08-10,1868.3125676548088,1609.0198864352064,2141.6776623117157
2024-08-11,1626.837416373217,1348.675503352025,1901.9674642530654
2024-08-12,2082.527595851521,1807.3932914867144,2384.1149390354035
2024-08-13,2117.4141268316466,1837.7106561311975,2400.675401082307
2024-08-14,2082.8516974538647,1812.3561008410802,2355.5576250756303
2024-08-15,2098.190239443255,1802.6777232181253,2364.71616296539
