ds,yhat,yhat_lower,yhat_upper
2024-01-01,3331.983562480249,2729.005064989397,3928.269012273054
2024-01-02,3461.495165762267,2892.072609785306,4038.8496478266625
2024-01-03,3416.613158139712,2857.2088537622676,4028.2254674009723
2024-01-04,3188.539115704771,2578.997685744492,3768.341008502127
2024-01-05,3485.94438452126,2934.588656930772,4104.355442978309
2024-01-06,2111.2388309575135,1526.4241868674324,2719.179710798925
2024-01-07,1911.1628226508471,1302.169826299314,2494.0067014889255
2024-01-08,3344.568712548236,2717.942708407577,3983.028192515546
2024-01-09,3474.080315833577,2905.672363196978,4117.017704223075
2024-01-10,3429.1983082113393,2829.692290746715,4072.2699521700515
2024-01-11,3201.1242657763046,2623.658183625305,3778.8654080844008
2024-01-12,3498.529534593358,2874.8412570606897,4077.329109895994
2024-01-13,2123.8239810332834,1555.1280882594276,2712.7379765095498
2024-01-14,1923.7479727243854,1344.6913935030266,2463.6933271517496
2024-01-15,3357.153862621144,2734.737533272901,3932.7855646840026
2024-01-16,3486.6654659048872,2879.574477435783,4110.852440279774
2024-01-17,3441.783458282809,2819.9090125091793,4031.017467112631
2024-01-18,3213.709416034022,2611.5371646955546,3809.9004408570668
2024-01-19,3511.114685036552,2894.777029112938,4083.478633396133
2024-01-20,2136.409131661177,1512.1258793089924,2748.744809869511
2024-01-21,1936.333123536903,1343.6441762901438,2528.129991626435
2024-01-22,3369.7390136217914,2782.3737346015173,3892.998181670146
2024-01-23,3499.2506170902634,2873.7118036170077,4069.02824011825
2024-01-24,3454.3686096541987,2842.2395113117186,4103.105715675326
2024-01-25,3226.294567404391,2631.8603585705337,3757.1504873642793
2024-01-26,3523.6998364062615,2973.1497716265576,4091.150121308602
2024-01-27,2148.994283031263,1570.0662364473428,2719.2231852236428
2024-01-28,1948.9182749092759,1342.620493489946,2542.9887085984697
2024-01-29,3382.3241649886136,2765.3201027782966,3966.7590437391696
2024-01-30,3511.835768461186,2913.072425058656,4121.67011873933
2024-01-31,3466.953761024582,2873.0463345799976,4057.001366045946
2024-02-01,3238.8797187749506,2637.786926914604,3828.6401683030795
2024-02-02,3536.2849877759695,2948.575773508208,4099.331017164996
2024-02-03,2161.579434356573,1602.5507451627016,2757.938376749843
2024-02-04,1961.5034261904166,1365.7098099660143,2551.440301695732
2024-02-05,3394.909316229423,2770.1998599436565,3987.4019778927727
2024-02-06,3524.420919658518,2954.533168358986,4116.456610525558
2024-02-07,3479.5389121789485,2895.201176383434,4065.0987041370336
2024-02-08,3251.4648698860988,2679.2261734506333,3781.2241797553907
2024-02-09,3548.870138846342,2968.965739862095,4167.553761363501
2024-02-10,2174.1645854226635,1516.1993962711813,2753.781608770247
2024-02-11,1974.08857725876,1367.2262312269154,2557.3055529800517
2024-02-12,3407.494467300065,2817.625287282293,3988.114034632161
2024-02-13,3537.006070726239,3002.062466152745,4143.758258980315
2024-02-14,3492.1240632468293,2878.566384166112,4121.437606159268
2024-02-15,3264.05002095468,2685.390321571938,3855.0970323551264
2024-02-16,3561.455289914852,2954.685647123353,4103.292782076738
2024-02-17,2186.7497364903256,1578.1233562288883,2774.2204621092264
2024-02-18,1986.6737283271048,1447.1225524646843,2556.354125250759
2024-02-19,3420.079618384075,2855.4889005187706,4010.4202930375886
2024-02-20,3549.591221827231,2926.685765208128,4146.4918547721
2024-02-21,3504.709214362749,2951.7019681808674,4064.9753434415074
2024-02-22,3276.635172086676,2670.295544232239,3888.336129645075
2024-02-23,3574.0404410609763,3019.5739815594247,4189.010409230989
2024-02-24,2199.334887654063,1637.258825018428,2759.772311878532
2024-02-25,1999.258879504317,1420.0132450957037,2574.152264373555
2024-02-26,3432.664769565482,2819.2341058888633,3995.667974366377
2024-02-27,3562.176373007819,3002.530456514499,4183.383052807835
2024-02-28,3517.294365543882,2982.2890534954545,4162.461075134725
2024-02-29,3289.220323267346,2710.4683324140906,3901.0137228758085
2024-03-01,3586.6255922415753,3004.2565273177343,4156.155452090587
2024-03-02,2211.920038838333,1657.587511433885,2769.493734831392
2024-03-03,2011.8440306847494,1430.8815673449867,2607.6727701661885
2024-03-04,3445.249920745567,2867.5663243078143,4024.9693673636043
2024-03-05,3574.761524186851,2968.76122151328,4144.463101601186
2024-03-06,3529.8795166267614,2940.6242903885372,4146.64209498727
2024-03-07,3301.805474251803,2728.993545863863,3871.5739504361886
2024-03-08,3599.2107431292043,3060.5657512818893,4217.309993980352
2024-03-09,2224.50518962752,1624.576874433432,2810.3974140162913
2024-03-10,2024.429181380547,1461.2842631047672,2622.2876412087485
2024-03-11,3457.835071343487,2909.886224782559,4043.4229799612885
2024-03-12,3587.3466746867034,3046.537577925259,4191.6932767306025
2024-03-13,3542.464667125995,2947.2856082842413,4110.6653133549935
2024-03-14,3314.390624751737,2742.6313865558786,3911.3891474260263
2024-03-15,3611.795893629067,3043.882324677412,4233.021214310347
2024-03-16,2237.0903401281057,1655.8986155674882,2854.252815381261
2024-03-17,2037.0143318786374,1471.575587458528,2606.8201554774496
2024-03-18,3470.420221839239,2962.490801280946,4099.559060889921
2024-03-19,3599.931825185778,3021.2639622934466,4183.995511451429
2024-03-20,3555.049817625229,2968.6333923194766,4157.317254227559
2024-03-21,3326.9757752510345,2766.155720923543,3927.1483631445744
2024-03-22,3624.198494778303,2993.365872086811,4246.47663043662
2024-03-23,2249.3103919312643,1702.9548072492473,2845.638857788215
2024-03-24,2049.051834331733,1484.9267143545608,2589.6032808254226
2024-03-25,3482.275174942301,2932.7114632805497,4036.046677722877
2024-03-26,3611.604228938619,3003.0788893580516,4131.446808724366
2024-03-27,3566.539672028128,2947.2492156585413,4143.481862804267
2024-03-28,3338.2830803057877,2741.053554653956,3885.4888982463476
2024-03-29,3635.5057998342118,2991.8378930383433,4284.501896956801
2024-03-30,2260.617696986033,1652.2399894859584,2861.204349488644
2024-03-31,2060.3591393872184,1465.3329437461314,2634.672946514078
2024-04-01,3493.582479995833,2916.6902109991092,4057.321566984682
2024-04-02,3622.911533992342,3045.539494132145,4240.1431563872575
2024-04-03,3577.8469770825504,2987.1013253123388,4181.053888473265
2024-04-04,3349.590385359269,2801.1653771930314,3998.9684943035163
2024-04-05,3646.8131048870328,3023.171378189579,4207.263327391093
2024-04-06,2271.9250020376594,1658.0057668218617,2881.8005956234674
2024-04-07,2071.2599224442856,1509.8461157973636,2684.2555981660007
2024-04-08,3504.0767410583862,2876.5968665737078,4043.1554989148576
2024-04-09,3632.999273055162,3082.854005035667,4235.108176826587
2024-04-10,3587.5281941488743,3023.1099318518395,4157.18440878749
2024-04-11,3358.8650804286867,2757.4748112919633,3922.986647661543
2024-04-12,3655.6812779589777,3091.6933348773655,4238.497108458134
