ds,yhat,yhat_lower,yhat_upper
2024-01-01,53024.89755117876,44798.63073986486,61311.07902790667
2024-01-02,55758.04879562067,47607.74498499913,64289.324457816896
2024-01-03,55324.84910047702,46892.76023085698,63605.95161736115
2024-01-04,56267.870752009556,47708.79266093928,63962.40339911513
2024-01-05,59571.1368513695,51553.6022869101,67957.43267812293
2024-01-06,44504.25923530651,36391.03276911537,52839.234478224265
2024-01-07,33484.16499314637,25322.767860258693,41190.72737734437
2024-01-08,53148.15074415148,44811.52765870458,60795.05308516255
2024-01-09,55881.301988647996,46920.69125792114,63580.604105530976
2024-01-10,55448.102293487864,47431.352440073286,63508.15278393774
2024-01-11,56391.12394502997,48394.23156434163,64362.453408113804
2024-01-12,59694.39004440647,52221.20614573302,67417.23481264737
2024-01-13,44627.51242839981,35990.10347763573,52683.55101047262
2024-01-14,33607.41818618808,25069.06877239876,41885.13758195745
2024-01-15,53271.40393719276,45233.160875304195,61799.750909154005
2024-01-16,56004.55518167533,47660.96301596483,64680.53918250353
2024-01-17,55571.35548652325,47338.189081071636,63689.316526193965
2024-01-18,56514.3771366169,48272.69282218854,65214.49815111547
2024-01-19,59817.64323454126,51401.362617696526,68385.67740145836
2024-01-20,44750.76561706475,36614.65904596224,53432.49065660361
2024-01-21,33730.671373401405,26198.135739176563,41891.63050056774
2024-01-22,53394.65712297856,44837.16713419267,61284.75520776615
2024-01-23,56127.80836599156,47728.38547634051,64135.379023635454
2024-01-24,55694.60866939958,47655.18367696753,63718.24631835392
2024-01-25,56637.63031947964,48954.328738132244,64769.18099115411
2024-01-26,59940.89641740108,52142.84989179746,67972.20364670518
2024-01-27,44874.01879992531,36716.47239277339,52719.9239863093
2024-01-28,33853.92455628545,26227.209702970566,42562.864435241405
2024-01-29,53517.9103057936,45732.781581400275,62136.51205439134
2024-01-30,56251.06154885671,48033.48948098771,64831.538178610055
2024-01-31,55817.86185226502,47763.35456263241,64240.03914365985
2024-02-01,56760.883502361445,48440.88863428738,64814.60824959673
2024-02-02,60064.14960026092,52042.251987959404,68202.74267361901
2024-02-03,44997.27198439614,37056.98995641087,53030.814967620136
2024-02-04,33977.17774238784,25365.707947752024,42583.787827012624
2024-02-05,53641.16349355623,45698.6423841604,61613.20681938117
2024-02-06,56374.31473823728,48153.03910891952,64332.89385840464
2024-02-07,55941.11504326911,47495.40270925081,64432.51186073107
2024-02-08,56884.136694990564,48482.219441125126,64742.48750834639
2024-02-09,60187.40279454761,51849.040755356444,68800.79317914712
2024-02-10,45120.52517863334,36230.5704711395,53151.11713196043
2024-02-11,34100.43093665398,26448.21833329582,42571.35972567707
2024-02-12,53764.416687838115,45806.33396631314,61980.80476929073
2024-02-13,56497.567932501035,48112.283068060075,65026.84417276305
2024-02-14,56064.36823754093,47876.482997540814,64480.12071206649
2024-02-15,57007.389889265025,49263.994630866364,65251.79815525738
2024-02-16,60310.655988821025,51687.295116333175,68703.75723280957
2024-02-17,45243.778372888,37374.657710193984,53931.95326578158
2024-02-18,34223.68413092011,25894.898766620034,42819.91049857284
2024-02-19,53887.66988064091,46104.93039591058,61772.35724428501
2024-02-20,56620.82112383203,48502.88488502375,65212.633765272374
2024-02-21,56187.621427400496,48128.33555076337,64349.70354425453
2024-02-22,57130.643077638866,49487.40137958507,64901.05570176523
2024-02-23,60433.90917570173,51710.11284415663,68596.18528186779
2024-02-24,45367.03155831816,37149.27768628046,53626.31033078214
2024-02-25,34346.93731486591,25703.9894620523,42938.17314492567
2024-02-26,54010.92306462338,46307.379735871116,62321.65950863688
2024-02-27,56744.07430779603,48445.094462806424,64818.445069272566
2024-02-28,56310.874611363404,48428.79265663761,65178.46992498094
2024-02-29,57253.896261618065,49135.0964829245,65041.33694981948
2024-03-01,60557.16235967989,52790.67456845331,68765.84441657603
2024-03-02,45490.284742352625,37149.84198464053,53353.747726098765
2024-03-03,34470.1904988368,26668.103377497584,43084.452471598044
2024-03-04,54134.176248601674,46045.44585087893,61928.89312786928
2024-03-05,56867.32749176903,48833.621156357556,65206.19539299221
2024-03-06,56431.44918745687,48385.1980595473,65074.08990810708
2024-03-07,57371.792229846375,48811.93707015049,65360.534103572434
2024-03-08,60672.37972006288,52169.935706495584,68589.44013723623
2024-03-09,45602.82349486032,38245.09899987461,53395.792752849
2024-03-10,34580.05064352686,26197.821772870357,42913.62216168132
2024-03-11,54241.35778543274,45458.30732462604,62558.47811198025
2024-03-12,56971.830420723076,47965.37293561488,65325.14043111111
2024-03-13,56535.952116423476,48879.70200312863,64966.564456010114
2024-03-14,57476.29515881562,49145.09397408059,65825.24477993973
2024-03-15,60776.88264903108,52708.958655326875,69225.26721071341
2024-03-16,45707.32642382723,37981.03381967291,54460.90433750089
2024-03-17,34684.553572475794,26345.169653256122,42947.31671036236
2024-03-18,54345.86071433668,46155.128004745144,63441.870365869705
2024-03-19,57076.33334968162,48816.080525231526,65076.3053644124
2024-03-20,56640.455045390074,48686.95161111939,65543.49807068867
2024-03-21,57580.79808776725,49249.97151599264,65710.57338722984
2024-03-22,60874.33397276068,52250.762686772236,69466.76824701906
