ds,yhat,yhat_lower,yhat_upper
2024-01-01,2833.6652400267894,2412.131913784529,3246.0475487929966
2024-01-02,2888.6843455194107,2452.5175880779975,3304.5696997062773
2024-01-03,2888.358276891874,2432.0416182084123,3356.6097557713606
2024-01-04,2909.7865781582095,2478.0992824587634,3360.97966376686
2024-01-05,2974.092658520704,2531.936238233597,3416.614018494646
2024-01-06,2401.953703953746,1969.4485768015036,2830.8676569791687
2024-01-07,1982.110866137737,1553.7587489747043,2442.303570950055
2024-01-08,2855.1205304269556,2402.7504289528033,3314.576726923801
2024-01-09,2910.139635921794,2464.7683569553224,3343.891744646464
2024-01-10,2909.8135672933713,2427.4622164072803,3362.7110638861004
2024-01-11,2931.241868560136,2501.995926952314,3381.3599707467356
2024-01-12,2995.547948923536,2513.4569458474202,3459.8586924225756
2024-01-13,2423.4089943586437,1988.7099674076385,2879.6059427544064
2024-01-14,2003.5661565407386,1556.481764928685,2427.2519794929685
2024-01-15,2876.5758208298666,2409.748560513084,3311.0034159233337
2024-01-16,2931.5949263241764,2474.996435639048,3392.1135982154915
2024-01-17,2931.2688576961928,2481.5329578588626,3382.5196808425926
2024-01-18,2952.697158855793,2479.5514929951005,3404.156354651092
2024-01-19,3017.0032391120667,2554.653110895397,3459.9000868022117
2024-01-20,2444.8642844392457,2022.9646814578214,2904.4236695485592
2024-01-21,2025.0214465141598,1580.4205163433824,2457.9870344084516
2024-01-22,2898.031110697027,2435.8120525115373,3368.7269684023577
2024-01-23,2953.0502160833457,2539.3749525722096,3388.376215119808
2024-01-24,2952.724147348742,2485.3249969621015,3374.496929908523
2024-01-25,2974.1524485076698,2537.8979398479764,3452.5515651888995
2024-01-26,3038.458528763924,2592.2720590904023,3508.1783755025635
2024-01-27,2466.319574091247,1998.775033732257,2943.7641911686387
2024-01-28,2046.4767361671109,1575.0921921857966,2505.415602204312
2024-01-29,2919.4864003471425,2485.118721328609,3359.7571625394608
2024-01-30,2974.5055057353647,2546.6431344245143,3421.9732296830935
2024-01-31,2974.1794370008506,2546.647255257791,3423.0657296840423
2024-02-01,2995.6077381609944,2549.690237867684,3429.217899989703
2024-02-02,3059.9138184157805,2624.179195432376,3522.0507811368984
2024-02-03,2487.7748637324544,2050.486298667054,2928.416216653089
2024-02-04,2067.93202579827,1606.0308239844067,2504.9567183847685
2024-02-05,2940.941689969876,2489.3786726450094,3390.344802542941
2024-02-06,2995.960795347658,2547.6378160489226,3467.448696107917
2024-02-07,2995.634726602911,2556.4110893813704,3440.4388044703383
2024-02-08,3017.063027752812,2572.853537267675,3497.9121613968427
2024-02-09,3081.3691079990695,2683.528882865623,3521.9011202259435
2024-02-10,2509.230153313603,2039.3662292418946,2917.05060429284
2024-02-11,2089.3873153806617,1640.0606734504038,2502.4595763086145
2024-02-12,2962.3969795527655,2510.6785405150313,3400.6974450550615
2024-02-13,3017.416084929922,2568.1082170900895,3446.4152972585857
2024-02-14,3017.0900161856134,2598.115432701517,3465.112425736683
2024-02-15,3038.5183173354994,2597.549725632108,3482.9740516201614
2024-02-16,3102.824397581782,2678.7646778360468,3505.7704738927478
2024-02-17,2530.6854428955353,2069.7002044891665,2962.524636955166
2024-02-18,2110.842604963054,1675.505548608492,2578.9084859270865
2024-02-19,2983.8522691796607,2560.6755753326247,3435.3752586944274
2024-02-20,3038.871374601022,2565.9958584342994,3504.180765265803
2024-02-21,3038.5453059009214,2634.498908817583,3479.7693415094823
2024-02-22,3059.9736070941135,2635.87826846924,3522.4088501325186
2024-02-23,3124.2796873836537,2663.2778793911375,3563.3044560061485
2024-02-24,2552.1407327426787,2131.8746747516543,2972.4946944124204
2024-02-25,2132.297894853576,1708.9926503524794,2598.3157675711504
2024-02-26,3005.307559071864,2559.2131285250885,3454.84150244544
2024-02-27,3060.3266644923838,2618.8677047938468,3486.209787586138
2024-02-28,3060.0005957921503,2591.505374710577,3504.503768134321
2024-02-29,3081.428896986213,2643.620835904952,3527.1194135113783
2024-03-01,3145.734977275778,2698.1195043561756,3563.280143380366
2024-03-02,2573.5960226368684,2118.328674949082,3052.899123734643
2024-03-03,2153.7531847453797,1719.7975938975133,2607.8211962511746
