ds,yhat,yhat_lower,yhat_upper
2024-01-01,68321.62724989661,57796.61767624151,78863.05181183899
2024-01-02,71644.37776163223,61340.893449573945,81520.17846440403
2024-01-03,71654.36467384764,61176.82021986974,82777.33623219376
2024-01-04,72705.49375994156,62124.70833939907,82899.87451318438
2024-01-05,78423.77946099786,68225.22133990107,88747.10684889759
2024-01-06,64069.232038242466,53465.96482038746,75220.83065270378
2024-01-07,46165.13156546347,36302.34460432387,57160.99429671553
2024-01-08,68439.62140383165,58302.72382032294,77813.97161437939
2024-01-09,71762.37191563433,61522.342698958644,81978.42129732973
2024-01-10,71772.35882781925,61063.44283361353,81892.3955899179
2024-01-11,72823.48791392946,62749.27964357973,83137.82447812431
2024-01-12,78541.77361501483,67220.75352145538,88550.73288361302
2024-01-13,64187.226192323345,53845.78980689115,74460.4035568473
2024-01-14,46283.125719476026,35624.672040925005,55949.92576433853
2024-01-15,68557.6155578468,57970.84423875696,79770.04532514475
2024-01-16,71880.36606963645,61427.98568849621,82895.3068069238
2024-01-17,71890.35298183272,61503.03614816699,82332.8054659598
2024-01-18,72941.48206406953,62138.29711379668,83423.17904687238
2024-01-19,78659.76776128291,68094.73572805373,88635.89619753078
2024-01-20,64305.22033468868,53896.780299461716,74755.28297028548
2024-01-21,46401.11985796529,35905.473452652644,56526.98635417761
2024-01-22,68675.60969248971,57579.01963805858,78786.53309778195
2024-01-23,71998.36020038073,61525.186855436514,81757.03327168406
2024-01-24,72008.34710872114,61130.72104392891,81944.12724980158
2024-01-25,73059.4761909363,62628.32777036949,84483.51268837725
2024-01-26,78777.76188815173,68194.24707419974,89789.08055995322
2024-01-27,64423.214461556214,53109.72500428892,75155.48219993888
2024-01-28,46519.113984856725,35882.53622378692,56862.06749978296
2024-01-29,68793.6038193036,58708.88738697034,79314.37994382654
2024-01-30,72116.35432725058,61318.16487051629,82512.58054587922
2024-01-31,72126.34123559252,61379.50908500252,82571.16049323988
2024-02-01,73177.47031783848,63676.463383768576,84225.4764116792
2024-02-02,78895.75601502054,68323.66608324173,89773.91947365411
2024-02-03,64541.20858702408,54521.92162472028,75070.93535519447
