ds,yhat,yhat_lower,yhat_upper
2024-01-01,14441.096612407746,12036.828967285603,16858.799731811912
2024-01-02,15049.695093205351,12675.585533793324,17355.465424572005
2024-01-03,14705.256563224308,12140.50557654088,17131.75430087775
2024-01-04,15260.008781070159,12938.333724822121,17522.254357016252
2024-01-05,15891.420942989982,13309.129363770797,18295.54258924255
2024-01-06,10337.449121713476,7860.219707315769,12843.581916128831
2024-01-07,7826.783472598839,5422.203063801562,10314.35089670661
2024-01-08,14475.850600123393,12169.205918965517,16721.91658278308
2024-01-09,15084.449080937655,12830.109177620605,17496.454348414303
2024-01-10,14740.010550953342,12330.118104787756,17029.96277827273
2024-01-11,15294.762768801515,12786.521924103567,17735.434078291266
2024-01-12,15926.174930724774,13565.852401053178,18253.594007164047
2024-01-13,10372.203109466916,7903.014668734767,12825.926103943622
2024-01-14,7861.537460337188,5435.350323970991,10229.005511774189
2024-01-15,14510.604587860842,12010.324473936842,17029.684163912007
2024-01-16,15119.203068669956,12694.5743358773,17625.827029765518
2024-01-17,14774.76453868829,12381.407145567564,17228.789821983297
2024-01-18,15329.516755449302,12843.473464128649,17814.285817125936
2024-01-19,15960.92891628301,13553.00783667035,18531.051943488266
2024-01-20,10406.957093932095,8057.909896263868,12757.395625065614
2024-01-21,7896.291443714518,5506.001148486427,10311.418180119512
2024-01-22,14545.358570156899,12266.010425287779,17125.409622549207
2024-01-23,15153.95704987198,12674.73854370607,17668.21886593213
2024-01-24,14809.518518804558,12265.604725862424,17251.061912042922
2024-01-25,15364.270735562712,12854.12469609023,17673.520656460274
2024-01-26,15995.682896394315,13589.899683109326,18243.37438484251
2024-01-27,10441.71107404416,8131.494001615761,12845.95404836296
2024-01-28,7931.045423834923,5322.264193219411,10337.48506056297
2024-01-29,14580.112550254598,12053.754446200435,17067.591408969896
2024-01-30,15188.711029985727,12726.045270321942,17659.973633553396
2024-01-31,14844.2724989186,12267.554195488212,17358.96274102721
2024-02-01,15399.024715679643,13111.091622068348,18037.20621182476
2024-02-02,16030.43687650562,13538.55045977568,18455.844653367054
2024-02-03,10476.465049299155,7997.50607826212,13040.35899897899
2024-02-04,7965.79939423549,5386.801798634424,10245.12969859037
2024-02-05,14614.866515816835,12015.424219839553,16940.687051451645
2024-02-06,15223.464990692872,12808.812814179479,17587.268172680982
2024-02-07,14879.026454773631,12350.78894299693,17273.430283798796
2024-02-08,15433.778666682234,12988.726775764851,17950.299075328472
2024-02-09,16065.190822668372,13659.751301454256,18469.114261275517
2024-02-10,10511.218995443334,8186.4659961637235,12896.789258984161
2024-02-11,8000.5533403893205,5611.342923842736,10434.13350730943
