ds,yhat,yhat_lower,yhat_upper
2024-01-01,74882.53215803452,66271.47511912278,83555.02629422028
2024-01-02,76587.726013111,68035.24154145025,85453.79852562622
2024-01-03,75560.78171514797,67627.9985809707,84028.61053510281
2024-01-04,78587.32349151357,70262.43285939438,87373.39268596197
2024-01-05,85648.1630749922,76694.73729861174,94586.38112992464
2024-01-06,81922.0344728046,72514.8992024169,89891.86046161455
2024-01-07,62419.98652821066,53080.64868664782,71073.47860787142
2024-01-08,75304.51969392896,66627.4778204665,84033.05154282648
2024-01-09,77009.71354905124,68231.66685008131,85765.71259925139
2024-01-10,75982.76925105148,67336.3598929374,85078.64568272636
2024-01-11,79009.31102743828,70259.81641193354,87415.15513596637
2024-01-12,86070.15061094664,77159.91293521703,95094.20479664278
2024-01-13,82344.02200879948,74093.17676663371,91569.27354266221
2024-01-14,62841.97406414572,54263.407269724696,71537.72720675875
2024-01-15,75726.50722987202,66974.39707165166,84626.29777178467
2024-01-16,77431.7010849915,68714.8500211982,85928.70068954126
2024-01-17,76404.75678700347,67619.37520137941,84885.27475171367
2024-01-18,79431.29854698577,71039.81098955625,88072.68392772618
2024-01-19,86492.13811409613,77770.77942040857,95911.85442958616
2024-01-20,82766.00949551893,74440.57944428815,91599.60643543999
2024-01-21,63263.9615344661,54582.760116623984,72389.91014201957
2024-01-22,76148.49468380262,66947.65306568229,84968.39443983385
2024-01-23,77853.68852249841,68812.52389443303,86844.94258520388
2024-01-24,76826.74420813024,68283.10373529253,85847.2584954365
2024-01-25,79853.28596809304,70767.2955921644,88384.25962881233
2024-01-26,86914.12553521182,77744.22642026066,95549.73347836075
2024-01-27,83187.99691662838,75109.57208378614,92277.79567650228
2024-01-28,63685.94895558371,54866.667543259806,72198.99100655291
2024-01-29,76570.48210487961,67696.68235143737,85496.02250993958
2024-01-30,78275.67594360284,69504.34137227826,86420.07656952883
2024-01-31,77248.73162924054,67723.14386364039,85850.89724709354
2024-02-01,80275.27338923223,71654.99803214055,89386.87689741689
2024-02-02,87336.11295632753,78505.86773658427,95431.36237348951
2024-02-03,83609.98386689696,74434.86918780819,92027.56437723024
2024-02-04,64107.935435060106,55491.856422077275,73299.20311989523
2024-02-05,76992.46811353086,67939.62133989266,86603.67632053635
2024-02-06,78697.6614814146,70212.78059462146,87074.31248112282
2024-02-07,77670.71669621207,68421.96200200888,86287.13319551546
2024-02-08,80697.25798537294,72109.40366304119,89730.3231048703
2024-02-09,87758.09708163935,78971.00283744046,96792.04422028555
2024-02-10,84031.96799219897,75648.26326653072,93068.03778403495
2024-02-11,64529.919560381044,56218.93469724478,73265.01839726596
2024-02-12,77414.45223885326,68653.94859329663,86707.14092955347
2024-02-13,79119.6456067431,69985.19603694943,87869.47040518845
2024-02-14,78092.7008215523,69885.55350429441,86993.73263922648
2024-02-15,81119.24211071117,72061.46904656607,89559.5541618036
2024-02-16,88180.08120698205,79361.64475755485,96771.26888858952
2024-02-17,84453.95211751411,75657.171475707,93123.1915693676
2024-02-18,64951.90368570198,57206.16723528085,73615.63556293062
2024-02-19,77836.43577193576,69574.64863166529,86767.25971869935
2024-02-20,79541.62854755725,70890.5596660019,88537.49064749018
2024-02-21,78514.68317011942,69493.8710311121,87762.67409522744
2024-02-22,81541.2238669933,73031.50666123058,89235.88281500389
2024-02-23,88602.0623709936,79662.94976649695,97087.79134168212
2024-02-24,84875.93268928304,75552.48147656496,93967.15848759902
2024-02-25,65373.883665235626,56569.231489647755,74003.24735416663
2024-02-26,78258.41575146312,69449.3521418575,86698.00657423181
2024-02-27,79963.6085270634,70777.53610715723,88413.86086778676
2024-02-28,78936.6631496237,69826.14297875232,87291.11220122651
