ds,yhat,yhat_lower,yhat_upper
2024-01-01,2791.4684810559247,2186.9518957821633,3413.2391498579063
2024-01-02,2719.791728965988,2143.4101774794017,3328.7381123966575
2024-01-03,2813.9208131407195,2204.792949566476,3370.1152406610454
2024-01-04,2850.6213788481386,2248.077273841623,3415.9878001266106
2024-01-05,3274.0709466512844,2695.6459625573243,3860.0687087924753
2024-01-06,3560.219258088169,2934.726764396522,4123.409152017598
2024-01-07,2952.0492078538073,2346.7428216941203,3525.3065708918225
2024-01-08,2856.5367169245133,2279.45525701337,3456.132048564308
2024-01-09,2784.8599648346735,2175.564645642357,3334.68335016329
2024-01-10,2878.989049008409,2238.141342195719,3484.9670173208483
2024-01-11,2915.6896147163498,2321.923689648656,3497.63539233456
2024-01-12,3339.1391825206333,2756.1431384401485,3908.931789772487
2024-01-13,3625.287493957505,3026.347057678562,4212.028574228928
2024-01-14,3017.11744372207,2381.145926279675,3645.113447792342
2024-01-15,2921.60495279298,2312.223448457678,3517.8281323332094
2024-01-16,2849.928200703359,2246.902550029094,3441.61186491924
2024-01-17,2944.057284877356,2288.0452192659586,3534.0745561628005
2024-01-18,2980.7578507076223,2398.576050979584,3572.0174664541964
2024-01-19,3404.207418634716,2837.0939296466217,4035.7796696629894
2024-01-20,3690.3557301930714,3073.3825487679437,4273.69449276951
2024-01-21,3082.185680079505,2495.7506503675545,3665.664083984435
2024-01-22,2986.6731892732823,2386.266216278971,3596.185934527388
2024-01-23,2914.9964373058074,2317.219193464325,3514.139506676247
2024-01-24,3009.1255216025984,2390.7260567758894,3578.321257109537
2024-01-25,3045.826087432401,2448.019122419806,3648.7284088817987
2024-01-26,3469.275655360009,2853.2453651976134,4062.735022387833
2024-01-27,3755.4239669181043,3199.5316994878885,4356.786600313584
2024-01-28,3147.2539168043363,2536.5955344644535,3746.291550065613
2024-01-29,3051.741425998439,2475.5803703052693,3665.147806503893
2024-01-30,2980.0646740306224,2427.756213277018,3599.6356971478226
2024-01-31,3074.193758327485,2479.6336845939013,3632.1984706069816
2024-02-01,3110.894324158044,2525.0467365970126,3752.7127167212784
2024-02-02,3534.3438920853014,2947.488160944702,4088.357977835643
2024-02-03,3820.4922035548543,3219.9668243513593,4398.336635208372
2024-02-04,3212.322153355386,2635.97548398587,3810.374604244032
2024-02-05,3116.80966246007,2526.0354703607168,3709.3330915383017
2024-02-06,3045.132910404455,2403.230387955641,3642.5959007380643
2024-02-07,3139.2619946130944,2555.4770528216686,3744.6980671490987
2024-02-08,3175.9625603556924,2568.596463614046,3776.7228167462017
2024-02-09,3599.412128193731,3026.622323860548,4224.781423656816
2024-02-10,3885.5604396644735,3288.0802132200033,4466.624694909069
2024-02-11,3277.3903894650834,2672.920436507127,3911.2105803797854
2024-02-12,3181.877898569958,2637.3243312506543,3774.0785036704556
2024-02-13,3110.2011465147216,2515.314355258908,3692.853934957681
2024-02-14,3204.330230723624,2634.2028472493,3798.0921779194277
2024-02-15,3241.0307964661806,2662.822675362904,3864.8575786745578
2024-02-16,3664.4803643046616,3096.3607550102374,4267.924774296255
2024-02-17,3950.6286757745215,3403.169301325136,4561.857086446636
2024-02-18,3342.4586255747804,2764.9520225170113,3938.5628946236875
2024-02-19,3246.9461356993365,2591.577366193008,3846.151284358044
2024-02-20,3175.2693846629973,2598.571998268498,3767.4286800716554
2024-02-21,3269.3984698916574,2694.9286584592414,3857.37752499972
2024-02-22,3306.0990366526457,2703.50976974544,3915.9048748339505
2024-02-23,3729.5486055101856,3132.326624349807,4359.564038173563
2024-02-24,4015.6969179995763,3434.7418706934513,4622.69384535148
2024-02-25,3407.52686882073,2846.542204722945,3970.3661356589882
2024-02-26,3312.014378943562,2768.907478409414,3938.6848532556746
2024-02-27,3240.3376279070026,2642.5810088977746,3876.607708420904
2024-02-28,3334.466713135461,2740.4090093662066,3927.006132138023
2024-02-29,3371.1672798973086,2736.684340454832,3956.292464819742
2024-03-01,3794.6168487552914,3204.2562953963366,4428.92977275846
2024-03-02,4080.7651612446703,3482.5933663076316,4642.101555925054
2024-03-03,3472.595112064603,2893.4517721015773,4035.440856240438
2024-03-04,3377.0826221879474,2796.769774898654,3964.1144338457498
2024-03-05,3305.4058711518833,2736.452795538472,3933.9909449350525
2024-03-06,3399.5349562031197,2821.581265451543,3959.048508251196
2024-03-07,3436.235522789176,2820.269405750729,4022.6765708684015
2024-03-08,3859.685091472411,3284.0054814113423,4424.285061665268
2024-03-09,4145.833403785314,3537.2433959500113,4740.2450791314795
2024-03-10,3537.6633544296856,2936.6909732191352,4097.33510153176
2024-03-11,3442.1508643774464,2838.176960790904,4030.300580614421
2024-03-12,3370.474113165375,2769.895945405781,3963.0508561147853
2024-03-13,3464.603198217311,2868.4299628528015,4046.587808192203
2024-03-14,3501.3037648033255,2931.3338260727437,4091.6620346178174
2024-03-15,3924.7533334870036,3349.9897660801203,4527.2154567642165
2024-03-16,4210.901645799452,3623.5260379882325,4821.722459621155
2024-03-17,3602.731596442896,2962.9080807451487,4110.210290689167
2024-03-18,3507.219106391279,2918.33161898233,4066.5663158472416
2024-03-19,3435.5423551793037,2817.270617179769,4052.9214464202896
2024-03-20,3529.671440231502,2926.8660822093707,4116.428973489152
2024-03-21,3566.3720068167813,2974.193818095954,4181.686453142215
2024-03-22,3989.821575858834,3400.8968474195203,4554.730659359825
2024-03-23,4275.969888529326,3692.468075236259,4862.235477134316
2024-03-24,3667.7998395299874,3041.8181420923243,4252.117378308086
2024-03-25,3572.2873498364347,2964.89146933569,4196.571516960676
