ds,yhat,yhat_lower,yhat_upper
2024-01-01,2021.4693071248744,1302.0867126468543,2744.6863279560484
2024-01-02,1944.8150905717189,1209.9232373047696,2648.0451661926877
2024-01-03,1887.147115524544,1206.9104305284902,2577.1751377221526
2024-01-04,2136.3651035479597,1416.1368269389945,2850.1906790012385
2024-01-05,2280.447957797534,1523.7433872993524,2974.3703211421957
2024-01-06,2642.9466547855673,1925.1107707682513,3338.81415624908
2024-01-07,2375.249833424318,1663.7825227303597,3039.2506769871848
2024-01-08,2138.3458523844556,1457.941897139304,2796.8440885231394
2024-01-09,2061.69163583079,1319.8333650177303,2769.6218743990785
2024-01-10,2004.0236607830336,1297.0128819639083,2703.12291303985
2024-01-11,2253.241648806924,1509.3152280601334,2945.775313805664
2024-01-12,2397.3245030566777,1619.0037472387742,3052.011369470082
2024-01-13,2759.8232000443945,2063.5938739113417,3461.120506195986
2024-01-14,2492.1263786826676,1810.1129670042706,3201.4272633281985
2024-01-15,2255.222397643123,1554.5875779250312,2961.8558129317225
2024-01-16,2178.5681810898623,1483.9900275592006,2863.400272331261
2024-01-17,2120.900206042337,1374.7960632221575,2816.0551632190018
2024-01-18,2370.1181938826485,1662.751967843311,3087.832321016583
2024-01-19,2514.2010479489686,1820.4757458843528,3234.709219071535
2024-01-20,2876.699744753024,2223.5559276518125,3595.379018738157
2024-01-21,2609.0029232082984,1904.0122848786227,3300.46866737626
2024-01-22,2372.0989419846583,1653.7644265231547,3092.422713668695
2024-01-23,2295.4447252478312,1612.541375335485,2966.852360045888
2024-01-24,2237.7767500171135,1540.3430411712304,2988.8843882460255
2024-01-25,2486.9947378576285,1839.084985731127,3193.2776023650417
2024-01-26,2631.077591924198,1872.9938814768889,3299.1969023505826
2024-01-27,2993.5762887279484,2281.604896590939,3691.885468622116
2024-01-28,2725.8794671826654,2009.6716953065975,3450.9853932700194
2024-01-29,2488.9754859602563,1808.8961608915947,3234.8078913342397
2024-01-30,2412.3212692223747,1733.8965966758392,3097.5150382602906
2024-01-31,2354.653293992026,1626.4012517306817,3015.6161368705407
2024-02-01,2603.871281832377,1933.3510343921512,3354.932636959257
2024-02-02,2747.9541358994265,2082.3619434535894,3468.147940427829
2024-02-03,3110.4528327584144,2399.1689175915208,3786.956280916112
2024-02-04,2842.756011269271,2162.665060602527,3480.276215602066
2024-02-05,2605.8520301012063,1893.8129173464145,3271.793105296651
2024-02-06,2529.1978134183837,1817.28648549988,3252.189999733103
2024-02-07,2471.529838243089,1785.3016556441305,3174.631067569754
2024-02-08,2720.7478261387378,2032.5706337426193,3484.6986653199933
2024-02-09,2864.830680259986,2157.2248813905708,3515.870720664086
2024-02-10,3227.3293771202607,2561.9395842693366,3955.4566100074294
2024-02-11,2959.6325556307406,2227.463537037021,3660.502027773412
2024-02-12,2722.728574461925,2041.649913530519,3413.9505930796126
2024-02-13,2646.0743577800818,1900.485339423233,3337.728728926482
2024-02-14,2588.4063826050196,1862.319374385299,3305.170456034584
2024-02-15,2837.624370500516,2176.6950003070206,3506.3932994264283
2024-02-16,2981.7072246217563,2243.1860439368193,3641.439524210169
2024-02-17,3344.2059214817955,2697.794140076698,4108.628710698936
2024-02-18,3076.509099992211,2361.9913873081546,3703.521860015312
2024-02-19,2839.6051188299134,2113.3665444406456,3524.2339017545182
2024-02-20,2762.950902154109,2087.7276160191695,3397.8839971765783
2024-02-21,2705.282926985306,2004.2257462479627,3431.9237298895905
2024-02-22,2954.500914886581,2295.9935329148598,3691.4202210950652
2024-02-23,3098.583769014257,2403.076321975594,3839.9518391777156
2024-02-24,3461.082465880042,2687.8958285696867,4205.952602190987
2024-02-25,3193.3856443977966,2473.416072997342,3913.837285925921
2024-02-26,2956.481663234037,2264.5397531628946,3646.3462305828925
2024-02-27,2879.8274465580926,2207.205105319931,3546.981115619572
