ds,yhat,yhat_lower,yhat_upper
2024-01-01,61419.57015908582,48603.68158761062,74467.36902386346
2024-01-02,64744.55233809407,52197.76035572263,77695.10878557495
2024-01-03,63026.52272545803,50200.270887856976,77152.18639818275
2024-01-04,65688.89142536212,52456.92590355109,78692.30484212514
2024-01-05,66619.64646981328,53581.630983386436,79737.4345471319
2024-01-06,36322.71561774002,23255.429067145833,49680.403083908
2024-01-07,23736.073228322864,11141.13445208688,37047.25697078547
2024-01-08,61711.38567392487,48219.24662354616,74259.73952204705
2024-01-09,65036.36785302676,51008.38109923701,79230.42896387738
2024-01-10,63318.33824036981,49750.01384075982,77157.6857412244
2024-01-11,65980.70694028665,52131.3591683727,78254.31379812755
2024-01-12,66911.46198475812,54767.819093217964,80099.33575114759
2024-01-13,36614.531132784665,23530.196524521805,50259.84894156722
2024-01-14,24027.888743288415,10465.230806835256,37297.221691647115
2024-01-15,62003.20118888499,48448.166876318435,75808.63131774105
2024-01-16,65328.18336795944,52071.4734143094,78989.40370284964
2024-01-17,63610.15375531797,50381.65228336055,76178.99218403536
2024-01-18,66272.52245507167,52475.18229629828,79478.16842452808
2024-01-19,67203.27749936945,53453.71828118315,80413.52267929015
2024-01-20,36906.3466472045,23716.304932028997,50217.822264838665
2024-01-21,24319.70425754618,11427.722953917095,38905.230079394896
2024-01-22,62295.016703011264,48272.47743946799,75843.06436479038
2024-01-23,65619.998881886,53458.78553525312,79273.62740247445
2024-01-24,63901.969269092406,50973.12640345015,77561.46872595465
2024-01-25,66564.33796882884,53514.16530357402,79492.24155560361
2024-01-26,67495.09301311603,54238.387526692124,79836.90274070871
2024-01-27,37198.162160957254,25014.68057673492,51216.36022578327
2024-01-28,24611.519771344378,11747.946495756953,38095.76868113083
2024-01-29,62586.83221668295,48733.51044604411,75705.30069650759
2024-01-30,65911.8143956458,51732.00064187403,78699.43860393298
2024-01-31,64193.784782855015,50588.11315700734,76991.84955302611
2024-02-01,66856.15348261643,52103.48383451073,80280.30181932621
2024-02-02,67786.9085268626,54246.14847964294,81835.33966078861
2024-02-03,37489.97767235787,24233.951599894,50176.53682270322
2024-02-04,24903.335280400104,11048.43876005774,37466.77773429446
2024-02-05,62878.647723496426,50367.88398129692,75786.80129824726
2024-02-06,66203.62990011639,52361.95292555157,80358.61202322145
2024-02-07,64485.60028499922,51110.6198738199,77845.12701504675
2024-02-08,67147.96898243151,53545.784734673805,81765.99175703275
2024-02-09,68078.72402442757,54223.24179449186,81841.75157918058
2024-02-10,37781.79316981642,24313.077238661164,50819.2413465483
2024-02-11,25195.15077791218,12436.876085717688,37873.563349260374
2024-02-12,63170.46322103165,50011.10531128114,77301.70526608922
2024-02-13,66495.44539761594,53103.10622438585,79495.41519577008
2024-02-14,64777.415782514254,50945.98435062003,78799.71885514921
2024-02-15,67439.78447995016,53367.22548654195,80915.4608925683
2024-02-16,68370.5395219393,56380.13840199598,82378.92622849307
2024-02-17,38073.60866730342,24634.245479663005,50631.280841640204
2024-02-18,25486.96627542425,11056.691268149285,38664.2559766207
2024-02-19,63462.27871846331,50442.7766648546,77226.86616156528
2024-02-20,66787.26089496794,53376.2130576024,80754.33258277793
2024-02-21,65069.231279768006,51804.94191226496,78958.32759058865
2024-02-22,67731.5999770932,54652.10641409895,81372.61584985869
2024-02-23,68662.35501895373,55338.07342459824,82742.29450441894
2024-02-24,38365.42416426785,25085.16234202512,51431.67545222177
2024-02-25,25778.781772251918,12700.58320944708,38887.72285168301
2024-02-26,63754.09421538064,50594.931980578,76949.24071460398
2024-02-27,67079.07639185232,53137.00687662828,79969.38253136734
2024-02-28,65361.046776648815,52390.91015887238,79462.43279937503
2024-02-29,68023.41547400219,55054.56763948524,81477.16306984439
2024-03-01,68954.1705158558,55614.1983427211,81271.31876153286
2024-03-02,38657.23966126973,23946.25202270137,51821.186586795
2024-03-03,26070.59726915433,13265.515160216808,38942.24888377991
2024-03-04,64045.909712289744,50640.14007417871,76808.5550423199
2024-03-05,67370.89188874773,52846.80774816915,80676.11192373368
2024-03-06,65648.2535786469,51359.48784504319,79829.07869619284
2024-03-07,68306.01358111802,54221.66277413444,81594.87709381121
2024-03-08,69232.15992811421,55160.54446144061,82695.6617512112
2024-03-09,38930.620378634936,25945.275206142884,52582.4448713963
2024-03-10,26339.369291722505,12469.950873231935,40527.85483190882
2024-03-11,64310.07303998157,51002.14542552014,76601.76152078685
2024-03-12,67630.44652153569,54573.06516761012,80631.14667858138
2024-03-13,65907.80821145586,52133.59996611687,78635.43775032961
2024-03-14,68565.56821393062,54801.2689867241,81236.90846092274
2024-03-15,69491.71456091986,55630.918693786145,82022.66192424424
2024-03-16,39190.17501144433,26533.886309648882,52072.819184285436
2024-03-17,26598.92392450815,13857.006396216822,39971.17337911501
2024-03-18,64569.62767268141,51578.40091632089,77677.31137092892
2024-03-19,67890.00115432918,53343.17504799918,80476.97235059836
2024-03-20,66167.36284426483,53121.8825818105,78925.99601609
2024-03-21,68825.12284671594,55947.21223462393,81782.42196389257
2024-03-22,69741.2346436472,57017.02516253049,83207.06756299314
2024-03-23,39429.6605442265,24903.535692218906,52713.646345483874
2024-03-24,26828.37490719227,13173.505767999846,39299.56805032879
2024-03-25,64789.04410531269,52138.39471854673,78171.34449465391
2024-03-26,68099.38303688007,54902.83435335963,80916.43323582233
2024-03-27,66366.71017677113,52222.16958924962,80474.51821245959
2024-03-28,69014.43562922391,55255.34753238737,82788.22612334452
2024-03-29,69930.54742617422,56620.46314460309,83620.12473008661
2024-03-30,39618.973326704014,26315.691795050257,53247.98800602901
2024-03-31,27017.687689686743,13731.93760098727,40964.54893811014
2024-04-01,64978.35688779351,51835.35979658758,78482.69942115343
2024-04-02,68288.69581937384,54647.19050555642,81130.57066020362
2024-04-03,66556.02295926004,53251.72283685172,79743.25842366672
2024-04-04,69203.74841167736,55920.50300854907,82449.13057249652
2024-04-05,70119.86020861709,56369.88980429032,83761.71716810866
