ds,yhat,yhat_lower,yhat_upper
2024-01-01,31015.48864405161,24325.79111064501,37632.6274787874
2024-01-02,32991.20610153816,26064.628981665108,39788.56199341856
2024-01-03,32020.566607214587,24691.909419749525,39098.91759273193
2024-01-04,32918.22461173201,26021.92137854578,39880.94407352034
2024-01-05,32965.58875540816,26054.136197583895,40343.24195854314
2024-01-06,17570.170957889786,10850.462096698468,24462.627694146136
2024-01-07,11938.436903974254,4958.222518590676,18782.793775258484
2024-01-08,31037.132056593568,24240.269540909965,37968.080012252845
2024-01-09,33012.849514127505,25667.838697520743,39996.23752512045
2024-01-10,32042.210019794547,24719.50786205951,38678.47677942173
2024-01-11,32939.86802431763,25879.854281023338,39166.28348841552
2024-01-12,32987.23216800293,25911.416694285916,39546.47522872704
2024-01-13,17591.81437053418,10720.31173920434,24329.698280171215
2024-01-14,11960.080316580554,4394.601526714139,19032.99443236904
2024-01-15,31058.77546919701,24083.683395301847,37507.568188240984
2024-01-16,33034.492926716855,25760.120716506597,39773.092168865674
2024-01-17,32063.85343239092,24463.521107968,38547.8363225541
2024-01-18,32961.511437591085,26519.924338821325,40107.12260382864
2024-01-19,33008.87558194784,26484.251979283115,39656.462620970975
2024-01-20,17613.457785142702,10484.507122137358,24871.96710432891
2024-01-21,11981.72373186659,4879.4685206280055,18969.550613087787
2024-01-22,31080.418885175808,24085.830816772926,37930.57439038249
2024-01-23,33056.13634335462,25923.785474538116,39475.073240300284
2024-01-24,32085.496849711202,24870.023798355785,38649.0059694554
2024-01-25,32983.15485490219,25825.604380862012,39739.95369952465
2024-01-26,33030.518999253305,26249.521394949774,39657.53243089559
2024-01-27,17635.101202451515,10849.733356187018,24905.912304716905
2024-01-28,12003.367149198391,4576.975501295196,18840.06179412957
2024-01-29,31102.062302443264,24029.56727803767,37487.601123885455
2024-01-30,33077.779760667465,26027.001103326667,40046.19700529803
2024-01-31,32107.140267024864,25237.400905514038,39019.11715183325
2024-02-01,33004.79827222825,26501.525857201552,40011.348070244945
2024-02-02,33052.16241655876,25220.34630843624,40080.073827760236
2024-02-03,17656.744619306803,10874.821962228327,24352.47129980862
2024-02-04,12025.01056560142,5092.858525880824,18511.780007423044
2024-02-05,31123.705718448793,24796.559767132403,38479.780114470384
2024-02-06,33099.42317622388,26230.36471127404,39510.871596675795
2024-02-07,32128.78368214048,24894.66621669127,39003.86250211922
2024-02-08,33026.44168690171,25851.84424396143,40248.303193220185
2024-02-09,33073.805830830475,25800.153767118598,40149.075538901336
2024-02-10,17678.388033524425,10121.43604324057,24976.741525749017
2024-02-11,12046.653979845687,4938.792657350952,18821.12427978665
2024-02-12,31145.34913270506,23826.31470625647,38390.7061758252
2024-02-13,33121.06659046146,25813.858945093172,40368.2361334954
2024-02-14,32150.427096385087,25209.987819566453,39804.903479433044
2024-02-15,33048.08510114833,26408.52787456898,40311.36116960623
2024-02-16,33095.44924507348,26612.25397269512,39838.24290999656
2024-02-17,17700.031447755977,10669.783706713346,24925.75127474259
2024-02-18,12068.297394089946,4862.185884887039,18698.808240940918
2024-02-19,31166.99254760398,23529.501115855073,38107.32241083075
2024-02-20,33142.71000601562,26084.464815410178,40388.61327854991
