ds,yhat,yhat_lower,yhat_upper
2024-01-01,2758.3543646438047,2164.7199370879493,3342.8035066798207
2024-01-02,2819.2025398634573,2226.6915915329996,3372.9195894639624
2024-01-03,2792.26476128553,2214.507026494128,3363.1323434813085
2024-01-04,2872.3769362778085,2259.287826452633,3405.712139149002
2024-01-05,3220.2622881504194,2631.583433123473,3781.884091770789
2024-01-06,2395.5255880220147,1844.3715142182864,2963.786891391192
2024-01-07,1771.0741291044956,1211.7078904194063,2395.683060631559
2024-01-08,2813.5007017565395,2219.536329886816,3413.594384413502
2024-01-09,2874.3488769788773,2306.1800243492903,3417.614099755635
2024-01-10,2847.411098400205,2299.7129679092563,3434.700781352389
2024-01-11,2927.523273393009,2348.8423944348856,3501.8203445636946
2024-01-12,3275.408625266589,2695.5717858753565,3799.6507943630536
2024-01-13,2450.67192514125,1816.9205865252754,3092.473633087281
2024-01-14,1826.2204662208892,1230.535878843846,2426.515713725504
2024-01-15,2868.647038872808,2252.0549499454132,3423.6746062350157
2024-01-16,2929.4952140942987,2318.2501073898466,3515.7845297212884
2024-01-17,2902.5574355161116,2311.2910728345005,3513.5928564621113
2024-01-18,2982.669610471337,2413.0319579620023,3544.8117591524547
2024-01-19,3330.5549623070415,2728.5940584458995,3897.2834250535097
2024-01-20,2505.8182621427,1908.4280183132942,3091.7677734783047
2024-01-21,1881.3668031841903,1313.436461005555,2427.319081068717
2024-01-22,2923.7933757997853,2365.8437795608957,3508.036453430351
2024-01-23,2984.6415509824456,2437.134908835788,3572.633478146635
2024-01-24,2957.703772366983,2393.1794616273305,3525.605719566997
2024-01-25,3037.815947321529,2462.004684851839,3609.952789139946
2024-01-26,3385.701299157043,2770.1510192904166,4011.530219773172
2024-01-27,2560.9645989927158,1959.7224982349007,3076.8487223837037
2024-01-28,1936.5131400355763,1344.9837156451144,2494.2708882872207
2024-01-29,2978.939712647511,2425.349686860463,3561.830820873875
2024-01-30,3039.787887832733,2512.556408178531,3652.4081595585462
2024-01-31,3012.8501092172655,2445.602987288328,3605.203795835912
2024-02-01,3092.9622841723426,2538.7566601841545,3680.8600941159325
2024-02-02,3440.8476360070445,2843.6406282112584,4018.7090589525096
2024-02-03,2616.1109357982014,2062.0765451961156,3202.924714818961
2024-02-04,1991.6594767980926,1428.4386041415328,2572.2618502227983
2024-02-05,3034.086049368099,2479.544942881022,3617.551327921863
2024-02-06,3094.934224509437,2479.9170090196926,3624.0091249221405
2024-02-07,3067.9964458504123,2446.1011978710835,3606.9118842458124
2024-02-08,3148.1086207619724,2549.7982512577287,3725.1359480582923
2024-02-09,3495.9939725545105,2962.9519945103284,4094.8726328298108
2024-02-10,2671.257272343124,2120.179802607602,3292.790298080614
2024-02-11,2046.8058133446584,1439.4491828420541,2569.3419373342144
2024-02-12,3089.232385915761,2477.1471829300845,3670.1235516637985
2024-02-13,3150.08056105586,2558.756871635703,3711.348065622594
2024-02-14,3123.142782397321,2543.318857156803,3685.406290977398
2024-02-15,3203.2549573091605,2651.5825664234376,3772.2287397430787
2024-02-16,3551.140309101682,2957.345987842204,4148.611027221867
2024-02-17,2726.4036088891503,2118.448635577847,3348.270599192037
2024-02-18,2101.952149891225,1528.5014859634412,2694.0332819141586
2024-02-19,3144.3787225431092,2560.8347457154505,3754.136587093042
2024-02-20,3205.2268977640215,2642.7191533041355,3752.6486629610245
2024-02-21,3178.289119185637,2609.989165353801,3795.93848952286
2024-02-22,3258.4012941772403,2705.4390915064196,3857.2038388792544
2024-02-23,3606.2866460488804,3016.0583429920976,4202.895078695812
2024-02-24,2781.5499459179923,2212.1742687057163,3346.269715501902
2024-02-25,2157.09848699989,1540.8007536092698,2725.9906997477065
2024-02-26,3199.525059653664,2613.966720827573,3731.875138951508
2024-02-27,3260.373234873604,2658.647721625715,3796.5235481837453
2024-02-28,3233.4354562951867,2661.589847949075,3796.408496800753
2024-02-29,3313.547631287712,2740.402898220029,3898.64574142268
2024-03-01,3661.432983159336,3072.135494626936,4252.008902853981
2024-03-02,2836.696283031513,2275.8353021709536,3427.8527225638586
2024-03-03,2212.2448241097404,1607.6064437770608,2774.039616328791
2024-03-04,3254.6713967638275,2701.410013515274,3863.9723741108232
2024-03-05,3315.5195719834355,2758.675311701975,3915.687625576588
2024-03-06,3288.5817927405606,2684.354393364132,3867.103964302255
2024-03-07,3368.6939670686747,2734.804204120234,3932.628354162608
2024-03-08,3716.57931827787,3174.552286589237,4288.172854695592
2024-03-09,2891.8426174853703,2299.9006948624556,3480.2146543452386
2024-03-10,2267.3911579024834,1681.7080908128432,2826.483833577987
2024-03-11,3309.8177298928576,2699.994138988093,3896.654423834501
