ds,yhat,yhat_lower,yhat_upper
2024-01-01,26968.89432119823,20390.92286901412,33879.61056395802
2024-01-02,28264.368866965855,21801.18161355497,35040.43687572167
2024-01-03,27883.73839213773,21129.62760874563,34744.608110328416
2024-01-04,28744.2185751628,22223.637305728356,35950.18373003057
2024-01-05,29319.803079952766,22104.81021924194,35419.4839989858
2024-01-06,22143.57400717396,15587.801502287868,28747.291893307727
2024-01-07,15969.02352503523,9740.417669326791,22407.956941185064
2024-01-08,27384.201288703633,20453.52034156635,33865.12258414791
2024-01-09,28679.67583450213,22667.97224346612,35241.7591212443
2024-01-10,28299.045359660795,21915.565852523792,35136.840346112025
2024-01-11,29159.525542692747,22580.14621834562,35502.54017599248
2024-01-12,29735.110047493814,23136.991650392538,37070.83417820837
2024-01-13,22558.880974743653,16120.94281545857,29243.89911882995
2024-01-14,16384.330492577297,9725.884478472191,22960.499071123573
2024-01-15,27799.508256246052,21016.972498499454,34410.202119914815
2024-01-16,29094.982802038412,22678.6926222165,35390.03412336482
2024-01-17,28714.352327202905,22018.249224087285,35383.44345811024
2024-01-18,29574.832509131324,23210.674392863555,36109.56725308145
2024-01-19,30150.417012829126,23674.700818815345,36829.79448578181
2024-01-20,22974.187938965806,16503.4391389428,29349.989406479322
2024-01-21,16799.63745569904,10482.957826150334,23232.22763447497
2024-01-22,28214.815218274125,22064.760210113192,35109.166136384665
2024-01-23,29510.289762951797,23379.39720065052,36187.77513358309
2024-01-24,29129.65928702147,22853.225370656106,35988.24559090348
2024-01-25,29990.139468941186,23403.656918132423,36416.967168495044
2024-01-26,30565.7239726389,23956.427598197835,36546.14930269729
2024-01-27,23389.494898776476,17055.17797136057,30251.408476853325
2024-01-28,17214.944415521022,10947.90680517365,23845.689289383474
2024-01-29,28630.122178059442,21990.876896246536,35178.30481524845
2024-01-30,29925.59672276232,23507.96572560736,36995.684544362746
2024-01-31,29544.96624683397,22051.38850809131,35942.54823830535
2024-02-01,30405.446428769166,23992.32154254391,36861.85106211576
2024-02-02,30981.030932448677,24635.408532643425,38128.64074893959
2024-02-03,23804.801859346513,17184.5464652675,30113.306713977036
2024-02-04,17630.251376859247,11364.9523048551,24736.04505244776
2024-02-05,29045.429140186552,22319.6277132191,35949.19945826703
2024-02-06,30340.90368565062,23652.76044313361,37472.642160843854
2024-02-07,29960.27321048661,23276.480037330763,36497.895746721624
2024-02-08,30820.753393187195,24536.723510352014,37260.36120227338
2024-02-09,31396.33789765363,25164.192418586405,38807.716822656716
2024-02-10,24220.108824524716,17382.2079988212,30602.720905907616
2024-02-11,18045.558342053,11862.91673711114,24824.36228266651
2024-02-12,29460.736105384385,22640.51726802536,36397.96486473776
2024-02-13,30756.210650843,24043.52494719254,37186.99852152312
2024-02-14,30375.580175684827,23698.634456952037,37152.324396898715
2024-02-15,31236.060358384744,24589.323165401165,37690.512942317575
2024-02-16,31811.644862850786,25593.141391903217,38402.360896827915
2024-02-17,24635.41578971158,17621.261005661334,30989.668358606745
2024-02-18,18460.865307246742,11959.621616125882,25367.382712600574
2024-02-19,29876.043070788626,23086.200398093908,36421.06073817501
2024-02-20,31171.517616450223,24658.55931777805,37621.73460870651
2024-02-21,30790.887141498115,24055.659406758437,37800.83103001214
2024-02-22,31651.367324390896,24842.57253295002,37909.05067323543
2024-02-23,32226.951829050686,25085.994269304105,39044.29216777168
2024-02-24,25050.72275612858,18476.50251575481,31626.497526549123
