ds,yhat,yhat_lower,yhat_upper
2024-01-01,6824.49055373111,5764.805871229393,7889.236664356383
2024-01-02,6952.900259299596,5927.202377671916,8047.669555732046
2024-01-03,6867.332565709464,5901.175845122368,7937.354539717738
2024-01-04,6997.880718450077,6005.8801187912995,8086.671450513031
2024-01-05,7156.7375753382485,6111.448996345383,8239.191226519359
2024-01-06,5105.5764716787435,4106.816291056135,6129.942904672522
2024-01-07,4027.3069195185126,3061.132879719117,5064.2953434914425
2024-01-08,6854.616976297779,5858.525070939209,7887.671079835744
2024-01-09,6983.026681873089,5934.04266169922,8010.281587935807
2024-01-10,6897.458988280859,5852.394532673265,7929.29033716119
2024-01-11,7028.007141022608,6009.585273397789,7985.581648706222
2024-01-12,7186.86399791301,6210.885498550821,8193.25174413531
2024-01-13,5135.702894260385,4087.22306796438,6141.8833793785025
2024-01-14,4057.4333420943926,3037.310695555696,5188.818429834995
2024-01-15,6884.7433988731955,5816.522768173389,7948.089601234693
2024-01-16,7013.153104446582,5997.516399359676,8021.68922084321
2024-01-17,6927.585410855682,5894.912058828691,7957.06038683489
2024-01-18,7058.133563575836,6050.043003479329,8096.230002265939
2024-01-19,7216.990420444288,6160.810204679899,8385.438892040469
2024-01-20,5165.829316767767,4075.68249694781,6237.361753726642
2024-01-21,4087.559764580056,3094.557632280378,5154.786147775546
2024-01-22,6914.869821339901,5837.577606614842,8016.521001637846
2024-01-23,7043.27952688897,6070.44510819671,8121.711551345418
2024-01-24,6957.711833277729,5878.594080068682,7967.743415848461
2024-01-25,7088.259985996172,6027.356723459923,8102.725893014179
2024-01-26,7247.116842864177,6228.184247664873,8294.950235934504
2024-01-27,5195.955739188181,4153.137415752779,6285.928842431738
2024-01-28,4117.686187003741,3041.427400265811,5102.590577043267
2024-01-29,6944.9962437543745,5931.927637212628,8018.8088087470815
2024-01-30,7073.4059493096165,5996.293576462604,8127.250058913005
2024-01-31,6987.8382556986435,5992.387070728197,8062.027187992473
2024-02-01,7118.386408419917,6093.891028378198,8125.089823661004
2024-02-02,7277.243265284065,6313.183072983514,8331.783623320503
2024-02-03,5226.0821615961795,4217.422707489898,6251.713494915881
2024-02-04,4147.81260940068,3112.524149724384,5223.950935584093
2024-02-05,6975.122666146978,5927.415363193863,8051.734486248317
2024-02-06,7103.532371690809,6090.919605017901,8174.905362972327
2024-02-07,7017.964678069427,5964.634760347552,8025.001686244251
2024-02-08,7148.512830780097,6110.364299821072,8127.827002251751
2024-02-09,7307.369687639342,6281.379058988025,8308.360671595558
2024-02-10,5256.208583944022,4227.465612866675,6336.743686560921
2024-02-11,4177.939031752559,3098.2456440362844,5280.996491910151
2024-02-12,7005.249088500555,5963.410414958995,8018.943469136843
2024-02-13,7133.658794041926,6189.8658706669,8133.111475900597
2024-02-14,7048.091100421873,5998.2596564257965,8106.176422898009
2024-02-15,7178.639253132689,6187.274509437393,8233.694383774648
2024-02-16,7337.496109991726,6308.384183961084,8443.857591916758
2024-02-17,5286.335006294254,4250.064522937463,6302.9240403026715
2024-02-18,4208.065454104437,3218.591119047961,5270.011473925539
2024-02-19,7035.375510937787,6005.018322482982,8124.03523347593
2024-02-20,7163.785216564489,6158.167756302816,8213.57080145477
2024-02-21,7078.217523028515,6122.381917135144,8083.8168480362265
2024-02-22,7208.76567582177,6185.175883012671,8229.255402546536
2024-02-23,7367.622532762414,6312.674235189922,8403.369614734871
2024-02-24,5316.461429152876,4294.011219296882,6363.63882423773
2024-02-25,4238.19187704437,3207.731398515649,5256.269869646232
2024-02-26,7065.501933883948,5944.037531208812,8044.24222917253
2024-02-27,7193.9116395080755,6231.308366664075,8291.991610260602
2024-02-28,7108.343945971787,6117.918016823509,8124.5550378715625
2024-02-29,7238.892098767485,6189.737810998027,8272.618996960487
2024-03-01,7397.7489557079225,6428.484085081175,8501.283810100302
2024-03-02,5346.587852105264,4335.238620544609,6407.711713896145
2024-03-03,4268.318299989372,3230.993014514215,5313.232282773272
2024-03-04,7095.62835682957,6039.888570002525,8099.070115235088
2024-03-05,7224.038062452967,6232.204889938735,8251.89854504772
2024-03-06,7138.4703687381725,6102.684369953876,8164.0349680475265
2024-03-07,7269.018521357786,6294.445437982647,8270.36223151525
2024-03-08,7427.875378123491,6385.597533108769,8454.911632542813
2024-03-09,5376.714274343214,4314.99673204941,6390.652083799822
2024-03-10,4298.4447220572265,3291.9960920578346,5329.216480918281
2024-03-11,7125.75477872121,6066.329471915013,8133.3482413067395
2024-03-12,7254.164484166276,6180.656895889943,8328.300375653977
2024-03-13,7168.596790453466,6133.51847750315,8124.228402891761
2024-03-14,7299.144943073225,6256.112224884967,8398.89425775525
2024-03-15,7458.001799838721,6450.162295427928,8465.295046035926
2024-03-16,5406.840696058678,4289.578876867917,6504.3527622483925
2024-03-17,4328.571143770327,3240.682940239591,5393.454032980811
2024-03-18,7155.881200428346,6130.666850950225,8099.747007706378
2024-03-19,7284.290905880238,6132.242146422419,8343.886737905552
2024-03-20,7198.723212168758,6139.902221383578,8224.22891084968
2024-03-21,7329.271364786224,6307.749555219474,8303.755229256063
2024-03-22,7487.318024515816,6455.489433698902,8526.370412306624
2024-03-23,5435.346723707486,4384.285260659894,6466.879195405227
2024-03-24,4356.266974380302,3238.5694111891657,5312.394712623428
2024-03-25,7182.766834002398,6147.8877336393,8239.717920938801
2024-03-26,7310.366342416257,6288.218402513039,8367.691129777784
2024-03-27,7223.9884516695865,6213.219888923238,8274.438577535579
2024-03-28,7353.726407255892,6336.095190985937,8357.39638409486
2024-03-29,7511.77306698573,6563.611883166047,8551.388309359889
2024-03-30,5459.801766174743,4381.987828809197,6435.194327253267
2024-03-31,4380.722016848443,3378.062738327982,5438.857288049793
2024-04-01,7207.221876469537,6204.451437724025,8288.531770674692
2024-04-02,7334.821384884648,6266.39981680544,8388.77141050618
2024-04-03,7248.443494137805,6148.36596197646,8237.571603517543
2024-04-04,7378.181449720684,6330.076116748457,8384.42821018674
2024-04-05,7536.228109450077,6532.180952681826,8471.028444545733
2024-04-06,5484.256808637224,4423.547464363063,6528.778578317379
2024-04-07,4403.877924173725,3356.9734381822577,5436.524603241927
2024-04-08,7229.078648655284,6141.581201544893,8246.04045854361
2024-04-09,7355.379021926699,6254.168283538657,8407.970901844143
2024-04-10,7267.70199603652,6278.581492024673,8301.61014827419
2024-04-11,7396.140816479302,6430.854103007709,8481.83907861727
2024-04-12,7552.888341067012,6505.926406313605,8570.529364559863
2024-04-13,5499.6179051134495,4506.766997179159,6537.849640596724
2024-04-14,4419.239020648152,3320.2849097662124,5493.759987268495
2024-04-15,7244.439745133776,6161.80880012497,8286.232293785575
2024-04-16,7370.740118403808,6272.021774925565,8376.676348596531
2024-04-17,7283.06309251496,6246.079222431104,8311.507872405975
2024-04-18,7411.501912957887,6349.710318784917,8466.146149894443
2024-04-19,7568.249437548282,6533.644782837822,8585.234234557054
2024-04-20,5514.979001589672,4486.861694905496,6589.590200896429
2024-04-21,4434.600117124399,3343.9230428974984,5452.312421055501
2024-04-22,7259.80084161227,6227.353076997921,8309.547154960137
2024-04-23,7384.62223460915,6297.10207714157,8469.358708308102
2024-04-24,7295.466228449454,6249.326212568113,8394.227478850744
2024-04-25,7422.426068616784,6390.933569763896,8432.416824010781
2024-04-26,7577.694612942199,6501.710733008662,8554.969190012875
2024-04-27,5522.94519671032,4506.860158350968,6598.348092904844
2024-04-28,4441.087331977202,3447.199201224682,5524.206667920646
2024-04-29,7264.809076185285,6169.716346952244,8362.832308925586
2024-04-30,7389.630469190434,6236.902676641597,8416.805980383846
2024-05-01,7300.474463028371,6227.120028899839,8283.691490478262
2024-05-02,7427.434303199998,6362.116283237975,8461.310832060115
2024-05-03,7582.702847517413,6452.554627904133,8624.810227105758
2024-05-04,5527.953431286349,4525.851431592932,6592.853473890781
2024-05-05,4446.095566557266,3444.5309659135187,5441.096529086988
2024-05-06,7269.8173107659695,6197.375870344109,8298.566134358973
2024-05-07,7394.638703769082,6367.054505914619,8479.726531106322
2024-05-08,7305.482697607286,6293.039988449387,8335.740654529296
2024-05-09,7431.03198585961,6385.682058804412,8503.437537193584
2024-05-10,7584.889978260531,6464.915381033558,8682.14332966999
2024-05-11,5528.730010117622,4472.774672212552,6555.86888668338
2024-05-12,4445.461593462427,3362.4618433637443,5485.323059779904
2024-05-13,7267.772785754107,6254.459760319518,8347.624726761711
2024-05-14,7391.183626836685,6328.737810613601,8441.581338685888
2024-05-15,7300.617068756843,6271.959011460225,8326.275422185467
2024-05-16,7426.166357007844,6359.829652227507,8492.24889647149
2024-05-17,7580.024349410024,6540.620075087008,8639.581075392873
2024-05-18,5523.864381262574,4507.165044349702,6573.685348056737
2024-05-19,4440.595964611413,3458.2700977217764,5531.352284486748
2024-05-20,7262.907156903714,6216.984164352841,8290.034765882372
2024-05-21,7386.317997984257,6290.064435525956,8418.558320610995
2024-05-22,7295.7514399058155,6226.839733521162,8393.253079718266
2024-05-23,7421.300728155106,6383.910549205619,8453.442902958186
2024-05-24,7575.158720554162,6536.509442576712,8544.286658010235
2024-05-25,5517.812229408318,4488.900115461307,6543.7025097796695
2024-05-26,4433.357289747364,3363.39318411782,5510.399432209951
2024-05-27,7254.481959033164,6207.248189307729,8249.413888829024
2024-05-28,7376.706277115893,6336.584210595172,8403.97588958176
2024-05-29,7284.953196035452,6279.98197886572,8306.801252526524
2024-05-30,7409.315961280903,6350.051797108231,8475.366245682164
2024-05-31,7561.987430675767,6501.897119424035,8529.645954896574
2024-06-01,5504.640939525382,4497.853727808232,6503.322766869948
2024-06-02,4420.185999868465,3413.988041670598,5568.97794530768
2024-06-03,7241.310669154883,6241.0016237623595,8353.914007101917
2024-06-04,7363.534987236882,6357.889218853157,8350.588310274508
2024-06-05,7271.781906153688,6208.653129310946,8339.801837873909
2024-06-06,7396.144671402715,6278.265119296732,8478.189649925065
2024-06-07,7548.816140800264,6529.201977598628,8588.026614935094
2024-06-08,5491.469649642447,4461.094126482941,6404.0841859304655
