ds,yhat,yhat_lower,yhat_upper
2024-01-01,12093.929549107836,10130.17855199615,14062.509518684787
2024-01-02,12693.687208980979,10705.658373440228,14626.87403604583
2024-01-03,12465.764447186308,10540.967118870756,14517.296687640543
2024-01-04,12710.060781236565,10792.921290324788,14757.897172487774
2024-01-05,13023.27221043421,11106.707094449772,15036.884656993756
2024-01-06,8074.578527142827,6128.2315277768885,10010.232560327177
2024-01-07,6523.901921882562,4607.690451110105,8616.561286821057
2024-01-08,12081.198544414035,10022.98904603335,14023.480271447432
2024-01-09,12680.956204300886,10663.15863203158,14474.268820708003
2024-01-10,12453.033442504717,10427.782894979055,14481.963386992908
2024-01-11,12697.329776556142,10765.620704180557,14797.435334153592
2024-01-12,13010.541205755826,11006.573682565884,15020.811503177176
2024-01-13,8061.847522479913,6208.227018632143,10140.176162256543
2024-01-14,6511.170917208223,4470.135048619888,8391.728069612867
2024-01-15,12068.467539738587,10001.439085614113,14072.550302107826
2024-01-16,12668.225199620796,10666.176848720292,14533.393504840766
2024-01-17,12440.302437826396,10392.547142746553,14490.770467857023
2024-01-18,12684.52451793934,10734.218017829397,14684.986535180087
2024-01-19,12997.661693198164,10974.42030554007,15070.408973665997
2024-01-20,8048.893755979295,6055.287510491942,10060.74754162469
2024-01-21,6498.14289676799,4409.7452981227925,8442.045807853192
2024-01-22,12055.365265364933,9978.90643966289,14034.525475044718
2024-01-23,12655.048671303173,10718.003723172646,14626.341137228479
2024-01-24,12427.051655570609,10604.289610137534,14375.411778938047
2024-01-25,12671.273735681429,10745.503737215256,14429.437442790797
2024-01-26,12984.410910938042,10948.911402307658,14753.761936244686
2024-01-27,8035.642973720114,6076.337341385703,10123.905176141578
2024-01-28,6484.892114516159,4525.39698223254,8514.793922976498
2024-01-29,12042.114483093645,9971.1781885232,13917.218222078558
2024-01-30,12641.797889045913,10761.113919325988,14596.323454365182
2024-01-31,12413.800873313161,10633.210917699334,14333.936460443892
2024-02-01,12658.022953425703,10709.199706060026,14599.807455717373
2024-02-02,12971.160128677924,10938.151439687943,14997.339556303104
2024-02-03,8022.392188733622,6087.435318875838,9946.720819744785
2024-02-04,6471.641326803194,4410.330189759852,8439.431677954099
2024-02-05,12028.863692669744,10158.680047074504,14021.630285888941
