ds,yhat,yhat_lower,yhat_upper
2024-01-01,1388.3363811877791,921.9013667298462,1819.6439620625583
2024-01-02,1398.6071280949643,969.8529379915071,1832.9759128077433
2024-01-03,1484.6315695501494,1028.9446423912343,1944.8577094798666
2024-01-04,1482.6969471157124,1070.242041138548,1907.5185162049643
2024-01-05,1535.502867167958,1133.924620404148,1945.1103605437793
2024-01-06,2174.081390172835,1736.6376768961925,2623.7992334755572
2024-01-07,1976.961084518027,1544.6254487809156,2423.9301265465174
2024-01-08,1416.8616871252323,993.4816406775353,1860.9818439719445
2024-01-09,1427.1324340314866,980.1050928703994,1890.3358133700897
2024-01-10,1513.1568754860796,1039.6005054384505,1973.5782645149297
2024-01-11,1511.2222530518443,1065.5647853573776,1928.4893989154352
2024-01-12,1564.0281731044447,1147.4219133920833,2004.2632248520845
2024-01-13,2202.6066961079305,1763.948744656272,2657.2339099994724
2024-01-14,2005.4863904535166,1607.3570903824111,2442.431415542962
2024-01-15,1445.3869930610826,1004.915916953181,1906.5645447825875
2024-01-16,1455.6577399680086,1020.361981885075,1878.3016478466245
2024-01-17,1541.682181422537,1122.6413909947655,1935.3780749278972
2024-01-18,1539.747558859141,1121.5053304127061,1969.6368715274634
2024-01-19,1592.5534787831573,1170.4667155767534,2017.411567555889
2024-01-20,2231.1320016576815,1825.2111063171449,2663.9954336316955
2024-01-21,2034.0116958744084,1608.0150820803458,2469.1181281912577
2024-01-22,1473.9122983524976,1036.2271459200433,1909.4383146735358
2024-01-23,1484.183045130785,1049.9210075261249,1936.956998688156
2024-01-24,1570.207486456527,1139.0411484715385,2021.7458243898704
2024-01-25,1568.272863893063,1141.5121483228463,2002.9355484682576
2024-01-26,1621.0787838176043,1205.1307989064749,2060.0790098259213
2024-01-27,2259.6573066918845,1831.8946332703592,2715.6521545562814
2024-01-28,2062.537000907688,1598.83600609702,2481.512859381657
2024-01-29,1502.4376033877409,1065.073348086025,1931.8050437709862
2024-01-30,1512.7083501646744,1064.6236881257648,1988.095589164365
2024-01-31,1598.732791490511,1179.2433340153818,2037.311799771514
2024-02-01,1596.7981689275975,1122.8004661558434,2024.3924311133487
2024-02-02,1649.604088852051,1248.6903585611317,2072.2982435196213
2024-02-03,2288.1826117043756,1823.429100075597,2720.295029642872
2024-02-04,2091.062305899498,1672.728215428977,2534.7183858572466
2024-02-05,1530.9629083556715,1144.3714562428659,1990.5609522589236
2024-02-06,1541.2336551107094,1126.2947205270734,1949.5073138692821
2024-02-07,1627.2580964141482,1163.6689773516243,2042.643676773364
2024-02-08,1625.3234738291037,1180.9508994786704,2066.1906360689795
2024-02-09,1678.1293937300127,1236.9645969862663,2093.56260674317
2024-02-10,2316.7079165844516,1882.681677720345,2738.7145821937374
2024-02-11,2119.5876107787676,1679.6580287001398,2569.686046565657
2024-02-12,1559.4882132343284,1127.225368551955,2020.8071012375124
2024-02-13,1569.7589599905364,1150.0583964101613,1988.2973250007822
2024-02-14,1655.7834012939104,1180.1439935725164,2097.718348576621
2024-02-15,1653.848778708592,1221.8659788206053,2099.1877764521287
2024-02-16,1706.6546986098044,1265.4570128296114,2140.236220615131
2024-02-17,2345.233221464169,1926.9118865064083,2808.2910118055206
2024-02-18,2148.1129156580373,1702.0141561894602,2590.065872442146
2024-02-19,1588.0135180846094,1120.4659247739726,2005.0171188078805
2024-02-20,1598.2842648106757,1167.7366090345088,2015.8537206908697
2024-02-21,1684.3087060855535,1300.6540145565798,2105.242968007061
2024-02-22,1682.3740834705368,1268.531191602111,2134.6596865602137
2024-02-23,1735.180003343071,1297.6576397933063,2164.8250983321977
2024-02-24,2373.7585261676486,1933.2604984048337,2819.4528389025545
2024-02-25,2176.63822033389,1745.1614244221005,2602.4689169125804
2024-02-26,1616.5388227581539,1167.465420098338,2033.5273952612004
2024-02-27,1626.8095694844687,1194.0221158492545,2055.5560211369207
2024-02-28,1712.834010759184,1283.869121397493,2132.270417855715
2024-02-29,1710.8993881444144,1310.694677592859,2151.0686426319244
2024-03-01,1763.7053080172514,1338.892245795132,2188.0413125472182
2024-03-02,2402.2838308404375,1962.3307616775014,2853.3784217175894
2024-03-03,2205.1635250075487,1800.7248250502687,2652.0671134038707
2024-03-04,1645.0641274321968,1189.501378393336,2102.3171876648116
2024-03-05,1655.334874159108,1206.2948831648644,2098.867484413035
2024-03-06,1741.359315336691,1310.761407760156,2192.870149497814
2024-03-07,1739.424692626515,1275.3821504384732,2213.758561208967
2024-03-08,1792.2306124032516,1335.4388012288912,2224.0179203395
2024-03-09,2430.8091351304347,1949.6668701808196,2840.3909375680805
2024-03-10,2233.6888292001468,1765.9484842928136,2682.406262270952
2024-03-11,1673.589431529039,1235.9593347471362,2081.1910655730258
2024-03-12,1683.8601781600823,1202.9474269087793,2142.0492025785143
2024-03-13,1769.8846193380236,1326.1993838601838,2204.2206908482344
2024-03-14,1767.9499966275744,1397.9037377648906,2212.73416410415
2024-03-15,1820.7559164046131,1359.3609344477927,2259.801145566132
2024-03-16,2459.334439131364,2026.3161518727654,2901.05372581367
2024-03-17,2262.2141332014626,1850.9226987746756,2717.1349683778935
2024-03-18,1702.1147355313674,1290.2999583104586,2133.478865531487
2024-03-19,1712.3854821614798,1304.477737771723,2171.71429908607
2024-03-20,1798.409923339356,1369.0089004165777,2218.304392950572
2024-03-21,1796.475300628581,1366.9952861033382,2227.9329910801202
2024-03-22,1849.2268624826393,1410.3665292588953,2285.6593118925316
2024-03-23,2487.7510272846803,2025.9415149386757,2937.144423991994
2024-03-24,2290.576363431309,1871.470574256637,2712.22645363661
2024-03-25,1730.4226078380689,1279.7167771548234,2180.9211760449975
2024-03-26,1740.638996544924,1312.2799912669943,2189.872522234576
2024-03-27,1826.609079799389,1375.1472523429695,2242.148305603684
2024-03-28,1824.6200991651501,1402.329115500493,2268.6643654483355
2024-03-29,1877.371661017629,1460.1115707131942,2314.721064600321
2024-03-30,2515.895825821068,2072.1069388343553,2967.1010966236
2024-03-31,2318.721161967131,1885.639030979094,2776.1560089850063
2024-04-01,1758.5674063747513,1339.2438256148619,2181.582761075902
2024-04-02,1768.7837950812607,1328.3745054986591,2191.9756314431556
2024-04-03,1854.753878336186,1387.1168699020357,2307.591765314101
2024-04-04,1852.7648977016152,1410.4691307597193,2303.588828785282
2024-04-05,1905.5164595546191,1482.6123400674821,2327.8975190614915
2024-04-06,2544.040624358172,2109.222598407865,2961.231008427226
2024-04-07,2345.9145412006405,1890.55709513151,2796.1071297097715
2024-04-08,1784.8093663048587,1350.1295448052613,2198.1926472657947
2024-04-09,1794.0743357097494,1355.4464347587113,2252.142041938459
2024-04-10,1879.092999661294,1447.3377875851963,2296.903274343614
2024-04-11,1876.1525997241358,1415.7288030292436,2277.8488560624537
2024-04-12,1927.9527422748763,1497.7164052582773,2389.0767546664483
2024-04-13,2565.525487775396,2110.58280927604,2963.628600026395
2024-04-14,2367.399404619135,1894.9302576409457,2798.5949296502217
2024-04-15,1806.294229722019,1342.8876308179445,2260.462960139098
2024-04-16,1815.5591991270833,1345.9020598426425,2251.0728804833684
2024-04-17,1900.5778630785626,1462.3584045853513,2339.141250671872
2024-04-18,1897.637463141131,1419.8455305558143,2310.0209954751413
