ds,yhat,yhat_lower,yhat_upper
2024-01-01,11716.659399695935,9955.524839247255,13514.203419081581
2024-01-02,12168.544759204542,10374.373544389528,14013.81274953668
2024-01-03,11798.964807061815,9877.978979483076,13510.787079465828
2024-01-04,12329.396212553573,10594.595066240601,14143.842842964674
2024-01-05,12765.007162952883,11036.699076168134,14651.030257814116
2024-01-06,9982.348107314818,8128.959135252184,11749.231323155942
2024-01-07,7861.592957402326,6168.262574087271,9667.37232096837
2024-01-08,11767.41775174501,9919.196070154307,13603.16229649779
2024-01-09,12219.303111264195,10464.065301506836,14100.016008018809
2024-01-10,11849.723159117793,10043.472185227423,13685.111850679756
2024-01-11,12380.154564611952,10463.902065273385,13964.505367039537
2024-01-12,12815.765515014078,11057.815391715281,14720.07256807101
2024-01-13,10033.10645938704,8120.923504286708,11706.364020170837
2024-01-14,7912.351309464236,6167.4583843802275,9597.806748053854
2024-01-15,11818.176103807124,10076.780156686153,13579.34586520078
2024-01-16,12270.061463323847,10432.487064115858,14094.134140196764
2024-01-17,11900.48151117935,10143.242238060802,13658.388230142433
2024-01-18,12430.912916673717,10677.678401757135,14262.34848402594
2024-01-19,12866.523867075162,11206.150082754242,14504.900524140021
2024-01-20,10083.864811444622,8186.6864711523895,11712.742736457465
2024-01-21,7963.109661522979,6159.076609266253,9731.511858377422
2024-01-22,11868.934455868959,10018.261922681299,13605.023771096443
2024-01-23,12320.81981538158,10506.641159553537,14073.745629318442
2024-01-24,11951.239863239696,10186.097494176174,13691.935489166157
2024-01-25,12481.671268731703,10716.02021783981,14280.069911904067
2024-01-26,12917.282219132554,11167.487931341073,14636.175739695122
2024-01-27,10134.62316350198,8395.822574012212,11989.950054438168
2024-01-28,8013.868013584497,6325.4951862947455,9735.640608846354
2024-01-29,11919.692807917641,10152.241662775645,13577.802386074238
2024-01-30,12371.578167439258,10569.062510644628,14199.727322911165
2024-01-31,12001.998215298076,10167.433849689813,13765.580948643119
2024-02-01,12532.429620792987,10826.742288520289,14407.376704189477
2024-02-02,12968.040571189942,11231.197423868984,14729.085899427933
2024-02-03,10185.381515686433,8447.320915222615,11905.39596194724
2024-02-04,8064.626365898581,6108.443103600389,9787.61069078997
2024-02-05,11970.451160368848,10319.296464628233,13975.378160570348
2024-02-06,12422.336520017745,10675.02701443347,14145.88192180601
2024-02-07,12052.756568005483,10186.702199301439,13810.046661651231
2024-02-08,12583.187973629814,10723.480919515301,14391.679079470145
2024-02-09,13018.798924162602,11163.66473104214,14811.669997042376
2024-02-10,10236.139868649725,8341.740409949656,11893.695269093381
2024-02-11,8115.384718867272,6328.849797460312,9877.500520235059
2024-02-12,12021.209513339154,10141.21092315932,13799.518241875136
2024-02-13,12473.094872985652,10691.588902232259,14281.1499221157
2024-02-14,12103.514920975293,10353.625610122153,13843.26328689964
2024-02-15,12633.946326599887,10774.320488101217,14460.326295825827
2024-02-16,13069.557277132051,11221.323982861035,14833.81183101288
2024-02-17,10286.898221615731,8578.563741578459,11987.220167925823
2024-02-18,8166.143071835964,6384.511033469889,10026.354595082805
2024-02-19,12071.96786664346,10303.498014996323,13874.489283920017
2024-02-20,12523.853226623893,10637.917135881147,14406.13932197147
2024-02-21,12154.273274946734,10456.260315022833,13910.04280231652
2024-02-22,12684.70468090203,10926.563175592177,14529.862169960683
2024-02-23,13120.315631764057,11272.750938403398,14993.310274603165
2024-02-24,10337.656576585,8517.639006878717,12054.330143457124
2024-02-25,8216.901427136221,6435.2477784585935,10025.02709317538
2024-02-26,12122.72622195097,10275.036951009672,13947.43164922599
2024-02-27,12574.61158192736,10886.157602800704,14320.206240263768
2024-02-28,12205.031630250081,10425.120029650774,13957.802135488824
2024-02-29,12735.463036209248,10950.381980363383,14411.930534169076
2024-03-01,13171.07398707065,11410.696665161158,14999.257028962686
2024-03-02,10388.414931902618,8576.99777400659,12132.88821681885
2024-03-03,8267.659782442057,6362.711396142431,10187.861947912303
2024-03-04,12173.484577258543,10442.696238164193,13908.524913635916
2024-03-05,12625.369937233989,10810.074363387972,14406.573054883213
2024-03-06,12255.030532069784,10510.425346810027,13847.225605629746
2024-03-07,12784.702484546084,11091.604420901353,14562.612610838045
2024-03-08,13219.553981928804,11461.967051393172,15009.917107090792
2024-03-09,10436.13547327636,8657.767023733146,12233.549005631558
2024-03-10,8314.620870340996,6718.836806714902,10118.058607237486
2024-03-11,12219.686211676013,10404.124498529045,14038.495167504881
2024-03-12,12670.812118165743,10959.628383978588,14440.740312559761
2024-03-13,12300.472713005025,10384.897645990695,14085.68697272776
2024-03-14,12830.144665481588,11126.09227032999,14618.814449773163
2024-03-15,13264.996162863683,11541.142345725892,15116.887019988006
2024-03-16,10481.577654210501,8785.91245585437,12228.314533844889
2024-03-17,8360.063051273644,6642.411931209284,10385.838038878788
2024-03-18,12265.12839259877,10340.160909461163,14120.002478277856
2024-03-19,12716.254299099077,10938.284387559044,14495.005619945896
2024-03-20,12345.914893940264,10548.655569332901,14169.933838767583
2024-03-21,12875.586846413651,11033.916715550205,14648.229202085893
2024-03-22,13308.45467378678,11516.139653836372,15086.760696243273
2024-03-23,10523.052495136964,8860.476142616266,12186.249321063542
2024-03-24,8399.554222184139,6625.376204577995,10298.974258580043
2024-03-25,12302.635893501103,10459.751715713752,14195.873268956104
2024-03-26,12751.778129988998,10952.569806921998,14530.17168749226
2024-03-27,12379.455054822518,10634.218461046608,14225.35354765778
2024-03-28,12907.143337294034,11025.703822790312,14646.76052663201
2024-03-29,13340.0111646663,11572.066165613212,15053.002008605461
2024-03-30,10554.608986012545,8709.240627321655,12302.475552198986
2024-03-31,8431.110713061164,6463.922056045127,10335.675104258724
2024-04-01,12334.192384378393,10505.182260641146,14104.45588390833
2024-04-02,12783.33462086793,10987.555216734572,14671.83856745618
2024-04-03,12411.01154570116,10556.805814113966,14177.840820387604
2024-04-04,12938.699828167528,11057.584518720956,14757.860841346635
2024-04-05,13371.567655539198,11616.741637497886,15091.025109057884
2024-04-06,10586.1654768827,8826.919268021153,12407.838041751984
2024-04-07,8460.340247574968,6647.77535675831,10431.548544359526
2024-04-08,12361.094962532059,10496.735507893898,14175.31888066799
2024-04-09,12807.91024265744,11087.125847460662,14760.678670679017
2024-04-10,12433.260211125245,10716.890732864162,14197.008527974976
2024-04-11,12958.621537232259,11085.372908712607,14741.580729626938
2024-04-12,13389.16240824158,11749.422165289037,15183.556271006324
2024-04-13,10601.433273223294,8679.051304648106,12189.597567279385
2024-04-14,8475.608043914146,6722.767729409753,10162.520332841234
2024-04-15,12376.36275887708,10679.641156297024,14295.583254827632
2024-04-16,12823.178038999939,11177.976807877947,14748.04177238338
2024-04-17,12448.528007469647,10628.33911727786,14258.450591854253
2024-04-18,12973.889333576926,11273.053173415414,14735.27362649588
2024-04-19,13404.43020458883,11640.22618730754,15131.698919651184
2024-04-20,10616.701069563891,8832.879774617286,12390.697228169756
2024-04-21,8490.87584025596,6628.885450994279,10276.034163801653
2024-04-22,12391.630555222102,10554.899100818728,14164.445316249286
2024-04-23,12836.465516072327,11089.335652411412,14577.10300825496
2024-04-24,12459.83516527421,10741.380905722366,14125.008604753964
2024-04-25,12983.21617210554,11172.412601846017,14705.556688727605
2024-04-26,13411.776723858768,11652.29834521262,15145.827691634116
2024-04-27,10622.067269561858,8815.38789737167,12286.874057416877
2024-04-28,8494.26172098956,6840.516097753644,10318.115083518329
2024-04-29,12393.03611667428,10510.518964424195,14294.295966888849
2024-04-30,12837.871077537728,11114.68236625609,14601.271711812202
2024-05-01,12461.240726736143,10720.242975657622,14303.99384043671
2024-05-02,12984.621733573971,11273.496074025823,14856.217796912018
2024-05-03,13413.182285316298,11520.23363696086,15142.484671574137
2024-05-04,10623.472831020063,8946.082407999134,12555.512207954767
2024-05-05,8495.667282453162,6667.130958893831,10289.003291881696
2024-05-06,12394.441678139621,10679.205761705123,14165.265769066322
2024-05-07,12839.276638998963,11062.745874362536,14604.963470648632
2024-05-08,12462.646288198077,10611.333251293274,14188.520768899954
2024-05-09,12984.955937455432,11146.94700559093,14794.118321277821
2024-05-10,13412.4451316205,11746.42310073883,15235.831397408894
2024-05-11,10621.66431975521,8786.077778684197,12305.50058238478
2024-05-12,8492.787413596448,6583.255909405077,10229.991038766806
2024-05-13,12390.490451704442,10536.212378050408,14172.297549280644
2024-05-14,12834.254054982883,10941.379430802033,14598.414629026554
2024-05-15,12456.552346602239,10742.807845739633,14225.562165705584
2024-05-16,12978.861995856272,11096.329943789344,14748.186209872661
2024-05-17,13406.351190024303,11701.615234207555,15077.712234640456
2024-05-18,10615.570378152855,8944.620678842672,12450.745816946584
2024-05-19,8486.693471999493,6801.505459034233,10282.433899522026
2024-05-20,12384.396510109222,10605.912044301253,14047.353478586645
2024-05-21,12828.160113383561,10972.535833074044,14630.290977246897
2024-05-22,12450.458405005586,10533.372504507595,14252.309734651333
2024-05-23,12972.768054257256,11140.108221842384,14757.15960319952
2024-05-24,13400.257248421272,11588.442798694774,15121.679257580054
2024-05-25,10609.476405643529,8904.982235372767,12330.907367233001
2024-05-26,8480.599468572173,6644.338918984363,10315.553948911082
2024-05-27,12378.302475763721,10608.991462000224,14094.327726137892
2024-05-28,12822.06604813466,11003.419535726178,14557.36134708132
2024-05-29,12444.364308847777,10650.025147750895,14309.075048123033
2024-05-30,12966.673927187318,11187.629340407131,14637.185225632906
2024-05-31,13394.163090438315,11586.789048879897,15105.532262810175
2024-06-01,10603.382247654414,8985.50533347245,12306.877432703524
2024-06-02,8474.505310588458,6596.289358380317,10220.965208509479
2024-06-03,12372.208317781742,10555.02313986118,14135.334118816883
2024-06-04,12815.971890151739,10940.947303154731,14708.080727673972
2024-06-05,12438.2701508596,10689.189947025241,14267.890241295187
2024-06-06,12960.579769204985,11084.182738035912,14699.390775981965
2024-06-07,13388.068932458566,11670.735016396367,15238.417245481625
2024-06-08,10597.288089665299,8869.833086692157,12317.020158108444
2024-06-09,8468.411152606212,6598.883897908841,10261.922225672923
2024-06-10,12366.114159106095,10681.520878343277,14070.908725924239
2024-06-11,12809.877730778437,11039.735555901096,14501.908976955656
2024-06-12,12432.175990795358,10577.066434281043,14228.65662134104
2024-06-13,12954.485608448216,11127.045142637271,14600.753960832555
2024-06-14,13381.974771007563,11615.918339534644,15133.450451753646
2024-06-15,10591.193927519951,8960.682552892986,12324.366593593555
2024-06-16,8462.316989765763,6790.424562727543,10284.923543306642
2024-06-17,12360.019996268791,10578.781870189832,14230.6330540192
2024-06-18,12803.783567941255,11174.30468192575,14661.092266693691
2024-06-19,12426.08182795471,10538.097585774027,14296.177037429488
2024-06-20,12948.391445607178,11113.61989694766,14558.214803540186
2024-06-21,13375.880608165926,11568.072995321128,15089.56002084047
2024-06-22,10585.099764675573,8836.772714794326,12428.00596423133
2024-06-23,8456.222826922678,6647.36031833914,10252.12589887995
2024-06-24,12353.925833431489,10471.278948550169,14080.432479427172
2024-06-25,12797.689405099907,10992.565853155675,14615.515949102552
2024-06-26,12419.987664446136,10654.964313635968,14091.436026204028
2024-06-27,12942.2972814316,11102.940554989093,14702.697460339881
2024-06-28,13369.78644331215,11724.036116833553,15302.698679799205
2024-06-29,10579.005599168238,8783.639030778379,12481.433583597858
2024-06-30,8450.128660730135,6575.284242880803,10311.543098366705
2024-07-01,12347.831666569971,10513.325441676037,14136.270051292267
2024-07-02,12791.595237565154,11022.723224728945,14682.662282335454
2024-07-03,12413.893496913288,10505.361209239985,14087.827356341522
2024-07-04,12936.203113888538,11134.835341675758,14676.12682695064
2024-07-05,13363.692275775524,11623.687433961783,15118.048243450952
2024-07-06,10572.91143162887,8826.400958079104,12317.094422248701
2024-07-07,8444.034493197638,6608.589754722415,10265.339448535457
2024-07-08,12341.737499037617,10635.401135443532,14176.99638555049
2024-07-09,12785.501070034563,10964.772106114946,14422.890386920946
2024-07-10,12407.799329374859,10663.210514503467,14204.884173638215
2024-07-11,12930.108946355953,11216.894666103257,14814.181026599259
2024-07-12,13357.598108148788,11720.525254277327,15293.36543805622
2024-07-13,10566.817263905165,8840.887557642225,12451.208184780402
2024-07-14,8437.940325384563,6784.2088392303685,10225.7134908756
2024-07-15,12335.643331118243,10662.384869696147,14236.228880774299
2024-07-16,12779.40690203218,11027.107049392798,14638.470772928125
2024-07-17,12401.705161280857,10507.909278984293,14200.634043983517
2024-07-18,12924.014778165247,11160.730736505715,14649.297971598513
2024-07-19,13351.50393995407,11677.010340074099,15149.970354302737
2024-07-20,10560.7230957283,8772.76396577548,12425.041298220505
2024-07-21,8431.846157194448,6604.629841620851,10311.890145107607
2024-07-22,12329.549162931273,10355.48813602736,14152.934977289038
2024-07-23,12773.312733841165,11033.534045107457,14501.67378809569
2024-07-24,12395.61099309054,10623.8416397152,13993.416377289443
2024-07-25,12917.92060997454,11157.890752727924,14709.560173150245
2024-07-26,13345.409771772804,11702.93868286905,15042.39074327902
2024-07-27,10554.628927536967,8815.469238481519,12364.486912576289
2024-07-28,8425.75198900727,6556.000824509717,10199.93165925809
2024-07-29,12323.454995317172,10529.102792623169,14095.644678285842
2024-07-30,12767.218566797348,11013.628327198392,14563.165003077316
2024-07-31,12389.516826620616,10564.881809610606,14252.518407003687
2024-08-01,12911.82644408195,11120.412562237585,14794.224524584351
2024-08-02,13339.31560644212,11544.98708615946,15042.24768730073
2024-08-03,10548.534762779764,8777.046981988085,12272.430778181722
2024-08-04,8419.65782482828,6522.285388025948,10207.814717203031
2024-08-05,12317.360831139917,10387.276820670546,14212.277235537695
2024-08-06,12761.124402615986,10844.646955534554,14658.7807698495
2024-08-07,12383.422662439953,10619.696014432193,14248.626373292991
2024-08-08,12905.732279900898,11212.558930213354,14673.519691510737
2024-08-09,13333.221442263886,11698.32561263542,15148.715943053165
2024-08-10,10542.440598598085,8713.61951516757,12255.32702110857
2024-08-11,8413.56366064371,6626.290992027292,10128.080762261028
2024-08-12,12311.266666949436,10417.658476944243,13998.658833035386
2024-08-13,12755.030238437788,10975.929229031224,14472.765727923657
2024-08-14,12377.32849897968,10673.377796736886,14250.585477685678
2024-08-15,12899.638117158487,10969.30894104057,14659.496239768756
2024-08-16,13327.12728024166,11574.076349913712,15126.741491636178
2024-08-17,10536.346437284092,8689.118320929381,12320.068730957018
2024-08-18,8407.469500052717,6682.309414391804,10151.120905619635
2024-08-19,12305.172507077721,10368.070259968657,14056.433635823272
2024-08-20,12748.936079279627,10824.537456834405,14438.56591899289
2024-08-21,12371.234339822216,10598.690777096723,14256.215914030188
2024-08-22,12893.543957997044,10964.948177007627,14613.99541738376
2024-08-23,13321.033121083208,11649.125220887428,15252.982674111592
2024-08-24,10530.25227812832,8711.074393808562,12323.674189257474
2024-08-25,8401.375340898392,6680.030009669699,10301.98533532498
2024-08-26,12299.078347923663,10591.463743927543,13977.757799714405
2024-08-27,12742.841920125627,11109.219157229563,14643.868849761458
2024-08-28,12365.140180667539,10587.245972327712,14077.909910354068
2024-08-29,12887.449798842632,11124.788607534092,14687.356306337208
2024-08-30,13314.939180762709,11577.277581031687,15076.69793946944
2024-08-31,10524.158556643035,8702.574484538,12295.517357598432
2024-09-01,8395.281838256462,6674.766789513499,10199.854613611637
2024-09-02,12292.985064121423,10418.93513591877,13900.706724356322
