ds,yhat,yhat_lower,yhat_upper
2024-01-01,35080.99068002286,28728.063020301015,41520.93456943905
2024-01-02,36603.02938685141,29991.960344335854,43049.73083753728
2024-01-03,36753.18348524611,30558.572320613563,42885.35574647826
2024-01-04,36706.63255481216,30208.265409366177,43075.72701118757
2024-01-05,36942.813719459344,30852.390025199416,43020.38405462881
2024-01-06,25621.22726399641,19763.27368842223,31782.99296816473
2024-01-07,19368.20289011484,13413.54115031808,25818.206750620673
2024-01-08,35153.683396141496,28954.059362866534,41690.89003563098
2024-01-09,36675.72210301042,29787.47275915615,42916.0516118379
2024-01-10,36825.87620139217,30847.92368796046,43546.82569483204
2024-01-11,36779.325270964015,30872.80994997588,43176.276775177656
2024-01-12,37015.50643562472,30756.00158475691,43151.362672916024
2024-01-13,25693.91998019976,18812.558743619476,31575.11524202767
2024-01-14,19440.89560628619,13085.50687977914,25873.595128670087
2024-01-15,35226.37611231073,28737.96310123798,41565.0065863691
2024-01-16,36748.414819169426,30316.10253721529,42794.52110938716
2024-01-17,36898.56891755786,30194.07465075555,44047.96109338963
2024-01-18,36852.017986915955,31177.84364356592,42692.66305760657
2024-01-19,37088.19915136249,30739.159049056245,43429.80820516937
2024-01-20,25766.612695711716,19091.693653393435,32150.32689529824
2024-01-21,19513.588321583917,13205.2150412684,25612.4434099486
2024-01-22,35299.06882741093,28556.81868336498,42044.72153896339
2024-01-23,36821.10753404182,30564.226667863157,43242.222997993515
2024-01-24,36971.261632224,30475.256236318615,43457.74532053841
2024-01-25,36924.71070157116,31010.88152680305,43179.852165236385
2024-01-26,37160.89186601597,30388.696875913003,42872.59828681377
2024-01-27,25839.305410368437,19935.852997847185,32074.47323843755
2024-01-28,19586.281036258617,13152.101463809155,26179.876140539414
2024-01-29,35371.76154203292,29261.370668230735,41014.28328574841
2024-01-30,36893.8002487004,30448.543328955093,43355.57441807996
2024-01-31,37043.95434688322,30462.08681686709,43122.00555587015
2024-02-01,36997.403416250294,30351.06898984033,43315.845374606535
2024-02-02,37233.58458066946,31356.731987484553,43264.5740833686
2024-02-03,25911.998125718244,19617.730691485744,32383.324557752825
2024-02-04,19658.973752310492,12920.701951089666,25989.21992728892
2024-02-05,35444.4542588224,28700.99318307573,42010.21224174125
2024-02-06,36966.4929661893,30961.084485821375,43171.57712425596
2024-02-07,37116.64706507562,30392.036256090858,43532.09401957233
2024-02-08,37070.0961351453,30475.61270538945,43290.19045162953
2024-02-09,37306.27730030108,31287.919431386475,43491.60125331675
2024-02-10,25984.690845307836,19966.458151402607,32442.78641560921
2024-02-11,19731.66647192242,13468.039551297448,25960.229093954244
2024-02-12,35517.14697844442,29237.777848056354,41827.27142065565
2024-02-13,37039.18568579808,30692.88163178823,43370.52996269173
2024-02-14,37189.33978469108,30842.077720833826,43354.71310961919
2024-02-15,37142.78885476084,30373.29452877576,43378.98829865699
2024-02-16,37378.97001991624,30530.68349582827,43980.32011402718
2024-02-17,26057.383564910993,19646.864068778334,32480.62599854069
2024-02-18,19804.359191534357,13352.181011057775,25943.0092318784
2024-02-19,35589.839695595496,29090.54648927856,41622.41395999808
2024-02-20,37111.87840048368,30579.374356477598,42680.774866012056
2024-02-21,37262.03249691173,31062.527770418466,43503.46586515307
2024-02-22,37215.48156450271,31049.306877316354,43428.505976125685
2024-02-23,37451.66272717621,31547.24303314246,43676.46265069485
2024-02-24,26130.076269724505,19912.157756827357,32138.724336921383
2024-02-25,19877.05189386481,13328.959211282105,26109.194740387647
2024-02-26,35662.53239795992,29464.880874306244,41895.07361426249
2024-02-27,37184.57110283411,31113.32310046832,43279.80630633431
2024-02-28,37334.725199259905,31096.150474520244,43366.56780622086
2024-02-29,37288.17426686366,30754.113134482093,43531.93308927855
2024-03-01,37524.355429536794,31741.815382950837,43567.16854381489
2024-03-02,26202.768972123056,20062.138317019122,32603.2718914367
2024-03-03,19949.74459622216,13409.46782921192,25977.935504142526
2024-03-04,35735.225100321346,29206.49297866219,42047.031177799196
2024-03-05,37257.263805192095,31178.87545439992,43555.02695086579
2024-03-06,37407.41790043758,30661.540127255746,44055.014262629964
2024-03-07,37360.86696687968,31608.063014616146,43939.16199225033
2024-03-08,37597.04812839138,31270.625149997468,43582.596835879755
2024-03-09,26275.461669803746,19941.855951776863,32451.738397894846
2024-03-10,20022.437292770803,13834.738492004339,26433.44073594348
2024-03-11,35807.917795704285,28981.78909998392,42028.92475787749
2024-03-12,37329.95649939745,31157.881792165415,44102.26561064518
2024-03-13,37480.1105946534,31061.094765664562,43448.568053324074
2024-03-14,37433.55966109557,31069.3941898734,43369.29036124016
2024-03-15,37669.740822606895,31705.844818512047,44217.50682716644
2024-03-16,26348.154364020815,20012.411472333584,32505.62992307497
2024-03-17,20095.129986973894,14445.006826749484,25998.1140834741
2024-03-18,35880.61048987306,29737.52739644925,42162.95968053193
2024-03-19,37402.6491936066,31154.301069215533,44097.16050765845
2024-03-20,37552.80328886921,31566.505507580343,44101.786436872375
2024-03-21,37506.25235529755,31000.694732499633,44190.50365191643
2024-03-22,37738.20570328366,30666.801994952402,44946.989674698176
