ds,yhat,yhat_lower,yhat_upper
2024-01-01,15943.91881701664,13559.80452659736,18331.257074555935
2024-01-02,16497.368776134634,13959.929410413903,18931.939678823663
2024-01-03,16286.838427592238,13807.295247323718,18899.48961873388
2024-01-04,16548.929525519692,13843.860476360676,19243.142906843637
2024-01-05,17296.161362469997,14790.026152195771,19673.160834669387
2024-01-06,13115.072499205136,10458.059947829637,15641.386064565733
2024-01-07,9221.679298408173,6594.289934177861,11705.63381318747
2024-01-08,16003.670995777538,13411.608433838017,18547.781311614315
2024-01-09,16557.120954913662,14036.432067188258,19350.207045604362
2024-01-10,16346.590606363221,13674.00317147233,18915.928089601686
2024-01-11,16608.681704294842,13911.113171826533,19062.521151008572
2024-01-12,17355.913541252732,14842.304783001198,19956.662569606033
2024-01-13,13174.824678004436,10639.887207882839,15720.844523914184
2024-01-14,9281.43147719115,6703.700489109407,11793.64879823318
2024-01-15,16063.423174560437,13355.131610513949,18674.396472140503
2024-01-16,16616.873133692687,13880.261051196167,19071.55761740914
2024-01-17,16406.342785145796,13875.027806153586,18832.02033111852
2024-01-18,16668.433883289606,14110.405863411079,19215.56082912618
2024-01-19,17415.665720460136,14595.469476476253,19832.471731272348
2024-01-20,13234.576857417442,10723.041265973963,15947.455241185095
2024-01-21,9341.1836568168,6728.834003254231,11939.854935647414
2024-01-22,16123.175354405013,13384.442685778751,18746.134275940443
2024-01-23,16676.62531374256,14275.003033001925,19130.81063025611
2024-01-24,16466.094965413253,14116.339565977318,19153.76121920176
2024-01-25,16728.186063551097,14068.54255299136,19367.741481692206
2024-01-26,17475.417900721888,14759.45350476204,20041.54724407067
2024-01-27,13294.329037679783,10557.245130216746,15778.371085427412
2024-01-28,9400.93583708612,6924.037672626767,11886.119553818826
2024-01-29,16182.927534652252,13533.03827973267,18963.748364848638
2024-01-30,16736.377494004766,14178.890028067775,19348.954609895714
2024-01-31,16525.84714567637,13984.19883506042,19312.286784176024
2024-02-01,16787.938243824035,14342.956492240657,19491.61541703476
2024-02-02,17535.17008098364,14866.935886214256,20285.71596603021
2024-02-03,13354.081213968,10636.363340360043,15983.085676820847
2024-02-04,9460.688009407317,6814.523973982468,12177.743924047412
