ds,yhat,yhat_lower,yhat_upper
2024-01-01,3828.1503926507157,1003.3144238310874,6542.350056023
2024-01-02,4083.570001085376,1456.0804327195476,6692.640212025407
2024-01-03,4218.83813714403,1497.9853668199314,6925.738470116945
2024-01-04,5462.09089141607,2852.6323457641274,7983.036754140003
2024-01-05,6086.298508176587,3404.6510033431214,8731.670697236314
2024-01-06,5836.7220268117935,3096.4151786307243,8552.50432068794
2024-01-07,3913.1245723854754,1290.6627223344017,6677.565409721556
2024-01-08,3860.289027539908,1281.76778728586,6297.282690969445
2024-01-09,4115.708635976371,1468.883561736601,6688.854612351375
2024-01-10,4250.976772032964,1593.9910551336943,6535.737126569002
2024-01-11,5494.229526306695,2916.7040622625436,8375.203331040097
2024-01-12,6118.437143067529,3577.891422081617,8747.373312127478
2024-01-13,5868.860661707234,3244.939471289757,8456.75192041994
2024-01-14,3945.263207274289,1397.4882727375975,6610.378682172271
2024-01-15,3892.427662430199,1186.326195343327,6408.260878606355
2024-01-16,4147.847270867367,1765.5308029996702,6808.393331154119
2024-01-17,4283.115406924902,1475.878417340295,6789.2970849074845
2024-01-18,5526.3681604074845,2854.8491712594546,8123.573498560702
2024-01-19,6150.575776376744,3360.484131576481,8591.839055790786
2024-01-20,5900.9992942238605,3095.5285266780793,8588.486054956807
2024-01-21,3977.401839001784,1270.2552035533113,6583.40981268813
2024-01-22,3924.5662933661697,1141.7178680380637,6588.636458627081
2024-01-23,4179.985901011498,1567.0811119559096,6792.671687817178
2024-01-24,4315.254036277419,1682.6641106206494,7010.151852121586
2024-01-25,5558.506789762064,2879.006588827601,8215.503298566136
2024-01-26,6182.714405731292,3410.246785148631,9004.223658851555
2024-01-27,5933.13792357703,2950.490348091227,8606.15916393124
2024-01-28,4009.5404683545503,1426.8788590940615,6451.20018762151
2024-01-29,3956.7049227193147,1230.5652708338287,6511.352217606949
2024-01-30,4212.124530364765,1437.8605815403746,6650.213914899625
2024-01-31,4347.392665631809,1605.6924209384129,6896.60942650984
2024-02-01,5590.645419114322,3167.424684893674,8425.402404834356
2024-02-02,6214.853035085839,3459.638614007907,8952.079542703877
2024-02-03,5965.27655296094,3248.5368075403135,8829.607762246094
2024-02-04,4041.6790977734677,1358.236231752981,6790.463850033008
2024-02-05,3988.843552166102,1367.302681580932,6663.244907388457
2024-02-06,4244.263159841069,1516.3431158473875,6759.796059516715
2024-02-07,4379.531295137893,1744.0655089651186,7214.8296732640465
2024-02-08,5622.784048650935,3004.361900120053,8206.263219782963
2024-02-09,6246.991664651464,3568.9530590671693,9062.874409503333
2024-02-10,5997.415182526883,3261.159198522078,8638.439575978684
2024-02-11,4073.817727339676,1379.254724178338,6687.010624225968
2024-02-12,4020.9821817311918,1252.1497297460937,6829.369272450833
2024-02-13,4276.40178940839,1641.4127604095706,7028.1218179674825
2024-02-14,4411.669924706158,1579.5830658801005,6841.687385116477
2024-02-15,5654.9226782189135,2868.5045310352825,8357.611534655542
2024-02-16,6279.130294218731,3674.406507957779,8852.237811950823
2024-02-17,6029.553812092426,3350.7984741290834,8858.737768580837
2024-02-18,4105.956356905883,1652.8739066117898,6682.281796932339
2024-02-19,4052.4714391549114,1401.351831367442,6658.882866720374
2024-02-20,4307.241674685907,1572.608497632707,7057.498017693804
2024-02-21,4441.8604378411555,1848.5294104733528,7175.074025589771
2024-02-22,5684.463819208176,2869.8759738928584,8325.841426451889
