ds,yhat,yhat_lower,yhat_upper
2024-01-01,15648.150215146383,8976.067289009243,22389.884521516135
2024-01-02,19439.014525766168,12872.100506807248,26035.263973277237
2024-01-03,20809.955565382897,13454.994688365216,27105.370349650853
2024-01-04,20149.99225485798,13445.39423501244,26965.375536070074
2024-01-05,22723.321388223667,16292.62130689953,29298.584832456596
2024-01-06,24097.635546816717,17508.33058666735,30770.998776072658
2024-01-07,17773.976488917728,11022.52501874348,24763.184027792988
2024-01-08,15708.775999515967,9082.473863177864,21980.40328980536
2024-01-09,19499.64031014572,12879.48550227467,26239.38125405906
2024-01-10,20870.581349755663,13844.068855049596,26794.770250529848
2024-01-11,20210.61803923347,13389.185787794899,26512.022652122592
2024-01-12,22783.947172603206,16201.638288119704,29357.805822131213
2024-01-13,24158.261331203445,17528.150902089437,30258.94433356673
2024-01-14,17834.602273288565,11673.160792561344,24443.923491198537
2024-01-15,15769.401783893052,9027.651997168085,22523.71741906737
2024-01-16,19560.266094525272,13055.474695183193,26467.669763710608
2024-01-17,20931.207134132466,14018.44942210395,27096.229397061237
2024-01-18,20271.243823324752,13594.315524144975,26624.456556962872
2024-01-19,22844.57295641113,16397.295520414256,29308.92736279051
2024-01-20,24218.88711471975,17971.101745402713,31348.732888509367
2024-01-21,17895.228056518034,11430.858053329033,24503.01320441158
2024-01-22,15830.027566841101,9445.3409297544,23198.478015784487
2024-01-23,19620.89187718795,13142.571989972099,26667.43771208143
2024-01-24,20991.83291651129,14475.59202064711,27276.575598406504
2024-01-25,20331.869605699594,13814.879489544122,27072.463483510943
2024-01-26,22905.198738789157,16161.282873172897,29170.43236062261
2024-01-27,24279.512897092834,17160.03169494892,30600.099947790535
2024-01-28,17955.853838888223,11283.29795358179,24709.250931798662
2024-01-29,15890.653349210039,9484.783533530492,22640.019951713683
2024-01-30,19681.517659564823,12865.45016382037,26374.50678296887
2024-01-31,21052.45869888543,14566.553191124274,27544.368519846303
2024-02-01,20392.49538807578,14003.930734060561,27049.173990588657
2024-02-02,22965.824521167182,16762.39436122547,29783.61720235529
2024-02-03,24340.138679563788,17658.154081983615,31198.55904785214
2024-02-04,18016.479621480037,11577.869335007847,24899.983236553107
2024-02-05,15951.279131881634,9238.579588980774,22019.308425232335
2024-02-06,19742.143442335077,12757.01480845579,25997.554675627856
2024-02-07,21113.08448174876,14607.459965868802,27927.46645654583
2024-02-08,20453.121171037637,13694.656852401264,27174.58625786409
2024-02-09,23026.4503042148,16186.352818535488,29701.428915456963
2024-02-10,24400.76446262176,17662.31918414039,31351.565970509506
2024-02-11,18077.10540453601,11555.252509153232,24404.95236856597
2024-02-12,16011.904914941282,9212.389777889286,22550.19121303533
2024-02-13,19802.769225398835,13056.360719218592,26272.08756129077
2024-02-14,21173.71026480977,14324.60277913278,27813.296230417156
2024-02-15,20513.746954098937,13871.659157566653,27350.232825481926
2024-02-16,23087.076087278547,16504.228823781727,29751.4680611257
2024-02-17,24461.390245679697,17832.543411434683,31424.246450941835
2024-02-18,18137.731187591984,11459.668566163318,24533.26096080758
2024-02-19,16072.530698032255,9878.853594920756,22396.597460978624
