ds,yhat,yhat_lower,yhat_upper
2024-01-01,24901.11877754824,19301.104760414004,30259.51919886206
2024-01-02,26817.97243489576,21692.289874686554,31840.908384491435
2024-01-03,26602.975605690448,21904.10393034737,31891.114588457676
2024-01-04,27207.123893683885,21786.502735024467,32082.360058303464
2024-01-05,27601.928871147997,22116.91959943003,32689.974263395623
2024-01-06,21167.599936283066,16433.0375137756,25828.304387733308
2024-01-07,15194.4676386312,9969.134636412206,20432.308910567193
2024-01-08,25166.776998141242,20204.514330365586,30477.59273041709
2024-01-09,27083.630655518147,21911.909471216095,32638.857067877438
2024-01-10,26868.633826300676,21700.47516631287,32152.61897025154
2024-01-11,27472.78211430025,22415.543430701415,32805.55885388538
2024-01-12,27867.587091773836,22844.912738263185,33020.619120696865
2024-01-13,21433.25815693567,16437.278522532186,26824.644165953006
2024-01-14,15460.125859257536,10175.552621774023,20670.42936503886
2024-01-15,25432.43521876883,20494.279165622876,30533.698746048347
2024-01-16,27349.28887614053,22482.138536903687,32478.516703942354
2024-01-17,27134.292046927552,22159.288882268655,32393.61617968369
2024-01-18,27738.440334038623,22773.685269874895,32937.37384249702
2024-01-19,28133.24531062394,22645.6688459538,33086.09568373162
2024-01-20,21698.916374888686,16639.510784318612,26963.492000669667
2024-01-21,15725.784076325439,10361.514280461204,20908.94045517646
2024-01-22,25698.093434957078,20441.808160617846,30756.58115915176
2024-01-23,27614.947091430586,22459.123095525505,33061.33013824141
2024-01-24,27399.95026133692,22082.479966491617,32654.910909753427
2024-01-25,28004.098548439928,22918.106766822515,33565.03530163863
2024-01-26,28398.90352502525,23403.634275898425,33434.27396302405
2024-01-27,21964.574589290234,16827.829465456598,26942.57421770154
2024-01-28,15991.442290736706,10513.607528450664,21351.16963436004
2024-01-29,25963.75164933502,20564.724426605677,31136.399342400255
2024-01-30,27880.60530583278,22568.685518390506,33728.812857077115
2024-01-31,27665.608475740402,22586.130986893768,32742.390216163134
2024-02-01,28269.756762857196,23477.007035692535,33524.725793813755
2024-02-02,28664.56173942655,23096.192798757853,34206.93075496639
2024-02-03,22230.23280371099,17204.13196834321,27503.270880287415
2024-02-04,16257.100505185554,11269.262466510429,21697.655180135916
2024-02-05,26229.409863827637,20894.94080126094,31508.535098157543
2024-02-06,28146.263520345685,23271.84116589446,33018.053072768525
2024-02-07,27931.266690275872,22792.73979068186,33400.61592431783
2024-02-08,28535.41497741688,23295.37322036593,33491.25769612046
2024-02-09,28930.21995402909,23697.378029558273,33931.8909767927
2024-02-10,22495.891018290138,17426.07255532244,27119.155320783473
2024-02-11,16522.758719778125,11315.066950159673,21859.61784420822
2024-02-12,26495.06807842403,21357.026542576405,31494.215184947592
2024-02-13,28411.921734937783,23189.902747920736,33646.07293213141
2024-02-14,28196.92490487246,22878.343407907818,33202.00326678385
2024-02-15,28801.073192012835,23326.18904061391,33547.78544908897
2024-02-16,29195.87816862464,23797.72785141876,34167.97993223668
2024-02-17,22761.54923287647,17632.932677206518,28104.60742400461
2024-02-18,16788.41693437069,12108.149624880756,21950.75532450882
2024-02-19,26760.726292616637,21662.52510328024,32045.181790799397
2024-02-20,28677.579948720304,23383.09311269257,33983.34049190046
2024-02-21,28462.58311825223,23481.640311513413,33396.22563345368
2024-02-22,29066.731404976486,23722.85353602506,34300.34648934982
2024-02-23,29461.53638117323,24160.310583914114,34470.2334154794
2024-02-24,23027.20744502916,17910.60530523965,28239.793995716213
2024-02-25,17054.075146112278,12122.81177039819,22249.422966681217
2024-02-26,27026.384504374688,21965.814100941934,32266.416532300394
2024-02-27,28943.23816046803,23688.23782240677,33853.820683936836
2024-02-28,28728.241329998815,23786.983123901442,33937.487193631685
2024-02-29,29332.389616733195,24199.221388247348,34730.20795312089
2024-03-01,29727.194592929536,24518.49595063374,34756.05399168743
2024-03-02,23292.865656812228,17949.758030950845,28511.50468552252
2024-03-03,17319.733357865596,11927.169706495768,22737.382673142085
2024-03-04,27292.042716133652,21680.706945957732,32335.042602261943
2024-03-05,29208.89637222601,23794.91287226063,34478.12894798376
2024-03-06,28993.898676490797,23721.011530662054,33921.75915474963
2024-03-07,29598.046097978833,24616.125310101717,34970.78355111927
2024-03-08,29992.85020893024,24737.267397099935,35453.2939366136
2024-03-09,23558.520407557273,18212.637654696882,28591.81497217834
2024-03-10,17585.387243378835,12518.778243884532,22562.021490998915
2024-03-11,27557.69573639943,22556.019729507196,32760.79030996616
2024-03-12,29474.54852723275,24435.162842601592,34764.01609781354
2024-03-13,29259.55083150715,24431.09073531652,34858.47263909372
2024-03-14,29863.69825299455,24727.38666273328,35224.03006700017
2024-03-15,30258.50236394556,24853.382902335103,35609.93150625913
2024-03-16,23824.172562570555,18507.486521979317,29059.910977312564
2024-03-17,17851.039398387686,12839.98372904608,23559.396702348848
2024-03-18,27823.347891381916,22339.87108120007,32918.48777414388
2024-03-19,29740.20068224461,24798.845574329156,34912.61103875202
