ds,yhat,yhat_lower,yhat_upper
2024-01-01,5479.507480779549,4220.348842936246,6722.874201528778
2024-01-02,5833.252845479245,4666.834489263327,7000.73187107778
2024-01-03,5752.541365972256,4526.582913018091,6953.803475945687
2024-01-04,5869.611474989085,4535.20197203069,7091.607134209526
2024-01-05,6109.538933811359,4874.278937636956,7328.070932260881
2024-01-06,4366.151684143531,3127.7682567980783,5479.533338985619
2024-01-07,3588.300973164393,2258.820306090272,4719.431284979097
2024-01-08,5510.333419552973,4315.154683820393,6727.599456689207
2024-01-09,5864.0787842579275,4524.85230445038,7088.06323910199
2024-01-10,5783.367304750246,4498.844242784279,7016.574959929117
2024-01-11,5900.437413767633,4622.402682514085,7230.109807927168
2024-01-12,6140.364872590633,4877.959153967894,7405.279874553259
2024-01-13,4396.977622928752,3112.508556093754,5603.1734121429145
2024-01-14,3619.126911944826,2389.7463675656363,4902.937152348733
2024-01-15,5541.159358333266,4337.512420302446,6884.6576451758465
2024-01-16,5894.9047230366095,4649.434365955408,7163.978037365038
2024-01-17,5814.193243529465,4574.207644440473,7117.2090916462075
2024-01-18,5931.263351848148,4732.913719364217,7227.356820616626
2024-01-19,6171.190809971522,4890.606834672268,7343.788062674375
2024-01-20,4427.803559609071,3172.560542193797,5708.147032381265
2024-01-21,3649.9528479260434,2320.4864321276473,4869.782187633093
2024-01-22,5571.985293617598,4383.943317639816,6823.5431036900545
2024-01-23,5925.73065762019,4798.616899326684,7219.530671064493
2024-01-24,5845.019177414495,4605.334614675707,7029.8803250484025
2024-01-25,5962.089285732349,4741.568430715337,7239.070074127673
2024-01-26,6202.016743854975,4949.35600158758,7355.854735934457
2024-01-27,4458.62949349262,3239.1910449091392,5643.185238243459
2024-01-28,3680.778781812131,2422.9989923605795,4999.5810691775
2024-01-29,5602.811227496674,4316.728117822528,6852.1198601336955
2024-01-30,5956.556591504577,4746.288930462756,7176.890003460488
2024-01-31,5875.845111298754,4676.774301919314,7170.244295468413
2024-02-01,5992.9152196169525,4772.96784344937,7179.740869011499
2024-02-02,6232.842677738428,5000.676838301862,7445.067802099363
2024-02-03,4489.455426999741,3239.828470143124,5707.653418413954
2024-02-04,3711.6047149438086,2487.405290011117,4951.310872821768
2024-02-05,5633.6371602571235,4487.3963196185,6892.5317037033055
2024-02-06,5987.382523889193,4738.88262402009,7312.384351481745
2024-02-07,5906.671043308361,4696.854994423049,7160.439536985012
2024-02-08,6023.741151251573,4824.07933001646,7280.877050465121
2024-02-09,6263.668609001498,4959.406603855433,7490.187690148914
2024-02-10,4520.281358257282,3274.578416134723,5745.101160778786
2024-02-11,3742.430646204161,2513.6235140186513,5089.274654523498
2024-02-12,5664.463091519266,4417.043647837033,6850.9101515993425
2024-02-13,6018.208455149019,4703.113218541364,7232.190331166049
2024-02-14,5937.496974568721,4615.973563791241,7209.980189812034
2024-02-15,6054.5670825124225,4736.097394988372,7302.809039027646
2024-02-16,6294.494540261914,5049.903738020375,7517.387341303285
2024-02-17,4551.107289516319,3295.2259139635985,5744.775589185974
2024-02-18,3773.2565774645136,2535.4407820089777,4950.893200462605
2024-02-19,5695.289021409267,4402.452862423067,6894.416275101011
2024-02-20,6049.034383668437,4732.891115363247,7258.668184361369
2024-02-21,5968.322901716902,4760.180694232414,7209.422323792235
2024-02-22,6085.393008289203,4859.455491302256,7337.268982216959
2024-02-23,6325.320464665746,5101.2818184610605,7552.471652246144
2024-02-24,4581.933212550994,3295.6344408379427,5760.053789448303
2024-02-25,3804.082499126449,2624.1580593532753,5079.818643479792
2024-02-26,5726.11494307561,4556.2179228749455,6878.769999845392
2024-02-27,6079.860305333223,4858.818771071297,7357.3413714714825
2024-02-28,5999.148823381716,4739.111749298038,7297.943671067079
2024-02-29,6116.218929954961,4832.803812331405,7446.877888276147
2024-03-01,6356.14638633107,5100.313417744199,7574.537759382513
2024-03-02,4612.759134222266,3372.4277454220523,5928.160948426464
2024-03-03,3834.908420791709,2641.4266782457753,5044.165010513643
2024-03-04,5756.940864741247,4476.000217902608,7105.31272659367
2024-03-05,6110.686226997904,4922.893869341116,7366.372633223915
2024-03-06,6029.616988230018,4834.075016346022,7310.723611327862
2024-03-07,6146.32933798617,4916.180047672424,7314.796221497205
2024-03-08,6385.89903754771,5171.941922031866,7569.771109100118
2024-03-09,4642.154028621767,3444.8471599773775,5879.183757374037
2024-03-10,3863.9455583795097,2631.4920276148778,5106.370183778306
2024-03-11,5785.620245513169,4485.745941522758,7100.698464360459
2024-03-12,6139.007850952531,4903.9758309501285,7420.2592604293795
2024-03-13,6057.93861218513,4914.229964140066,7222.420340096192
2024-03-14,6174.650961941768,4878.316211097964,7305.131611710102
2024-03-15,6414.220661502877,5135.424976866556,7593.884317511929
2024-03-16,4670.475652577052,3470.194310856693,5905.8275982838295
2024-03-17,3892.2671823333885,2686.4922845667497,5081.103824699916
