ds,yhat,yhat_lower,yhat_upper
2024-01-01,32916.977558273495,27333.238423093033,38536.92192692755
2024-01-02,34712.500152245564,29046.308782511718,40081.0076165995
2024-01-03,33925.05028338774,28612.871711125765,39605.29830902784
2024-01-04,34601.47836957882,29239.67728392267,40310.39805781827
2024-01-05,36527.31937591081,30949.197266099683,42228.36067618219
2024-01-06,28835.914632657514,23500.70798655064,34462.92972446353
2024-01-07,20804.671764369145,15264.506173472493,26388.132504492438
2024-01-08,32893.09817037427,27417.492596970846,38312.6314986188
2024-01-09,34688.62076438153,29401.374783161595,40530.08815019975
2024-01-10,33901.170895508876,28356.824090189722,39471.63807492641
2024-01-11,34577.59898170834,28830.50311755036,39948.34538683834
2024-01-12,36503.43998805304,31047.33262460294,41898.07118951479
2024-01-13,28812.035244832638,23231.613596218063,34123.11681932897
2024-01-14,20780.792376510864,15858.459263127288,26459.12267745336
2024-01-15,32869.218782517324,27061.56937835321,38640.57943107357
2024-01-16,34664.7413765175,28717.392658682184,40350.45155836606
2024-01-17,33877.29150765058,28258.644589532167,39663.07047313877
2024-01-18,34553.71961183299,28544.651797028808,40166.58683852105
2024-01-19,36479.5606361603,31062.453213007717,42466.65295488708
2024-01-20,28788.15591090958,23109.789797211004,34994.596859872225
2024-01-21,20756.913060572137,15032.137820869999,26029.55062658433
2024-01-22,32845.33948457295,27294.258975054498,38893.67136029824
2024-01-23,34640.862096542645,29047.348136067758,40498.457467078086
2024-01-24,33853.41224566894,28438.599076026516,39623.47801682523
2024-01-25,34529.84034984011,28889.49803898974,40352.23754104949
2024-01-26,36455.68137416768,30947.00812387845,42022.486852593145
2024-01-27,28764.276648916573,22928.55306504674,33981.22620520082
2024-01-28,20733.033798591467,14873.893788782743,26537.69628014556
2024-01-29,32821.46022255134,27110.694679392862,38233.67907677487
2024-01-30,34616.98283455031,28836.752409023662,40298.964840716144
2024-01-31,33829.53298367797,28058.445116039107,39256.80090375863
2024-02-01,34505.96108786415,28511.55195995229,39609.0889655264
2024-02-02,36431.802112175064,30882.678718127212,41812.86437351993
2024-02-03,28740.3973862792,22889.361527421737,34197.47308422992
2024-02-04,20709.154535324316,15119.332359732374,26479.580743438833
2024-02-05,32797.580958668725,26849.185430027217,38421.17493758711
2024-02-06,34593.103570025705,29158.721525177327,40159.76117415304
2024-02-07,33805.65371851427,28178.176128565297,39405.1995495022
2024-02-08,34482.081822064,28836.494436147834,40336.84544725064
2024-02-09,36407.922845756315,30526.593872420715,42260.208931170455
2024-02-10,28716.518119834545,23416.07306642512,34316.84877317687
