ds,yhat,yhat_lower,yhat_upper
2024-01-01,85635.76376417253,72774.91577191939,98624.97385010487
2024-01-02,91136.67071320374,77926.45524162415,105649.38728980628
2024-01-03,91421.20432472235,78607.74263947821,105321.85595709656
2024-01-04,95269.99478296748,81851.17421255568,110039.39030202052
2024-01-05,105582.08738304225,91277.28163311913,119213.33669836186
2024-01-06,97283.77379164452,83535.47944240435,110668.00100006303
2024-01-07,69741.58616463131,56181.94147537269,82974.1972788801
2024-01-08,85935.50773757331,73490.98263872779,100547.26720860052
2024-01-09,91436.41468667204,77644.19543344165,105063.78760720836
2024-01-10,91720.94829814744,78432.30982019982,105084.92695921668
2024-01-11,95569.73875641746,82519.55711991816,108987.02178526329
2024-01-12,105881.83135652634,92451.32310329343,118488.94236231838
2024-01-13,97583.51776519476,84181.03935880745,111724.03192406069
2024-01-14,70041.33013809213,57273.149351737586,84109.1490452549
2024-01-15,86235.25171104685,71485.88958639593,99745.68267375801
2024-01-16,91736.15866014037,77424.79671605112,104271.97706327059
2024-01-17,92020.69227162738,78713.79504219713,105860.57492089675
2024-01-18,95869.48271956475,83130.07109222717,110230.39536550312
2024-01-19,106181.57530934553,92672.16039178167,119088.53235722163
2024-01-20,97883.26170764487,84296.3871965694,111039.52546216051
2024-01-21,70341.07407021266,56448.21375095661,83756.04185900665
2024-01-22,86534.99563285815,73494.88309245366,99494.0881696611
2024-01-23,92035.9025715943,77931.32311539602,104857.33081597286
2024-01-24,92320.43617277143,78701.1009911798,105623.62482135037
2024-01-25,96169.2266206876,83281.89504473604,109361.32864205055
2024-01-26,106481.31921047629,93871.32981080948,119093.39074707654
2024-01-27,98183.00560876518,85689.66133784868,111654.71190194596
2024-01-28,70640.81797134635,57037.018523240375,83500.63824691754
2024-01-29,86834.73953393174,73644.6958637256,100273.19387040318
2024-01-30,92335.6464727158,78531.81549941006,105990.01978169511
2024-01-31,92620.18007389679,79510.79622479067,105948.40283590929
2024-02-01,96468.97052184008,83315.6798662032,110159.54559168984
2024-02-02,106781.06311160704,92419.53479393403,119050.91149214786
