ds,yhat,yhat_lower,yhat_upper
2024-01-01,16402.194610014783,13849.055303231175,18937.227351746507
2024-01-02,16789.625783422645,14271.159231575026,19419.41555716087
2024-01-03,16468.40074902798,13756.140594114902,19025.64901864404
2024-01-04,17036.88776886436,14479.754987838507,19660.254537335903
2024-01-05,17756.10271155111,15172.116879162397,20447.154322062208
2024-01-06,12186.472091406575,9649.418471130006,14787.9455466868
2024-01-07,9619.50713567153,7037.207576456329,12295.657995933112
2024-01-08,16456.160356646797,13808.780031163058,19320.111573780912
2024-01-09,16843.591530071204,14321.326927490312,19611.941634928076
2024-01-10,16522.36649567296,13691.033764812059,18966.13967130421
2024-01-11,17090.85351551179,14471.24962054421,19653.005648820894
2024-01-12,17810.068458202597,15290.906229113321,20485.216029655792
2024-01-13,12240.437838076592,9533.852092681915,14881.312461805548
2024-01-14,9673.472882326498,7231.894743539048,12085.071760231649
2024-01-15,16510.126103300598,13961.89121984279,19113.308028296855
2024-01-16,16897.557276719763,14305.69310505475,19532.91051148034
2024-01-17,16576.33224232449,13987.337532714942,18984.308557496708
2024-01-18,17144.819261340515,14577.466244009816,19737.83289215593
2024-01-19,17864.034203206338,15211.123730650836,20145.950888734973
2024-01-20,12294.403582251383,9672.882349981921,14997.014615234979
2024-01-21,9727.438625677507,7173.739564718339,12498.678733802717
2024-01-22,16564.09184583503,14125.909026545249,19180.753574734466
2024-01-23,16951.523018424345,14218.544336120904,19424.851332394614
2024-01-24,16630.29798320785,14067.183841917244,19241.708593416228
2024-01-25,17198.78500222084,14640.614641664652,19894.58705366652
2024-01-26,17917.99994408469,15379.81631556393,20453.768558280048
2024-01-27,12348.369323130686,9664.660529828378,15033.65194901656
2024-01-28,9781.404366565359,7113.778921059284,12164.609452402197
2024-01-29,16618.057586699935,14046.906566910428,19268.898620458443
2024-01-30,17005.488759305044,14179.594475674601,19362.04588695883
2024-01-31,16684.263724088996,14170.57236424407,19368.443307148867
2024-02-01,17252.75074310553,14588.158684120515,19895.257629386982
2024-02-02,17971.96568496305,15221.754127020211,20555.350474845214
2024-02-03,12402.335061973343,9542.455289038506,14857.352593009255
2024-02-04,9835.370103374442,7248.723973584561,12318.884611031872
2024-02-05,16672.023321491826,14003.135349630727,19319.666520364004
2024-02-06,17059.454492062683,14596.599143187685,19494.416386742607
2024-02-07,16738.229454815373,14313.399707892613,19307.98738309751
2024-02-08,17306.716471800133,14659.766651993521,19808.008790601103
2024-02-09,18025.931411638863,15477.318870000783,20638.444517727195
2024-02-10,12456.30078863028,9808.722255084815,14972.217024983063
2024-02-11,9889.335830041395,7275.488543976254,12540.631963615437
2024-02-12,16725.989048163778,14283.760061527828,19255.277449445606
2024-02-13,17113.42021872746,14562.568308819933,19657.78557041774
2024-02-14,16792.19518148312,14081.709768605091,19160.819897365593
2024-02-15,17360.68219846895,14820.969904902824,19942.43161220693
2024-02-16,18079.89713830657,15477.081460190124,20677.927025818928
2024-02-17,12510.266515292911,10027.894866489152,14896.251635159684
2024-02-18,9943.301556708342,7394.88140628152,12636.911567313187
2024-02-19,16779.954434622356,14091.834084520777,19417.18217777274
2024-02-20,17167.385264978806,14524.541768977278,19673.826998884513
2024-02-21,16846.159887522357,14243.841933441658,19466.657128544273
2024-02-22,17414.646564294588,14660.837962629294,19839.277642560923
2024-02-23,18133.861163914713,15595.134912885602,20765.41524438092
2024-02-24,12564.230200698523,10077.178749782686,15146.962131343698
2024-02-25,9997.264901896138,7312.354438221542,12445.986553908799
2024-02-26,16833.91777982585,14253.671133212796,19428.25232922248
2024-02-27,17221.34861017632,14627.333754520316,19845.499875034224
2024-02-28,16900.12323271925,14326.08396752402,19439.69516038624
2024-02-29,17468.60990949688,14836.565475778772,20199.2706834121
2024-03-01,18187.824509115897,15708.135606729402,21037.478430537136
2024-03-02,12618.193545918235,9853.435259903212,15191.185193973832
2024-03-03,10051.228247096567,7641.880773644601,12803.306478776114
2024-03-04,16887.881125027405,14152.722486536617,19527.011921718393
2024-03-05,17275.31195537532,14668.085841811888,19784.07944635623
2024-03-06,16952.903870866314,14376.965318404033,19394.19103699772
2024-03-07,17520.207840592837,14975.227440337747,20165.46363948908
2024-03-08,18238.23973316823,15792.949696810048,20980.26701808298
2024-03-09,12667.426062918214,10203.531047558234,15186.953477430316
2024-03-10,10099.27805706318,7436.654976398274,12853.935609526237
2024-03-11,16934.748227945245,14224.440943141775,19463.82019004326
2024-03-12,17320.996351239563,14862.072121587715,19867.797882615017
2024-03-13,16998.588266734274,14483.997123433266,19754.486272379796
2024-03-14,17565.892236461863,14975.177913279786,20428.996193108287
2024-03-15,18283.924129036146,15627.239718459614,21019.29655496807
2024-03-16,12713.110458786747,10084.145461212935,15396.140679276541
2024-03-17,10144.96245292611,7476.275704759375,12685.685287835271
2024-03-18,16980.43262379369,14187.618135444358,19605.635815995705
2024-03-19,17366.680747104554,14918.622009195697,20137.04369525983
2024-03-20,17044.272662602234,14561.774702084387,19710.366923259382
2024-03-21,17611.576632325727,15094.860053890297,20266.297495300296
2024-03-22,18327.494901379116,15644.777628705331,20921.166700163903
2024-03-23,12754.56760762965,10161.526950028434,15311.811383824399
2024-03-24,10184.30597824073,7589.679958422259,12792.510694030594
2024-03-25,17017.66252558822,14256.94624332162,19735.440972277363
2024-03-26,17401.797025374173,14927.202377045465,19752.89280655494
2024-03-27,17077.27531735337,14535.587449482806,19860.93070273204
2024-03-28,17642.46566356744,15050.38523284511,20196.74278717583
2024-03-29,18358.383932622673,15926.972982654192,20883.081499962027
2024-03-30,12785.456638865713,10202.26957139262,15578.985108400087
2024-03-31,10215.195009479656,7552.420241631196,12649.900204475782
2024-04-01,17048.55155682404,14480.642358961855,19560.119277513477
2024-04-02,17432.686056613013,14857.15163307814,20288.615307801076
2024-04-03,17108.164348591075,14544.0739379719,19934.15294044918
2024-04-04,17673.354694798836,15373.193209226783,20326.732094281448
2024-04-05,18389.272963852098,15941.035860453487,20843.56611802786
2024-04-06,12816.345670090392,10293.944334929718,15515.355946456248
2024-04-07,10243.708290780285,7742.338105866236,12800.86411753175
2024-04-08,17074.689088195606,14440.455081691442,19590.447990739554
2024-04-09,17456.44783804334,14970.879727851336,20078.43969552128
2024-04-10,17129.550380083754,14584.73145821952,19556.021093967232
2024-04-11,17692.36497635991,15202.624979414206,20273.139811085934
2024-04-12,18405.90749547714,15735.857906470503,20887.90480385453
2024-04-13,12830.604451782321,10273.445355521793,15591.863042817815
2024-04-14,10257.967072468131,7594.7731683033835,12922.173950057242
2024-04-15,17088.94786989298,14456.861193694527,19588.425932979688
2024-04-16,17470.70661973741,14910.35444830023,20106.75666552796
2024-04-17,17143.809161780802,14622.410473455015,19855.00663696823
2024-04-18,17706.623758058016,15115.176186301933,20412.181708095337
2024-04-19,18420.166277182252,15743.487557207683,21021.666070444197
2024-04-20,12844.863233474245,10141.094017873122,15540.845878325295
2024-04-21,10272.22585416014,7621.927892347555,12950.261363778956
2024-04-22,17103.206651590357,14566.956410645062,19699.49172608667
2024-04-23,17482.745721429346,14920.063473829867,19968.80365125175
2024-04-24,17153.62858347178,14687.465441449775,20004.69383334196
