ds,yhat,yhat_lower,yhat_upper
2024-01-01,7892.016365720836,6527.059976071865,9307.458122211534
2024-01-02,8153.4919006406135,6788.8784448156985,9553.019896613843
2024-01-03,8064.55892024104,6740.816426484777,9429.89143070676
2024-01-04,8175.454450626711,6655.8605181050025,9528.3106473667
2024-01-05,8482.392984973954,7050.303882730436,9818.134594704401
2024-01-06,5040.959683485495,3639.497121367875,6415.73477406232
2024-01-07,4237.808087348869,2827.6529733974808,5661.338636989494
2024-01-08,7915.483917388876,6482.271931717456,9317.862417419996
2024-01-09,8176.959452317173,6677.98223612725,9614.669695140616
2024-01-10,8088.026471917306,6645.898226388107,9489.949586760555
2024-01-11,8198.922002303394,6852.311947638419,9611.879287721047
2024-01-12,8505.860536651833,7064.996357229143,9913.639125023308
2024-01-13,5064.427235173507,3735.8593706040197,6502.949696092925
2024-01-14,4261.275639029885,2877.1643598124638,5722.0231521023825
2024-01-15,7938.951469068775,6595.054169737665,9250.931384595779
2024-01-16,8200.427003993733,6651.02421870752,9635.935704117657
2024-01-17,8111.4940235949925,6640.664256366236,9557.987255021812
2024-01-18,8222.389423364488,6767.229266123582,9619.422711364312
2024-01-19,8529.327827094545,7171.637600781909,10073.751805617669
2024-01-20,5087.894394996564,3623.1417087974482,6418.489826488632
2024-01-21,4284.742668234797,2858.376843308959,5616.906983601117
2024-01-22,7962.418367660763,6457.816896590046,9425.537466663876
2024-01-23,8223.893771965511,6758.457530785905,9571.081379240746
2024-01-24,8134.960660949733,6678.2031039394615,9629.885240184789
2024-01-25,8245.856060718093,6848.331513313854,9672.567426927286
2024-01-26,8552.79446444646,7114.701104669399,9997.150430857737
2024-01-27,5111.36103234929,3684.277843038633,6514.221267430152
2024-01-28,4308.209305592736,2822.6836494199706,5680.810152828357
2024-01-29,7985.885005005726,6542.908135229147,9416.21558825266
2024-01-30,8247.360409319712,6848.460967979533,9559.389859032768
2024-01-31,8158.4272983036335,6768.5477322021015,9635.246709562061
2024-02-01,8269.322698072552,6938.017228658749,9752.101951959685
2024-02-02,8576.261101798378,7270.711200055084,10090.717848418351
2024-02-03,5134.827669697946,3638.196662676725,6552.739049478989
2024-02-04,4331.675942937816,2896.109016642558,5708.542860767705
2024-02-05,8009.351642357942,6587.527091644204,9422.8923403571
2024-02-06,8270.827046669714,6912.23911118262,9715.742583973888
2024-02-07,8181.893935653187,6772.921919573236,9707.092459889069
2024-02-08,8292.789335420941,6895.599275184248,9738.200587732415
2024-02-09,8599.727739153248,7143.38699428138,9984.3470436233
2024-02-10,5158.294307041381,3709.726993165263,6537.904239130047
2024-02-11,4355.142580286782,2968.4927467376287,5726.50319154025
2024-02-12,8032.818279710676,6583.1928250898145,9414.982801064521
2024-02-13,8294.293684017111,6883.535213389144,9567.864056125574
2024-02-14,8205.36057300171,6822.983079173586,9618.422251975806
2024-02-15,8316.255972770454,6915.093457370974,9772.142077273047
2024-02-16,8623.19437650196,7148.984343907469,10036.826814495775
2024-02-17,5181.760944388019,3669.564680540869,6614.876444324496
2024-02-18,4378.609217635745,2963.541770979703,5740.096217789172
2024-02-19,8056.284600986288,6671.945222978078,9531.415397130751
2024-02-20,8317.759689221391,6960.575933753922,9741.977961649776
2024-02-21,8228.826262130862,6839.5077132622455,9684.62900556227
2024-02-22,8339.721345825477,7025.046715430802,9748.7612896017
2024-02-23,8646.659433479286,7243.887001594692,10010.188328628221
2024-02-24,5205.225685295916,3767.9902896200147,6578.86854657422
2024-02-25,4402.073642464611,2902.6094440381485,5816.900630395469
2024-02-26,8079.749025825158,6627.284836028542,9548.300499179148
2024-02-27,8341.224114057637,7002.316922055662,9754.994077201367
2024-02-28,8252.290686966939,6825.3765223198125,9756.2853099516
2024-02-29,8363.185770663125,7062.008576319852,9747.41816951803
2024-03-01,8670.123858316134,7267.068338878691,10218.051997511346
2024-03-02,5228.690110142901,3827.564771413264,6661.739542101972
2024-03-03,4425.538067301712,3101.7144469980235,5868.486708194909
2024-03-04,8103.21345066203,6620.9075759323005,9454.59234945307
2024-03-05,8364.688538892451,6921.784521768707,9800.692164850678
2024-03-06,8275.348425626478,6950.021068690929,9775.717674323547
2024-03-07,8385.836823144244,6887.732680818675,9748.071853153606
2024-03-08,8692.368224623006,7299.284274961707,9997.104371901867
2024-03-09,5250.527790271683,3867.5266054692393,6727.843791508851
