ds,yhat,yhat_lower,yhat_upper
2024-01-01,34514.36375366889,29157.621295896042,39848.622831035485
2024-01-02,35749.35287703826,30582.210464637148,41315.208515666236
2024-01-03,36085.52203872181,30308.196546349598,41545.31061984128
2024-01-04,36264.35289151778,30655.21343590821,41594.93924784902
2024-01-05,37614.4580848738,32134.324687642562,43305.23632895297
2024-01-06,28122.966548896835,22442.469572967642,33214.10107287495
2024-01-07,21863.80534492463,16330.605254363429,27232.380749973538
2024-01-08,34579.92988017704,28647.067052967835,40245.94989249945
2024-01-09,35814.919003579795,29984.714242089172,41397.74591532367
2024-01-10,36151.088165252586,30862.6541339781,41809.272964470845
2024-01-11,36329.919018053726,30871.882915559978,41782.08349339091
2024-01-12,37680.02421142169,32439.328944214278,43450.954396626235
2024-01-13,28188.532675477905,22796.162760702744,33457.18868344533
2024-01-14,21929.371471476305,16476.638895060434,27411.108392463033
2024-01-15,34645.49600672722,29051.72668826246,39973.26951213126
2024-01-16,35880.48513012133,30092.74144532784,41084.60307728143
2024-01-17,36216.654291799714,30872.499377506203,41098.52152084599
2024-01-18,36395.48514390285,30842.61098058731,41518.57839525187
2024-01-19,37745.590336572066,32120.12916517572,42990.03430296095
2024-01-20,28254.098799918123,23157.020666116732,34121.903693430126
2024-01-21,21994.937595216055,16475.16036445784,27414.360158203195
2024-01-22,34711.06212978362,29030.546686281024,40161.096325686696
2024-01-23,35946.05125246753,30356.207957667895,41420.4969511552
2024-01-24,36282.22041345299,31097.198048483562,41743.7609083082
2024-01-25,36461.05126554751,30272.77601631968,41582.29497499687
2024-01-26,37811.15645821534,32870.835725380966,43468.37924753332
2024-01-27,28319.66492156332,22747.29661695991,33980.92413414325
2024-01-28,22060.50371687644,16286.02896896659,27432.032395108
2024-01-29,34776.62825140048,28926.02596713189,40681.74831738482
2024-01-30,36011.617374114976,30902.9907837139,41029.701540052556
2024-01-31,36347.78653510065,30574.879996197757,41694.25246166045
2024-02-01,36526.61738720961,30839.782120968925,41720.88723355605
2024-02-02,37876.722579858615,33028.20846291689,42919.00576930803
2024-02-03,28385.231042090883,23090.347402951833,33555.00035871365
2024-02-04,22126.069836299,17089.88613552506,27987.04126661471
2024-02-05,34842.194369739576,28958.84670127694,40287.322924168424
2024-02-06,36077.18349134303,30731.83547465857,41251.4002796744
2024-02-07,36413.352651220564,30932.59514098753,41621.74938605222
2024-02-08,36592.18350222097,31481.630276541964,41900.56320752452
2024-02-09,37942.288693786366,32784.177520453515,43272.499417934756
2024-02-10,28450.79715598515,22858.387423814416,33651.368397725324
2024-02-11,22191.635950212105,16760.308139947483,27881.505243895364
2024-02-12,34907.760483662765,29165.851669480657,40284.670698353
2024-02-13,36142.74960525442,31009.73532335748,41777.62931034647
2024-02-14,36478.91876513756,30803.944376482792,42497.82603107339
2024-02-15,36657.74961613873,31021.748228848333,42148.3069638932
2024-02-16,38007.85480770413,32523.910675688698,43600.724201191624
2024-02-17,28516.36326989151,22942.492409260172,34292.14884795025
2024-02-18,22257.202064125202,16848.588700223732,28124.6061906581
2024-02-19,34973.326595469276,29202.01257956131,40383.4599021359
2024-02-20,36208.31571495019,30555.82229217037,41628.79380499324
2024-02-21,36544.48487272338,30919.5802922745,42262.29929422692
2024-02-22,36723.31572160297,31139.876441097942,42353.301565234084
2024-02-23,38073.42091104327,32157.903627125914,43762.90261385726
2024-02-24,28581.929371135517,22871.767418723513,33890.68512807278
2024-02-25,22322.768163247274,16886.134342273377,27657.961502586357
2024-02-26,35038.89269461658,29504.56931598022,40510.38580207025
2024-02-27,36273.88181408605,30590.019693875143,41578.30072930448
2024-02-28,36610.05097185689,30798.672124543533,42056.75230082918
2024-02-29,36788.881820747985,31826.21505158463,42600.992420612194
2024-03-01,38138.987010188284,32713.739788098155,43574.86221304205
2024-03-02,28647.495470313715,23127.23387322114,34527.95746565288
2024-03-03,22388.334262387627,17003.493859215796,27829.86560557506
2024-03-04,35104.45879376075,29732.792955124263,40473.109084504365
2024-03-05,36339.44791322751,31027.239026583193,41750.039268264554
2024-03-06,36675.60908950223,31047.921053077636,42427.951728410444
2024-03-07,36854.43195690949,31538.38140209493,42332.147976671804
2024-03-08,38204.52916487226,32268.318144415916,43343.676179590526
2024-03-09,28713.02964350496,23690.9726420758,34101.93796560333
2024-03-10,22453.860454123576,16916.112517609658,27881.1818294519
2024-03-11,35169.97700401263,30089.43293580504,40630.771682590836
2024-03-12,36404.95814198538,30687.644012343626,42111.47222654014
2024-03-13,36741.11931826849,31356.521369988543,42006.5580958061
2024-03-14,36919.94218567651,31376.270408129374,42470.11929512599
2024-03-15,38270.0393936393,33041.22295239069,43958.70997360414
2024-03-16,28778.539872272675,23185.004972952265,34168.18099788127
2024-03-17,22519.370682877496,16928.135784251685,27808.209244762464
2024-03-18,35235.48723273992,30155.129906996848,40948.20392353314
2024-03-19,36470.46837074606,31471.69418957899,42355.11613994968
2024-03-20,36806.62954703475,31477.974088523766,42434.87780236304
2024-03-21,36985.452414431595,31579.87428845614,42732.973639327996
2024-03-22,38331.44987307687,33235.05506037518,43879.6897187341
2024-03-23,28835.85060242852,23550.63096376501,34389.976349718025
2024-03-24,22572.5816636999,17037.45068524341,27881.59829670297
2024-03-25,35284.59846424469,30288.025658413742,41112.729203342606
2024-03-26,36515.47985292326,31147.834536955328,41887.55060509783
2024-03-27,36847.54127989603,31013.669992998883,41959.19520600838
2024-03-28,37022.264397997606,31228.191470891685,42539.12732783904
2024-03-29,38368.26185664094,32826.21049850997,43699.47921162608
2024-03-30,28872.66258598329,23517.209471298494,34369.86894605605
2024-03-31,22609.393647257762,17497.6406268804,27975.077967494497
2024-04-01,35321.41044779792,29538.10042788902,40461.77607915665
2024-04-02,36552.291836478915,31033.725763403872,42107.72422637575
2024-04-03,36884.35326345496,31054.638100332177,42239.3788036227
2024-04-04,37059.07638153974,31493.88695881254,42374.58691726463
2024-04-05,38405.07384018169,32777.61110489572,44018.21077733106
2024-04-06,28909.474569513884,23417.18509722237,34210.25863517134
2024-04-07,22641.547669064155,17255.199066404348,27996.501350916107
2024-04-08,35348.90650787136,29548.060567910892,40764.64709442454
2024-04-09,36575.12993479756,31066.001939798745,42145.6999027839
2024-04-10,36902.53340001981,31833.46402990642,42600.77188172145
2024-04-11,37072.598556366735,31869.115031829893,42575.413935522294
2024-04-12,38413.93805326428,32943.14265433836,43686.66069662911
2024-04-13,28913.680820855363,23526.873119803655,34003.851279012095
2024-04-14,22645.753920402552,17626.095070781917,28570.722518588605
2024-04-15,35353.1127592234,29873.1989551722,40712.48642964111
2024-04-16,36579.33618614409,31060.295609134784,41737.83103855314
2024-04-17,36906.739651371936,31427.357968805056,42272.537683371214
2024-04-18,37076.804807719614,31851.473204166618,42194.53696262034
2024-04-19,38418.144304627145,32784.66773875795,43622.71499022601
2024-04-20,28917.88707219685,23675.733409480446,34743.31037187413
2024-04-21,22649.960171742325,17117.21485235774,28178.844183012123
2024-04-22,35357.31901057543,30191.37473751935,41079.63300454471
2024-04-23,36581.36762991332,30546.39218511238,41817.95153300277
2024-04-24,36906.59628756688,31142.379099235604,42207.95632976592
2024-04-25,37074.486636318696,31741.03557950164,42869.54112873419
2024-04-26,38413.65132568203,33189.357592755085,44112.57033270402
2024-04-27,28911.21928566582,23330.7045200664,34899.94572894592
2024-04-28,22641.11757765198,16744.001172584194,28467.50389161773
2024-04-29,35346.301608870206,30016.80443691854,40985.416312402784
2024-04-30,36570.35022824347,30954.942180683865,41773.31242286492
2024-05-01,36895.57888588931,31492.871065358373,42536.810825727036
2024-05-02,37063.46923466199,31500.15277608198,42655.22287215413
2024-05-03,38402.633923986745,32615.89317155936,43775.38534552893
2024-05-04,28900.201883973707,23467.548363912876,34259.18981041466
2024-05-05,22630.10017597869,17134.264220573652,28312.3832587258
2024-05-06,35335.284207200726,29921.252614935216,40721.40148053956
2024-05-07,36559.3328265657,31220.881846782926,41833.416360991236
2024-05-08,36884.56148421175,31498.65778113984,42295.6842416446
2024-05-09,37052.42885289784,31993.38032130683,42754.592728310396
2024-05-10,38391.57056215097,33163.93154801711,43907.44598060463
2024-05-11,28889.11554208753,23488.330161215552,34209.270176482605
2024-05-12,22618.990853971092,17508.407482111426,28047.215175057154
2024-05-13,35324.151905119645,29545.121411511336,40781.77082959414
2024-05-14,36548.177544392056,30512.315639501234,42228.55697462675
2024-05-15,36873.383221957316,31546.148864737977,42443.74783084187
2024-05-16,37041.250590637756,31712.053712437133,42415.18408570748
2024-05-17,38380.392299897314,32652.85628258476,43895.56877804669
2024-05-18,28877.93727981038,23410.771770144984,34339.64013096826
2024-05-19,22607.81259171277,17374.146374130607,27918.228482241808
2024-05-20,35312.97364286512,30080.18376301818,41044.65984722
2024-05-21,36536.99928212925,30781.258487035782,42166.33638600858
2024-05-22,36862.204959700335,31388.538021459033,42101.121110089225
2024-05-23,37030.07232837215,31603.39589403478,42783.40333224532
2024-05-24,38369.214037617,33057.097020200476,43964.71529227556
2024-05-25,28866.75901239575,23492.66960457425,34528.47194481855
2024-05-26,22596.63431911287,17298.755134472292,28399.72159439501
2024-05-27,35301.79536508678,30053.221373001812,40619.24163050944
2024-05-28,36525.82099921983,30627.22170297442,41925.74725302697
