ds,yhat,yhat_lower,yhat_upper
2024-01-01,49141.77461723959,38763.835006967114,59397.940230954955
2024-01-02,51112.87453747941,40739.35402809033,61342.775916467304
2024-01-03,50466.05319230755,39404.0802095355,61064.631885577706
2024-01-04,52061.81016595902,41489.5535517827,60807.965075283406
2024-01-05,52019.62558477168,42619.265867532544,61459.20857139525
2024-01-06,39549.48894847099,30558.226968666575,49541.94510890776
2024-01-07,30924.109605676284,21135.9347204061,41393.30029112236
2024-01-08,49547.20265381444,38113.18201770715,59545.192215138646
2024-01-09,51518.30257410316,41766.93081955163,61899.32356355501
2024-01-10,50871.48122891243,40278.87510635649,61035.73493331595
2024-01-11,52467.23820257374,42797.81566101305,62244.40434561003
2024-01-12,52425.053621401705,42311.803762286094,62305.73895050154
2024-01-13,39954.916985147735,30182.220167312287,50934.57583999243
2024-01-14,31329.53764231059,21193.790510183444,40551.50284407426
2024-01-15,49952.63069044857,39801.88173852273,60031.96353896802
2024-01-16,51923.7306107269,41488.719623888326,61231.55212739405
2024-01-17,51276.90926554543,40867.72851294305,60878.028262069114
2024-01-18,52872.66624041526,41731.58448441581,62365.92286200557
2024-01-19,52830.48166045105,42869.11744319356,63000.13481744324
2024-01-20,40360.34502539205,30035.880523569424,49821.4391012684
2024-01-21,31734.965683769522,21318.815174033134,41525.25341130313
2024-01-22,50358.05873313093,40038.66414256554,60628.26515534175
2024-01-23,52329.15865460038,42209.7704507723,62476.152580037735
2024-01-24,51682.33731063945,41507.452214819874,63179.637252479435
2024-01-25,53278.09428549752,42991.02925318849,64769.98006099149
2024-01-26,53235.909705531754,42353.31564358482,62846.84853586744
2024-01-27,40765.77307047497,30553.34814586805,50084.292380945924
2024-01-28,32140.393728871375,22127.598806718477,42418.54581780891
2024-01-29,50763.48677817332,41067.465331568674,61323.097631928176
2024-01-30,52734.58669968351,42316.25759912092,62483.22652910228
2024-01-31,52087.765355725925,42034.91825177408,62134.27508106716
2024-02-01,53683.52233060668,43471.136272791126,63700.62031697617
2024-02-02,53641.33775061245,44274.94965337072,64628.573964265335
2024-02-03,41171.201117755176,31056.03100454644,51456.106577637314
2024-02-04,32545.821778357513,22586.10897258549,42874.48607156558
2024-02-05,51168.91482990722,40426.659902018444,61105.004755430884
2024-02-06,53140.01475361692,43213.53053825859,62809.363362566946
2024-02-07,52493.19341186506,42610.88676648411,63039.37980465615
2024-02-08,54088.950388952115,44681.39356077138,63810.245644727744
2024-02-09,54046.76581120269,44213.16413775874,64337.35559269931
2024-02-10,41576.629178298586,31329.106021225816,51787.17989018383
2024-02-11,32951.2498389261,22626.763366643485,43512.63830401073
2024-02-12,51574.34289048196,41083.27561548764,61458.772456691426
2024-02-13,53545.44281418193,43457.087896446516,63239.38909999411
2024-02-14,52898.621472439314,43325.30268558909,62720.63559106265
2024-02-15,54494.37844952526,44574.16442445015,64701.36922386343
2024-02-16,54452.19387177398,43531.8221476514,65146.479182585426
2024-02-17,41982.057238855225,31866.57523397617,52778.419357613544
2024-02-18,33356.67789949469,22981.50804912289,43327.742626799314
2024-02-19,51979.770946777215,42018.48908862927,61858.57989687933
2024-02-20,53950.87086619429,43072.39200532217,63784.014747328205
2024-02-21,53304.049520171226,42737.47666565873,64023.609488380396
2024-02-22,54899.80649295813,44993.73350121272,64848.326008806405
2024-02-23,54857.621910907656,44271.87422621664,64568.73572751847
2024-02-24,42387.4852737272,31830.541690810933,53323.34420080162
2024-02-25,33762.10593006806,23655.56679859253,43489.22240277983
2024-02-26,52385.198977387154,42065.372738499245,62788.38570623598
2024-02-27,54356.29889678571,44807.53924688054,65063.811167087166
2024-02-28,53709.47755075949,43312.35982318523,64106.1721532693
2024-02-29,55305.234523565836,44993.54158919935,64994.85944085498
2024-03-01,55263.04994151352,45230.55393145438,65731.81982758743
2024-03-02,42792.91330437978,33046.71526183065,52740.26985685291
2024-03-03,34167.533960671215,24625.749712753433,43929.754403708655
2024-03-04,52790.627007997755,43014.09325028812,62470.855870147134
2024-03-05,54761.72692739345,44766.64031660099,64602.51248556126
2024-03-06,54114.89969789756,44441.70728117095,64622.32588771227
2024-03-07,55710.65078726367,45656.4213920992,65343.87118999548
2024-03-08,55668.46032177457,45693.84367067916,65496.24492258922
2024-03-09,43198.31780118714,33271.77806910996,53332.581438228495
2024-03-10,34572.932574068094,25351.17655122444,43945.601411417425
2024-03-11,53196.01973795179,42460.321892693566,63616.713851160835
2024-03-12,55167.113773886296,45524.78613884971,64475.14365781701
2024-03-13,54520.28654440781,44252.12401435001,64973.19068159142
2024-03-14,56116.0376337728,45522.23295559923,65563.05796962681
2024-03-15,56073.847168281856,45980.378856526826,65717.41435291262
2024-03-16,43603.70464769301,33488.886182588605,53662.960512443555
2024-03-17,34978.319420565684,24204.84308178284,44916.443400664284
2024-03-18,53601.4065844039,42651.39564678413,63847.62437519486
2024-03-19,55572.500620387305,45296.4247393013,64987.27867991572
2024-03-20,54925.673390918055,44831.15933466824,64767.34936224549
2024-03-21,56521.424480264766,47007.13858731971,67090.69269018823
2024-03-22,56463.283570399755,45988.14979232431,66083.48144828713
2024-03-23,43977.19060548875,34034.6181184817,53727.16379239426
2024-03-24,35335.85493395972,25313.701485693655,45165.141452705975
2024-03-25,53942.99165342524,44181.7693921447,64320.36124703137
2024-03-26,55898.13524501759,45806.48096553783,66137.0484113978
2024-03-27,55235.35757117919,45822.51611409419,65001.43730876325
2024-03-28,56815.15821618349,46662.20631416912,66489.9013507004
2024-03-29,56757.01730631842,46423.45419971638,67053.97313049404
2024-03-30,44270.92434138705,34138.858547083466,54074.42311699553
