ds,yhat,yhat_lower,yhat_upper
2024-01-01,52863.336960070475,42511.23687833983,62658.57756282946
2024-01-02,55685.823714959886,44907.33319419787,65803.87601869377
2024-01-03,54377.65777387949,43564.96600829873,64298.50545749078
2024-01-04,55956.112561660986,45348.614223128505,65892.36879188275
2024-01-05,57183.14807836262,47349.154902573595,67334.51374099715
2024-01-06,44441.285322542455,34142.61424017269,54778.83329265995
2024-01-07,20066.506132432172,10036.4555440403,30321.27834377731
2024-01-08,53199.528551599535,43093.96410010164,63713.95203162757
2024-01-09,56022.01530658328,46163.47587549143,66762.82365390073
2024-01-10,54713.849365439266,44845.30432331493,64970.278282743166
2024-01-11,56292.30415325119,46520.82083303547,65713.17574394637
2024-01-12,57519.339670004934,46972.46790367084,67544.42343456247
2024-01-13,44777.47691425395,34496.69767457722,54412.102720287454
2024-01-14,20402.697724059803,9503.918040538567,31702.805160526023
2024-01-15,53535.720143232924,42879.5756475793,63200.51219688286
2024-01-16,56358.20689820669,46563.52288977395,67173.02511548172
2024-01-17,55050.04095708493,44978.470858434666,65362.52031343711
2024-01-18,56628.495745112756,47167.5969322515,66297.7881637135
2024-01-19,57855.53126209794,47861.44641818479,68449.47368087835
2024-01-20,45113.66850653389,34131.51383799547,55715.32567458843
2024-01-21,20738.88931657497,10977.12290131404,30149.242544024306
2024-01-22,53871.911735992995,43714.403368039086,64629.575450538774
2024-01-23,56694.398491150765,46188.61372762577,67153.15513217497
2024-01-24,55386.23255029275,45049.41689796874,65727.87735751117
2024-01-25,56964.68733828034,45800.120909514844,66643.12270253904
2024-01-26,58191.72285527765,48270.87795014947,68810.23077503755
2024-01-27,45449.86009971518,34491.22285481465,55573.00711288622
2024-01-28,21075.08090977998,10524.347101269934,32211.067872924494
2024-01-29,54208.10332909943,44080.88608259132,64428.39216135894
2024-01-30,57030.590084320174,46886.77525782028,67330.30331991009
2024-01-31,55722.42414347284,45992.42578380201,66927.16339070941
2024-02-01,57300.87893154072,46948.658586950034,67244.53079400335
2024-02-02,58527.91444845736,48676.817682085915,69422.16352393117
2024-02-03,45786.05169027413,35312.21354686986,57008.09580148362
2024-02-04,21411.272497759168,10843.421338967262,31932.41554760167
2024-02-05,54544.29491453477,44317.16068568702,64363.16993342579
2024-02-06,57366.78166713563,46246.761923787526,67146.96491933218
2024-02-07,56058.61572367128,45854.03820998307,65857.81613289141
2024-02-08,57637.070509130295,46574.22292138352,67619.45737632773
2024-02-09,58864.10602349629,48400.40437481887,68574.67757955981
2024-02-10,46122.24326525506,35760.63719761972,56250.44207632958
2024-02-11,21747.46407278294,11530.018002781468,32739.13845671848
2024-02-12,54880.48648955762,45088.09507316867,64581.147172237565
2024-02-13,57702.97324216208,47355.239194172966,68150.70391902734
2024-02-14,56394.807298719985,45653.92225431256,65778.51075259151
2024-02-15,57973.26208416957,48364.83185795279,68467.7643581574
2024-02-16,59200.297598541656,49364.46959694192,68979.92730683144
2024-02-17,46458.43484026203,36256.66538006237,56787.331810356045
2024-02-18,22083.65564780671,12456.392920603072,32359.07566106139
2024-02-19,55216.67804963724,44620.698565829574,65726.46541258271
2024-02-20,58039.16478725472,48116.635058998,67667.97190928206
