ds,yhat,yhat_lower,yhat_upper
2024-01-01,20847.41949715911,16859.83899111004,25392.417079831404
2024-01-02,22037.631723732306,17686.10773791472,26068.441012191644
2024-01-03,21628.92051023943,17169.31207047085,25641.303092939466
2024-01-04,22277.56593080626,17959.24287201783,26538.29772303445
2024-01-05,21991.76229580222,17530.662707874668,25907.37344116302
2024-01-06,13872.887893733838,9335.06670561182,18367.660345109576
2024-01-07,9979.43261153147,5918.834813554313,14424.610490435894
2024-01-08,20933.167556792134,16266.325696102786,25071.6608727855
2024-01-09,22123.379783393222,17719.84816281067,26553.958157137968
2024-01-10,21714.668569892314,17771.774200807162,26081.805580569147
2024-01-11,22363.31399046337,18274.801087636937,26487.826433452614
2024-01-12,22077.510355466213,17998.075544340947,26655.64506945808
2024-01-13,13958.635953425455,9439.824614894644,18100.20558512579
2024-01-14,10065.180671200389,5886.093547865653,14260.7984263681
2024-01-15,21018.915616460094,16997.455601036898,25148.198363544274
2024-01-16,22209.12784305414,17997.09969733811,26515.11620444931
2024-01-17,21800.416629557858,17561.709738600453,25886.425215395153
2024-01-18,22449.062049320666,18035.520419781427,26746.592098650723
2024-01-19,22163.258413513522,17991.866596708885,26714.95151171577
2024-01-20,14044.384010657224,9504.165566345162,18175.581568891306
2024-01-21,10150.9287276261,5429.761382143314,14370.361781284455
2024-01-22,21104.66367208634,17005.89351010873,25358.504880453747
2024-01-23,22294.875897862126,18086.080084302484,26577.53610213385
2024-01-24,21886.16468356254,17600.38682719938,26117.873682413156
2024-01-25,22534.810103319396,18366.57746140267,26687.749961311823
2024-01-26,22249.006467510102,18004.59901528118,26370.56651910459
2024-01-27,14130.132064655632,9694.857631182631,18594.58788502893
2024-01-28,10236.676781636634,6024.114836115815,14504.419075251468
2024-01-29,21190.41172606098,16985.05585885966,25351.166447279535
2024-01-30,22380.623951861766,17909.20507438146,26789.102468688303
2024-01-31,21971.91273756336,17669.673007273053,26318.583852773612
2024-02-01,22620.55815733079,18655.716487364076,26974.599618637687
2024-02-02,22334.754521506686,17941.943933460545,26655.710291539388
2024-02-03,14215.880118219298,10030.922103263816,18774.843073572792
2024-02-04,10322.424834767515,6177.8161110707615,14620.065540497137
2024-02-05,21276.159778788413,17105.226047100663,25447.53826216915
2024-02-06,22466.372004156307,18384.710104147278,26800.79426668262
2024-02-07,22057.6607894292,17764.353179434733,26221.840966324602
2024-02-08,22706.306208767524,18321.988278308818,27219.206304388994
2024-02-09,22420.502572538127,18420.784385743355,26773.035704341553
2024-02-10,14301.628169220978,10306.817698903826,18760.413379333586
2024-02-11,10408.172885784135,6268.427873278562,14812.523144610199
2024-02-12,21361.907829810123,16660.466531963826,25779.250767404406
2024-02-13,22552.120055169846,18055.37477020387,26850.196397641263
2024-02-14,22143.408840447366,17441.034168851544,26013.16172135601
2024-02-15,22792.054259785786,18195.501092286966,26870.84262121787
2024-02-16,22506.25062355474,18213.20386253263,26981.386119422183
2024-02-17,14387.376220230391,9936.211339609054,18537.57388547239
2024-02-18,10493.920936800758,6258.8218372328565,14634.32253681928
2024-02-19,21447.58036894184,17140.94618950892,25701.88038907309
2024-02-20,22637.717082413954,18495.94754903157,26858.782476822238
2024-02-21,22228.930355802346,17841.85859203487,26247.351076260242
2024-02-22,22877.500263244605,18592.903003092917,27105.38533613591
2024-02-23,22591.621115114667,18383.242257757156,26804.577882246973
2024-02-24,14472.671199913431,10016.930089537316,18938.814833376815
2024-02-25,10579.140404582538,6264.609366086322,14795.180659978809
2024-02-26,21532.799836748312,17323.60641760479,25926.44276763922
2024-02-27,22722.936550210507,18491.876077901623,26800.129582901074
2024-02-28,22314.1498235976,18469.080035175353,26497.440782957718
2024-02-29,22962.71973104876,18889.975799780597,27327.55539258156
2024-03-01,22676.840582917182,18135.232744453806,27108.52257507377
2024-03-02,14557.89066774357,10311.424374425327,18895.769768616436
2024-03-03,10664.359872385063,6211.447746147459,15061.771402045808
2024-03-04,21618.019304553658,16843.318609873666,25853.06044178672
2024-03-05,22808.15601801283,18351.68181055806,27247.87351537246
2024-03-06,22398.30935683044,18051.80275303512,26530.488137438566
2024-03-07,23045.81932972289,18849.78394530326,27421.132076574642
2024-03-08,22758.880247034973,18614.245299130453,27093.46873129477
2024-03-09,14638.87039729688,10786.208801797906,19128.027625993625
2024-03-10,10744.279667399675,6525.400411616947,14884.536197534353
2024-03-11,21696.879165008737,17602.422875620985,26192.17893127719
2024-03-12,22885.95594389942,18572.09469670107,27069.069043963373
2024-03-13,22476.10928272454,18335.013382270714,26823.754747042287
2024-03-14,23123.619255617083,18740.16680988052,27381.79835195297
2024-03-15,22836.68017292753,18467.870701099477,27426.64744874605
2024-03-16,14716.670323189974,10233.819214412511,19017.388000035116
2024-03-17,10822.079593287306,6542.834321162516,15351.907387965712
2024-03-18,21774.679090870322,17532.680195585846,25848.14385141013
2024-03-19,22963.755869788896,18702.91431654776,27174.806684620093
2024-03-20,22553.909208618647,18051.093313370024,26626.535712842153
2024-03-21,23201.41918150276,19075.934438064483,27633.231911925952
2024-03-22,22910.855070287947,18384.281325806835,27103.642862906756
2024-03-23,14787.220192056197,10459.750737515438,19069.943169091355
2024-03-24,10889.004433615464,6620.431518261265,15111.096107824373
2024-03-25,21837.978902674404,17234.582480595094,26191.400190031127
2024-03-26,23023.43065305995,18737.483443425423,27351.08808063604
2024-03-27,22609.958963367775,18303.948730340446,26785.917115098408
2024-03-28,23253.843907743718,19151.560683128515,27303.220788679922
2024-03-29,22963.279796533578,19038.71873236524,27464.88847536749
2024-03-30,14839.644918287533,10349.91546906394,18896.61031680569
2024-03-31,10941.429159851195,6593.984360789435,15545.369961812778
2024-04-01,21890.403628908036,17735.13104008956,26312.631823013224
2024-04-02,23075.855379296583,18854.62928140353,27765.68540053517
2024-04-03,22662.383689603976,18403.388274436376,26960.09082377216
2024-04-04,23306.26863396764,19200.6517542051,27426.289544868734
2024-04-05,23015.704522755354,18669.560014965464,27496.636652845813
2024-04-06,14892.069644503394,10672.210121513044,19028.350358435255
2024-04-07,10989.951499389566,6872.371658372673,15264.421475978803
2024-04-08,21935.023581759066,17424.733027474063,25796.64633510591
2024-04-09,23116.572945447013,18821.581273414362,27359.770129199118
2024-04-10,22699.198869053944,18356.401339019307,26958.38629249638
2024-04-11,23339.181426729414,18730.1527896248,27792.94156906123
2024-04-12,23044.71492882255,18788.387672746656,27305.2817643484
2024-04-13,14917.177663879982,10510.314104223673,18911.344325708465
2024-04-14,11015.059518757547,6479.139357852981,15087.96009897644
2024-04-15,21960.13160114568,17518.84925527323,25814.072040257488
2024-04-16,23141.680964827727,19277.94750908922,27403.89220456532
2024-04-17,22724.306888439285,18371.324756522157,26982.504502686446
2024-04-18,23364.28944611484,18943.214530642737,27859.83710630389
2024-04-19,23069.82294822116,18803.580174164945,27574.286083665942
2024-04-20,14942.285683256567,10668.960712808635,19134.22913721391
2024-04-21,11040.16753813642,6831.416682252004,15441.333382394345
2024-04-22,21985.239620532302,17449.412561157107,26175.593195782065
2024-04-23,23164.18449143703,18950.189220716456,27424.062332520898
2024-04-24,22744.205922281242,18207.21495632647,27221.85603927859
2024-04-25,23381.583987173282,18976.691598891324,27732.967012722485
2024-04-26,23084.512996530844,19050.333238735835,27493.527515358273
2024-04-27,14954.371238790525,10612.030261445594,19352.69969228225
2024-04-28,11049.648600913983,6607.913805788665,15232.088787970853
2024-04-29,21992.11619050657,17681.14255989103,26292.782323835287
2024-04-30,23171.06106144409,18833.12410751023,27535.79519128235
2024-05-01,22751.08249228057,18335.486049170457,27047.051948220273
2024-05-02,23388.460557187547,19413.533900244238,27661.173425311266
2024-05-03,23091.389566516908,18649.183425679556,27323.623718556704
2024-05-04,14961.247808779692,10751.257499013205,19282.641919520665
2024-05-05,11056.525170918096,6616.3120771662425,15366.346176670942
2024-05-06,21998.99276051351,17806.175483303392,26137.039816362572
2024-05-07,23177.93763144223,18799.90940166734,27492.89778872958
2024-05-08,22757.959062279893,18548.684304400405,26620.57409147297
2024-05-09,23395.26127616665,19149.04573722065,27677.19921930723
2024-05-10,23098.114434484756,18828.25836875953,27344.352836259623
2024-05-11,14967.896825757045,10783.332528219054,18829.433481147138
2024-05-12,11063.098336849696,6707.243745840748,15367.872159227565
2024-05-13,22005.490075432066,17720.23944058831,26694.157840215485
2024-05-14,23184.35909533738,18760.251246197186,27353.167252203228
2024-05-15,22764.30467515866,18425.611933347845,27200.428187291847
2024-05-16,23401.60688904113,19027.04992274232,28162.733646139208
2024-05-17,23104.46004736197,19103.074413350892,27411.95841099139
2024-05-18,14974.24243861932,10836.950639329627,19173.78472439752
2024-05-19,11069.443949726914,6561.388651189706,15220.628677394174
2024-05-20,22011.835688312112,17628.22638372716,26506.870614852403
2024-05-21,23190.704708208632,18559.40207926626,27547.84745760116
2024-05-22,22770.650288034947,18506.011849939216,27148.057941228697
2024-05-23,23407.952501911466,19418.96202857778,27736.137151230476
2024-05-24,23110.805660221136,18611.922530248386,27410.261873271153
2024-05-25,14980.588049474653,10513.640874779767,19513.800500836638
2024-05-26,11075.789558538563,6839.786344611127,15303.15635879945
2024-05-27,22018.181295091108,17920.26505657862,26005.229253283454
2024-05-28,23197.05031299022,18727.330904777766,27685.2276261043
2024-05-29,22776.99589080163,18612.391471828916,26910.031115555663
2024-05-30,23414.298102655823,19099.59045514195,27728.046499777432
2024-05-31,23117.151258941434,19157.502764831683,27243.728994405235
2024-06-01,14986.93364818001,10557.319081447122,19420.807147925203
2024-06-02,11082.135157258874,6864.171036340468,15373.417364880414
2024-06-03,22024.526893814236,17742.89846539839,26177.75543976061
2024-06-04,23203.395911710326,18941.42637426826,27659.7711535048
2024-06-05,22783.34148951082,18590.10043498211,27314.10765984961
2024-06-06,23420.64370137776,19098.173786649782,27750.193471495237
2024-06-07,23123.49685767656,18957.759828667797,27601.495126858346
2024-06-08,14993.279246885371,10836.396908644534,19501.25751382008
2024-06-09,11088.480755984097,6491.3082677240045,15651.24846963363
2024-06-10,22030.872492450068,17734.204006349635,26444.528531964264
2024-06-11,23209.7415102478,18880.309593121405,27192.82687254161
2024-06-12,22789.687087964896,18084.439584230662,27055.695659018318
2024-06-13,23426.98929974598,19176.231384380488,27823.266328935562
2024-06-14,23129.842455954706,18789.294352278772,27248.119906057527
2024-06-15,14999.624845075621,10829.21154274885,19354.28422583001
2024-06-16,11094.826354080462,6800.073423102875,15347.6906776613
2024-06-17,22037.218090555307,17541.19515466719,26249.394587862378
2024-06-18,23216.08710835203,19201.84855443423,27237.400400820537
2024-06-19,22796.032686061397,18433.317629064404,26886.54592875832
2024-06-20,23433.33489784038,19236.2011738546,27782.389264722897
2024-06-21,23136.188054046957,18836.283593854754,27334.42005511049
2024-06-22,15005.970443161956,10880.601560216552,19385.42822033171
2024-06-23,11101.17195216593,6671.680693430329,15493.705365650278
2024-06-24,22043.563688660543,17786.79199245502,26625.98849503463
2024-06-25,23222.432706447344,18913.313094406694,27336.571137753344
2024-06-26,22802.378283032293,18725.816549388455,27129.810937623253
2024-06-27,23439.680493687956,18700.39713163851,27841.135975045105
2024-06-28,23142.533648743414,18614.204913143094,27488.479828077434
2024-06-29,15012.31603677087,10890.537205047494,19453.296920261233
2024-06-30,11107.517544607554,6429.637116972426,15485.660142639905
2024-07-01,22049.909279973057,17678.61528631342,26594.82007121966
2024-07-02,23228.778296622022,18813.705915309554,27417.647386984874
2024-07-03,22808.72387321159,18612.342172347064,27421.538374278778
2024-07-04,23446.026083845933,19005.990153320363,28013.55691280013
2024-07-05,23148.87923891214,18771.091082615654,27924.335591877036
2024-07-06,15018.661626933685,10484.96766667625,19472.2378294706
2024-07-07,11113.86313479023,6701.672652192204,15061.463434338862
2024-07-08,22056.2548701559,17681.469957493187,26235.43819589431
2024-07-09,23235.12388680561,19063.137876611145,27327.882729946585
2024-07-10,22815.069463378237,18359.318630751288,27304.608548311167
2024-07-11,23452.371674025322,19058.862384074015,27940.501945949105
2024-07-12,23155.2248288096,18693.206219391992,27807.44282768417
2024-07-13,15025.00721654365,10846.560548395062,19133.9404865648
2024-07-14,11120.208724132035,6785.230262337203,15465.699918725619
2024-07-15,22062.600459180387,17664.055296604132,26285.299686854432
2024-07-16,23241.46947557883,18922.929983446742,27641.58556827402
2024-07-17,22821.415051875792,18314.172878209694,27081.136537594262
2024-07-18,23458.717262234164,18957.818347535023,27754.76322708602
2024-07-19,23161.57041700727,18830.428192477862,27761.961037721667
2024-07-20,15031.352804786995,10700.390669432936,19213.165683814423
2024-07-21,11126.55431234284,6861.718090499666,15007.292325121985
2024-07-22,22068.946047400066,17753.62284651364,26459.01996890507
2024-07-23,23247.815063788585,18664.72625429137,27596.77868993314
2024-07-24,22827.760640086733,18230.47820507669,27090.726583062773
2024-07-25,23465.062850443006,19327.39247095953,27860.56795100559
2024-07-26,23167.91600524684,18884.39872747424,27221.758319553435
2024-07-27,15037.698392995513,10595.600255752832,19301.402671041673
2024-07-28,11132.899900563485,6719.704799516394,15680.333361127785
2024-07-29,22075.29163746696,17995.675631418293,26613.00310556823
2024-07-30,23254.16065569791,18643.546184163122,27385.129691474576
2024-07-31,22834.10623384655,18790.239873361104,26856.49329826316
2024-08-01,23471.40844606225,19264.66765409732,28011.020622232485
2024-08-02,23174.261602686216,18679.581854310043,27217.916985123473
2024-08-03,15044.043992286335,10828.323214864397,19508.882096521556
2024-08-04,11139.245501717598,7210.268046855735,15648.894192452895
2024-08-05,22081.63723862389,17679.929856471317,26233.215672182825
2024-08-06,23260.506256846056,19068.244498509426,27430.191792373353
2024-08-07,22840.45183499587,18562.20562649031,27027.606131738783
2024-08-08,23477.754047209477,19326.36848606914,27963.460390733377
2024-08-09,23180.60720384032,19389.068593341566,27804.81796046991
2024-08-10,15050.389593433243,10584.655413593056,19191.35931785424
2024-08-11,11145.591102850973,7061.990854448836,15366.670479740338
2024-08-12,22087.98283974929,18051.597595557952,26600.1789186507
2024-08-13,23266.851857999973,19099.787054857894,27769.427272005843
2024-08-14,22846.79743666132,18442.825235536842,27129.980495113814
2024-08-15,23484.0996493848,18598.952020329896,27715.952102790998
2024-08-16,23186.952806538622,19520.01218258225,27547.15869309591
2024-08-17,15056.735196611558,10701.848494418702,19403.865367115133
2024-08-18,11151.93670655402,6661.3159278647245,15468.052136394193
2024-08-19,22094.328443966082,18041.679210211456,26255.059695144733
2024-08-20,23273.197462716627,18836.70200446597,27748.36715622981
2024-08-21,22853.143041379157,18296.07691853591,27223.221040769266
2024-08-22,23490.445254096165,19092.28948981053,27744.224773015376
2024-08-23,23193.298411252217,18744.278730658374,27835.691514639602
2024-08-24,15063.08080133472,10619.726679463005,19474.306589393986
2024-08-25,11158.28231128157,7122.497893853472,15283.055313357072
2024-08-26,22100.67404869153,17964.7109649565,26122.404956258408
2024-08-27,23279.5430674422,19231.124647982168,27490.767213609135
2024-08-28,22859.488646103327,18432.403652607765,26922.86177162198
2024-08-29,23496.790858820426,18910.92838486927,27598.3903845479
2024-08-30,23199.644018372328,18744.40984102788,27531.02671973613
2024-08-31,15069.426410855429,10375.56820558669,19133.353576301455
2024-09-01,11164.627923223743,6983.525627574678,15441.788329122879
2024-09-02,22107.01966304305,17698.98979052118,26501.594260398713
2024-09-03,23285.888684194324,18850.14596631516,27232.45555972584
2024-09-04,22865.834265253943,18368.350190930476,27182.859358468857
