ds,yhat,yhat_lower,yhat_upper
2024-01-01,18888.501105685024,14506.51258058331,23304.621749260023
2024-01-02,19870.498649955036,15612.1041146459,24576.07678537279
2024-01-03,19524.735448160143,15360.324457362627,23815.32240620399
2024-01-04,19953.637125806632,15035.022754062229,24466.449748906067
2024-01-05,20287.028285416935,15688.766975620381,24994.996001836702
2024-01-06,12498.051954884791,7738.1881194430525,16841.336210358048
2024-01-07,8493.52552054745,4070.019612756451,13080.395773496784
2024-01-08,18988.57025847063,14399.595134594856,23390.2467838713
2024-01-09,19970.5678027672,15500.421460922396,24415.89488661887
2024-01-10,19624.804600964704,15263.53617533614,24078.20036313539
2024-01-11,20053.70627861527,15229.898106285194,24726.536146261435
2024-01-12,20387.097438233,15951.942280378522,24757.058201550364
2024-01-13,12598.121107727336,7758.7583300073875,17001.37836164628
2024-01-14,8593.594673367932,3747.9112940980353,13415.187030674602
2024-01-15,19088.639411289907,14294.128376461402,23673.44643469739
2024-01-16,20070.636955579357,15277.311241536618,24836.372831636294
2024-01-17,19724.873753781303,15289.900787594781,24250.896847097876
2024-01-18,20153.775430937603,15693.433038736064,24922.3650311342
2024-01-19,20487.166590059423,15872.073539688883,24826.24027541303
2024-01-20,12698.190259051315,8317.425095776702,17371.173601434642
2024-01-21,8693.663824197944,3947.018345843181,13286.028876639079
2024-01-22,19188.708561635074,14891.96696433016,23495.13339408163
2024-01-23,20170.706105420268,15452.329639673439,24657.07586039256
2024-01-24,19824.94290313255,15221.98937083482,24455.57560267447
2024-01-25,20253.8445802825,15772.815365739109,24777.81977375767
2024-01-26,20587.235739402426,16185.795171084657,25350.119380408498
2024-01-27,12798.25940839601,8352.688871541282,17278.03886326896
2024-01-28,8793.732973554683,4043.3967371141007,13204.670845967032
2024-01-29,19288.777710956936,14682.814826364462,23803.301780769212
2024-01-30,20270.775254766355,15834.980760665374,24747.3699373403
2024-01-31,19925.012052479382,15241.335072262817,24641.606376982727
2024-02-01,20353.91372963935,15704.526786237078,24636.910723058212
2024-02-02,20687.304888745435,16227.697901425712,25128.97758599754
2024-02-03,12898.328559610525,8536.084517159556,17466.940823820856
2024-02-04,8893.802126643219,4348.329987125557,13298.612546412978
2024-02-05,19388.846865944943,14667.870952970108,23839.587137119353
2024-02-06,20370.844411627146,15651.388905204072,24942.259679218085
2024-02-07,20025.081211216686,15057.18190038074,24637.847869516834
2024-02-08,20453.98289025281,15944.363320580967,25117.821605608893
2024-02-09,20787.374051256455,15981.637999970199,25347.31183654249
2024-02-10,12998.39772209361,8107.696306633874,17573.261345545183
2024-02-11,8993.87128914102,4594.543320087816,13296.791750443523
2024-02-12,19488.91602844894,14836.296765239256,24041.037125941548
2024-02-13,20470.913574122224,16123.698902738903,24786.99155933472
2024-02-14,20125.15037371619,15607.780840484525,24446.25862636328
2024-02-15,20554.052052752875,15960.106495606275,25359.555830080957
2024-02-16,20887.443213755432,16369.493019654989,25518.39272181906
2024-02-17,13098.466884584966,8714.978462719972,17784.28311049889
2024-02-18,9093.940451638824,3971.7338174564866,13636.421369847409
2024-02-19,19588.985191592143,14873.028420111945,24128.99397095687
2024-02-20,20570.982737909104,15998.266378196098,25233.317141304153
2024-02-21,20225.219538144174,15257.216952624738,24553.233014001456
2024-02-22,20654.12121781573,16365.16801100809,25128.000007381677
2024-02-23,20987.512379449916,16684.326485592504,25874.799309063394
2024-02-24,13198.536050933264,8766.510457377748,17629.16326198907
2024-02-25,9194.009618617598,4958.737458729092,13630.678781296396
2024-02-26,19689.054358594098,14892.424117233799,24404.43000622246
2024-02-27,20671.051904901615,16273.925627969247,25617.248768553556
2024-02-28,20325.288705135838,15818.026647774925,24647.336943623937
2024-02-29,20754.19038481556,15819.797088565807,25344.04505189385
2024-03-01,21087.58154644866,16607.449702480044,26303.979879185154
2024-03-02,13298.605217958491,8838.04673024559,18048.267024672812
2024-03-03,9294.07878561517,4735.134910118216,13866.961800418125
2024-03-04,19789.12352559425,15258.156630060965,24244.17390116946
2024-03-05,20771.12107189879,16324.697338935783,24992.263170929473
2024-03-06,20425.292867085787,16136.317778408915,24858.058803948858
2024-03-07,20854.129541727245,16135.557049947492,25469.433970559963
2024-03-08,21187.455698326215,16554.893014898425,25845.834010880346
2024-03-09,13398.414364792174,8757.524249720387,17469.920436975754
2024-03-10,9393.822927431882,4469.0492208341675,13373.01842775357
2024-03-11,19888.802662372455,15370.8499879758,24297.36667143772
2024-03-12,20870.73520363027,16539.051254443788,25380.487254861997
2024-03-13,20524.90699882403,16369.49902897761,24826.05629572304
2024-03-14,20953.743673466037,16517.52710240934,25377.44577534395
2024-03-15,21287.069830063927,16761.842356809262,25882.63767431807
2024-03-16,13498.028496530533,8886.902836432899,18157.793449256493
2024-03-17,9493.437059162821,5209.725648070015,14066.091977357702
2024-03-18,19988.41679407971,15609.102755714004,24451.034502673225
2024-03-19,20970.349335364073,16348.242058166707,25657.156726453293
2024-03-20,20624.52113056227,16303.764934049277,25091.1530188274
2024-03-21,21053.357805196327,16741.975938531737,25829.07672251159
2024-03-22,21381.87414528157,16852.724708439422,25757.639245645656
2024-03-23,13588.022995264935,9018.697951808324,18250.280949472202
2024-03-24,9578.621741372679,5180.6495241516095,14061.521563290222
2024-03-25,20068.791659777606,15552.53571554967,24656.487986725053
2024-03-26,21045.91438454177,16359.563024943827,25541.02105224848
2024-03-27,20695.27636322995,16114.188851154691,25383.94573315022
2024-03-28,21119.30322136833,16619.104870988052,25842.476721940056
2024-03-29,21447.819561456025,17087.787877022685,25988.56179277632
2024-03-30,13653.968411427997,9225.279175183541,18094.518177271977
2024-03-31,9644.567157539512,5360.988735063321,14378.60746222129
2024-04-01,20134.737075941415,15528.953863917364,24535.274088098755
2024-04-02,21111.85980070877,16609.976175878357,25807.704651035438
2024-04-03,20761.22177939731,16102.432979607496,25174.452010238976
2024-04-04,21185.24863752332,16444.17266964322,25727.034151519925
2024-04-05,21513.76497760912,16955.903800422326,25968.339010537566
2024-04-06,13719.913827574514,8998.628170993337,18008.48566435705
2024-04-07,9704.468003788397,5360.908598334892,14237.741335604007
2024-04-08,20188.593352284148,15617.58138129616,24499.121917553162
